created_at,text
2017-12-02,It's been a rough go for #yegcc and the Metro Line LRT. https://t.co/2pnar3MOcO #yeg #yegtransit https://t.co/ODxHcAPAOt
2017-12-01,"Giving warmth: gloves, socks, hats overflow CBC's clothing drive for homeless https://t.co/Kz7IMZPd2b https://t.co/WgbXIRtOQe"
2017-12-01,Edmonton man charged with sex crimes against teen boys https://t.co/CvDbjPV0kS https://t.co/9bR1yJsNp3
2017-12-01,Not a death sentence: Edmonton HIV survivor becomes advocate https://t.co/6M17rpw8uP https://t.co/rqXeW8nk5F
2017-12-01,Alberta premier goes running in Argos jersey to settle bet with Ontario premier https://t.co/bvrOlxHGUK https://t.co/jqGeKZcXdV
2017-12-01,National parks free for people under 17 starting in 2018 https://t.co/piDmd9uUul https://t.co/xVVKEmHUFg
2017-12-01,"Demolishing Coliseum could cost up to $25 million, city report says https://t.co/uK1RsuwfHO https://t.co/APo6yMS2qx"
2017-12-01,"Metro Line LRT experienced dozens of mishaps since 2015, report reveals https://t.co/XWbYVpoWMD https://t.co/4uPrW2FGxG"
2017-12-01,Arsonist receives two years in jail for Windermere condo fire https://t.co/gr4JrxnXmA https://t.co/PrsO23xkWb
2017-12-01,First Australian player in NHL now latest member of Edmonton Oilers https://t.co/KJxzYa6zhY https://t.co/PlhSVgkBrD
2017-12-01,"Calgary bearing brunt of flu season in Alberta, numbers show https://t.co/yinwdIo6KN https://t.co/TZoWIJvDzG"
2017-12-01,Charity helping seniors and their beloved dogs expands to Edmonton https://t.co/rFuBVA7zq7 https://t.co/P0bs4t9emK
2017-12-01,Alberta oilsands waste exported by American refineries to pollution-choked India https://t.co/5y0Qcez1KX https://t.co/XYzEj0AaeS
2017-12-01,"Alberta unemployment rate falls to 7.3%, its lowest level in nearly 2 years https://t.co/a2EU4QobTo https://t.co/XzNFJIiXII"
2017-12-01,"Oilers rally around teammate Kris Russell, victim of costly last-minute mistake https://t.co/7WMncT7vcS https://t.co/iXu2Q9TQ8n"
2017-12-01,Edmonton daycare aims to teach cultural acceptance to children https://t.co/DikQix5pHG https://t.co/t9lLi0s0hf
2017-12-01,"Edmonton capital budget deficit projected at $22M, down from $62M in May https://t.co/GkNomj26g5 https://t.co/0tBp4SRc2f"
2017-12-01,Kris Russell's late blunder gifts Leafs victory over Oilers in wild affair https://t.co/e5IHp3jWv0 https://t.co/iivx5dd7Io
2017-12-01,Suncor to wait a week to find out if it can start random drug testing of employees https://t.co/ZDkXTjPs1p https://t.co/B0Zf97xinA
2017-12-01,"Indigenous groups in Alberta, N.W.T say they've borne 'enormous costs' from B.C. dams, call for end to Site C https://t.co/P1WgGLO63h https://t.co/wvUT3uXcLu"
2017-12-01,"Protesters chant 'Notley go home,' while premier gets warm reception at Vancouver energy forum https://t.co/9tMm5KvCrV https://t.co/AFGwnX45mK"
2017-11-30,"MLA's comparison of cannabis to communism taken out of context, UCP says  https://t.co/8VP4d9g2OW https://t.co/TqfdyS73ZW"
2017-11-30,RCMP investigating any possible links between 3 bodies found in Sturgeon County https://t.co/tBfbRXA6HE https://t.co/7EkagFGt3k
2017-11-30,"Teddy bears, winter patios and Christmas craft sales: What's up in and around Edmonton https://t.co/qhbx7GGVKZ https://t.co/IpMNbhfNB8"
2017-11-30,Protesters urge Alberta government to keep fertility services at Lois Hole Hospital https://t.co/mXjj7dOWeE https://t.co/zczQGRGFeE
2017-11-30,"'Politics outweighed other things today,' Ceci says about PST discussion  https://t.co/lJQ1fCvuze https://t.co/EC6NCB6I3T"
2017-11-30,Police investigating fake Fort McMurray RCMP Facebook account https://t.co/hQDS6G5fBm https://t.co/HyUjQaVGTh
2017-11-30,"Dec. 2, 1987: Some Edmonton moviegoers outraged by 50-cent price hike  https://t.co/r8FoDWZmv7 https://t.co/Q0h5x0oY3R"
2017-11-30,Edmonton company steps up to get winter warming bus back on the road https://t.co/PuSUasttEX https://t.co/zU3Ttze7zq
2017-11-30,These issues have been resolved! Thanks for your patience. Let us know if there are any other technical issues.
2017-11-30,Driver arrested in alleged naked kidnapping in Alberta is facing more charges https://t.co/sujjCUAsmw https://t.co/yYPFU3SRvC
