created_at,text
2017-12-02,"1 in 5 Canadians with HIV isn't aware of having it (via @CBCManitoba)

https://t.co/7mhNP2kQ0j https://t.co/Oc8YD3GK5z"
2017-12-02,"'Historic agreement': Canada signs High Arctic commercial fishing ban

https://t.co/t9TWevmIJj https://t.co/EVkSZm40mv"
2017-12-02,Our friends Giv'er the Moose and @ryansnoddon want you to head to the @avalonmall for #CBCFeedNL on Dec. 8! Don't moose out. https://t.co/mn2dpXzlLz https://t.co/mLh6ckoy7h
2017-12-02,"NEW | @stjohnsedge win home opener in thrilling fashion

https://t.co/xdueewk9vT https://t.co/LcGwbmZKfr"
2017-12-02,"1 in 5 Canadians infected with HIV doesn't know it

https://t.co/7mhNP2kQ0j https://t.co/PCikezQ0GN"
2017-12-02,"Police say bloodied man in west end St. John's was assaulted with a weapon, victim of home invasion

https://t.co/MMuqbgdyNn

#nlcrime https://t.co/Q2OVQH5FQ9"
2017-12-02,"NEW | Lewisporte man charged after allegedly threatening children with knife at Walmart

https://t.co/bnMJrgDMEY https://t.co/GoGSe8ET3a"
2017-12-02,"RCMP arrest 19-year-old man who allegedly threatened children with a knife at Walmart in Grand Falls-Windsor this evening. The man faces charges of assault, causing a disturbance and possession of a weapon dangerous to the public. There were no injuries. #nlcrime #cbcnl"
2017-12-02,"N.L. schools take a stance against homophobia, end participation in Operation Christmas Child

https://t.co/wQeAQMkpbU https://t.co/YGCFT33MIJ"
2017-12-02,"Operation Christmas Child says its volunteers should oppose gay marriage, trans rights after N.L. schools ditch the charity
https://t.co/wQeAQMC0Au https://t.co/ijvdteyofr"
2017-12-02,"""There's denial, there's stigma"": Studies examine accessibility of HIV testing in Newfoundland and Labrador

https://t.co/fCWZLoMkZA https://t.co/nUXZO2T2g8"
2017-12-01,"If you do come to stay... 

A poem by the 2017 Governor General's Literary Award winner Joel Thomas Hynes (via @cbcbooks)

https://t.co/yJiPkWJW4j https://t.co/JG79vC2eab"
2017-12-01,"A bit of relief at the pumps today, as the temporary gas tax reduced again #nltraffic

https://t.co/sAeefwK0Rx https://t.co/XgM6frIchc"
2017-12-01,One more week until #CBCFeedNL! Get the details on how you can get involved at https://t.co/rDMOgGFd2t. https://t.co/b4wCeD6hZn
2017-12-01,"National parks free for people under 17 starting in 2018 (via @CBCPEI)

https://t.co/owX5Ura2PJ https://t.co/lVijiH2VXR"
2017-12-01,"UPDATED: No evidence found in #CortneyLake search, will resume Saturday at dawn

https://t.co/kpBWKfQJ3i https://t.co/kMCjbrwRnV"
2017-12-01,"Graham Veitch, accused of killing pharmacist David Collins last December, has case delayed as defence waits for report

https://t.co/Jsoy5W2lOA https://t.co/uNZ1vztIt6"
2017-12-01,"Steven Ryan Mercer, accused in crash that killed Hannah Thorne, pleads not guilty

https://t.co/u7GjotkPgV

#nltraffic https://t.co/5ZpkkzLi04"
2017-12-01,"Prince Harry, fiancée Meghan Markle make 1st official joint tour

https://t.co/ZuhMUhHSmX https://t.co/dc5fmR5q83"
2017-12-01,"86 searchers scoured the Bellevue area today for evidence in the Cortney Lake investigation; even more will be out tomorrow

https://t.co/kpBWKfz7EI https://t.co/TnVAjAQZBg"
2017-12-01,"NEW | Bloodied man in west end of St. John's victim of home invasion, says RNC

https://t.co/MMuqbgdyNn

#nlcrime https://t.co/Pwls3oEypy"
2017-12-01,"Walmart Canada says it's open to talking with photographer who says Carbonear customers printing copies of Santa photos

https://t.co/gs6so2nGuZ https://t.co/KdWZ3F7H8l"
2017-12-01,"NEW | N.L. lags in early HIV diagnosis. Could pharmacies help change that?

https://t.co/fCWZLoMkZA https://t.co/KJqPg27s0u"
2017-12-01,"When it comes to safety, keeping license plates with owners instead of cars is key, argues Doug McCarthy #nltraffic

https://t.co/yZC1S4JDhB https://t.co/FOzmN1W2NU"
2017-12-01,Giv'er the moose and Ryan Snoddon want to see you on Feed N.L. Day: https://t.co/sw78wkcFVs via @YouTube
2017-12-01,"'This is not about me': Free childcare at St. John's city hall meetings? Not everyone agrees

https://t.co/ittjKqcvTD https://t.co/BPXTnsIyZG"
