created_at,text
2017-12-02,"Christmas tree prices rise for first time in almost a decade
https://t.co/l7fzqk6BA1 https://t.co/RFevShlpOj"
2017-12-02,How journalists spread the word about the Halifax Explosion https://t.co/uvSUIUylRT https://t.co/1bNzJ4zV1J
2017-12-02,"CBC Nova Scotia News December 01, 2017 https://t.co/A62vb9KN7T https://t.co/H99KRrslIv"
2017-12-02,"Stock admits to running hospital shuttle in apparent licence breach
https://t.co/lO5DXJRaVW https://t.co/qYx3JEOwjc"
2017-12-02,\$70M floating factory will harvest tongue-shaped N.S. clams for Asian sushi https://t.co/pCywALBV1M https://t.co/HpgPdHUV9S
2017-12-02,"This is how kids in Whitehorse are honouring the 1st cat in space
https://t.co/lfEm5PFsd0 https://t.co/AQkT4ECLIK"
2017-12-02,"Canada adds 80,000 jobs in November
https://t.co/z2BA76kxUH https://t.co/jwIoHGl7bI"
2017-12-01,"Man with head injuries found unconscious on Spryfield sidewalk
https://t.co/UmHbytu8jP https://t.co/tuIYQDeqU5"
2017-12-01,"National parks free for people under 17 starting in 2018
https://t.co/yFWHXYP2eC https://t.co/TitIBxFmwl"
2017-12-01,"Prince Harry, fiancée Meghan Markle make 1st official joint tour
https://t.co/kFNJgWeh1y https://t.co/r18pJ2pPIN"
2017-12-01,"Police photos, video dominate evidence in Week 2 of Catherine Campbell murder trial https://t.co/YWPIgaVdx7 https://t.co/7TQ3143g7b"
2017-12-01,"Bridgewater's reduced energy costs saved town about $200K
https://t.co/6ESVIypFqD https://t.co/m9IY15rTay"
2017-12-01,Stock admits to running hospital shuttle in apparent licence breach https://t.co/dgi08jHN0T https://t.co/FnPJ3giCf6
2017-12-01,"Bible Hill shed builder, wife face 13 counts of fraud
https://t.co/HqN6pHIuw4 https://t.co/xj2XSp1ZmM"
2017-12-01,"Is a mystery shipwreck connected to the Halifax Explosion?
https://t.co/tnKrmDNYi7 https://t.co/ADiFTVD2ad"
2017-12-01,"Ocean microphones signal habitat shift for endangered right whales
https://t.co/GFdQmS0uBV https://t.co/WQ7CLMvwEb"
2017-12-01,"Flynn pleads guilty to lying, says Trump transition team directed him
https://t.co/YeFMJz6mLr https://t.co/VKa3ynFviL"
2017-12-01,Englishtown ferry going out of service for months https://t.co/AyJe3okQdu https://t.co/s2Nm3KmzGH
2017-12-01,"Cash will no longer be king at Bell Aliant stores come the new year
https://t.co/l6m4CsncUy https://t.co/eWt7C5gzRV"
2017-12-01,"Badly injured man found unconscious on Spryfield sidewalk 
https://t.co/UmHbytu8jP https://t.co/Kkrwd4QzEP"
2017-12-01,Locals hope new Pugwash health-care facility will attract more doctors https://t.co/v98TnOLGdL https://t.co/4tyy2Pa3fd
2017-12-01,Canada signs historic High Arctic commercial fishing ban https://t.co/aJPxG2s23B https://t.co/FeKVSGlBWC
2017-12-01,No cancer navigator on South Shore means some patients are on their own https://t.co/HpaYI9kEzI https://t.co/Zns4Bm5SF6
2017-12-01,"Doctors group pushes for physicians to stop doing unnecessary tests
https://t.co/Bcs2eSR9Eg https://t.co/iTTkw3Z046"
2017-12-01,Ocean microphones signal habitat shift for endangered right whales https://t.co/IYYnOBsjui https://t.co/jIijmSmmqp
2017-12-01,"Bridgewater's reduced energy costs saved town about $200K
https://t.co/6ESVIypFqD https://t.co/sA6BNzkZVV"
2017-12-01,"Maritime newspaper lovers pay to fly Globe and Mail east after delivery cancelled
https://t.co/6g2uye7RTh https://t.co/8ShdPfDn61"
2017-12-01,UPDATED Former Trump adviser Michael Flynn pleads guilty to lying to FBI https://t.co/YeFMJz6mLr https://t.co/3X3dPbuJIW
2017-12-01,"Prince Harry and fiancée Meghan Markle make first official joint tour
https://t.co/kFNJgWeh1y https://t.co/GofMN0K4QY"
2017-12-01,Cash will no longer be king at Bell Aliant stores come the new year https://t.co/TN6gD8nTbe https://t.co/8uUAZEdiUY
2017-12-01,"Is a mystery shipwreck connected to the Halifax Explosion?
https://t.co/tnKrmDNYi7 https://t.co/zlsUXY4gMY"
2017-12-01,1 in 5 Canadians infected with HIV doesn't know it https://t.co/PYLf2Rk2ns https://t.co/q87CNEETRv
2017-12-01,Badly injured man found unconscious on Spryfield sidewalk https://t.co/QuQtZdoXEA https://t.co/yzKiR97KP6
2017-12-01,St. Francis Xavier's forearm set for cross-country tour — and it'll get its own seat on Air Canada https://t.co/X5sUJnTRsp https://t.co/1cihJmy0aR
2017-12-01,"Bible Hill shed builder, wife face 13 counts of fraud
https://t.co/HqN6pHIuw4 https://t.co/d7lXVBDmVz"
2017-12-01,"Mi'kmaq Grand Chief Ben Sylliboy dead at 76
https://t.co/iTZ2uQHSkR https://t.co/JN7sbWSdBB"
2017-12-01,How workplace deaths haunt 7 Canadian families https://t.co/c7K3jRLdEN https://t.co/DD7l4oHXVm
2017-12-01,Doctors group pushes for physicians to stop doing unnecessary tests https://t.co/rdtVXbLsfH https://t.co/Ck4jgPEFED
2017-12-01,Maritime newspaper lovers pay to fly Globe and Mail east after delivery cancelled https://t.co/jGvht6B1vl https://t.co/DkqCkgdKfe
2017-12-01,The secret travelling life of the Atlantic puffin https://t.co/FP7ZSTMcE5 https://t.co/bSMW2RGcfM
2017-12-01,Is a mystery shipwreck connected to the Halifax Explosion? https://t.co/AwTUFw7wMB https://t.co/AGkLVD8EIT
2017-12-01,Bridgewater's reduced energy costs saved town about \$200K https://t.co/88oPLqXZAN https://t.co/ZjwnJywMsv
2017-12-01,Finally! https://t.co/C4AnkdeVhq
2017-12-01,"A troubling reality of the Halifax Explosion relief effort — racism
https://t.co/7JhPMmYEHU https://t.co/01GZndHoIn"
2017-12-01,"This firefighter was metres from the Mont-Blanc when it exploded, but he survived
https://t.co/7ixnAEdcNk https://t.co/UcfTE7xCJ1"
2017-12-01,"Shorter hours at the North Sydney ER won't help with doctor shortage, critics say
https://t.co/W5bCHtrei7 https://t.co/Q6D944IUsM"
2017-12-01,"Westray was a watershed for worker safety. Then why do so many still die on the job?
https://t.co/YHEMPoenBd https://t.co/Z2snsqAuAg"
2017-12-01,"'Just a matter of time': North Korea's missile capabilities may be closer than once thought
https://t.co/8LYtvFtb28 https://t.co/nGmMV9lb5H"
2017-12-01,"Parents 'scared' as son with severe autism faces release without home supports
https://t.co/izsnh20MmS https://t.co/hBPbwWy6eI"
2017-11-30,"CBC Nova Scotia News November 30, 2017 https://t.co/AU7ofn9KOu https://t.co/8zsiiNssaL"
2017-11-30,"Bible Hill shed builder, wife face 13 counts of fraud https://t.co/0sEBTl2WKU https://t.co/NyU4ELhLkl"
2017-11-30,"Couple's South Shore retirement dream on the rocks due to doctor shortage
https://t.co/kJzecbTT8C https://t.co/ycUQwyVtCI"
2017-11-30,Mi'kmaq Grand Chief Ben Sylliboy dies at 76 https://t.co/Bl12vNIHpB https://t.co/kvGBlY8IuL
2017-11-30,'We're doing the best we can': French immersion teacher shortage in Canada a chronic and stressful problem https://t.co/DF3wNxsPbZ https://t.co/dAKS6e6B51
2017-11-30,"OPINION Is there a path to redemption for any of the high-profile men accused of sexual misconduct?
https://t.co/BO76DefFFy https://t.co/9rxWieV9sK"
2017-11-30,Halifax man who drove stolen van in fatal crash sentenced to 7½ years https://t.co/I0ABuxBEg7 https://t.co/pD7ETB78tl
2017-11-30,"Report touts health authority progress, highlights ongoing problems https://t.co/0vLjhime5q https://t.co/7ZMa7aU9Ht"
2017-11-30,PARADISE PAPERS Doubts cast on Canadian citizenship of Mulroney's billionaire friend https://t.co/ZTBAGeXMS6 https://t.co/pyg3zSsxsf
