created_at,text
2017-12-02,Trip of a lifetime: family driving to the Arctic Ocean in a little red car https://t.co/JtcTV1J4Nw https://t.co/ZqQ62pZuXZ
2017-12-02,The Jerry Cans named Northerners of the Year by Up Here magazine https://t.co/SONFPDNE7F https://t.co/62Ao55kJlI
2017-12-01,"Gatineau police brushed aside concerns over missing Inuk teen, mother says https://t.co/gdmHhisAvE https://t.co/9KBwDnZMq7"
2017-12-01,New Nunavut Premier shuffles government's senior management https://t.co/JdcTPjgojL https://t.co/Dk8VhF6Eqd
2017-12-01,"Supreme Court's Peel decision 'a victory for democracy,' First Nations say https://t.co/lOULIQdWeM https://t.co/2RxwIcThv2"
2017-12-01,Pedestrian struck while crossing Yellowknife's Franklin Avenue  https://t.co/9QeooAWf9f https://t.co/8yiwVn7X8H
2017-12-01,"Alleged sexual assault victims can sue N.W.T. gov't anonymously, judge rules https://t.co/NdcJnvLgRJ https://t.co/3NvkYmvb9j"
2017-12-01,'Historic agreement:' Canada signs High Arctic commercial fishing ban https://t.co/hauhW6uTRR https://t.co/QZsB4BMSNL
2017-12-01,"Flu virus hits 3 communities in Nunavut, will spread fast, says health department https://t.co/MZkXx0UtKt https://t.co/FLhK98Ip7i"
2017-12-01,Yellowknife couple has vehicles damaged in evening smash up while relaxing at home https://t.co/qoB2w7ACAC https://t.co/VaslZYn2lP
2017-12-01,Grumbling over gravel in Dawson City https://t.co/gy2rhfDtcS https://t.co/TdCpcu2Miq
2017-12-01,Canadian Zinc hopes to start production at Prairie Creek mine in 2020 https://t.co/Wwzfn3LdsN https://t.co/P7UfjaLxAn
2017-12-01,More construction planned for Yellowknife's Franklin Avenue next summer https://t.co/fBqPlFBoP1 https://t.co/xMWRvStZCp
2017-12-01,Government wants more public input on Baffin Correctional Centre's makeover https://t.co/EqYVqGFRRP https://t.co/UZUgu04QHV
2017-12-01,"Supreme Court to rule on Peel watershed dispute between First Nations, Yukon government https://t.co/gyxY49p7aC https://t.co/cJvuvPzioV"
2017-12-01,Yukon woman denied conditional discharge because of daily pot habit https://t.co/SI0JkGgUcY https://t.co/X28lQ1eLbQ
