created_at,text
2017-11-29,"Environment Canada wind warning ended for Grise Fiord, NU"
2017-11-29,"Environment Canada wind warning continued for Grise Fiord, NU. Easterly winds gusting to 110 km/h have developed over Grise Fiord. Wind gusts will end near noon today."
2017-11-28,"Environment Canada blizzard warning ended for Umiujaq, QC; Sanikiluaq, NU"
2017-11-28,"Environment Canada blizzard warning for Umiujaq, QC"
2017-11-28,"Environment Canada wind warning ended for Pangnirtung, NU"
2017-11-28,"Environment Canada wind warning for Resolute Bay, Grise Fiord, Pangnirtung.NU. Winds gusting to 90(Resolute), 110 (Grise Fiord), and 100 (Pangnirtung) today"
2017-11-28,"Environment Canada blizzard warning ended for Iqaluit, NU"
2017-11-28,"The City of Iqaluit says it is suspending city services, including snow plows, for the remainder of the evening. They expect to update this in the morning."
2017-11-27,"Environment Canada wind warning issued for: Quaqtaq, QC"
2017-11-27,"Environment Canada blizzard warning for Kangiqsualujjuaq, QC and Iqaluit, NU. 10-20cm of snow with increasing winds gusting to 90km/h by tonight"
2017-11-27,"Environment Canada snowfall warning issued for: Clyde River, Qikiqtarjuaq, NU. 15-25cm expected today. Winds to 70km/h in Clyde River."
2017-11-26,"Environment Canada blizzard warning for Kangiqsualujjuaq, QC. Blizzard conditions expected to begin Monday afternoon."
2017-11-26,Environment Canada snowfall warning for Qikiqtarjuaq. 15-20cm expected Monday into Tuesday.
2017-11-26,"Environment Canada blizzard warning for Iqaluit.  Winds picking up during the day on Monday, blizzard expected Monday with 10-15 cm snow and northwest winds gusting to 90 km/h"
2017-11-25,"Environment Canada wind warning for Pangnirtung, NU. Gusts to 100 km/h possible today/tonight. Should gradually subside to 30 gusting to 50 km/h overnight."
2017-11-25,"City of Iqaluit says ""City is advising residents that due to the continuation of severe weather, City services remain suspended. An update will be provided later this afternoon."
2017-11-24,Clare Kines showing the beauty of Nunavut.  Another of his great photos is appearing on a Canada Post stamp! congrats @nunavutbirder https://t.co/yMb4RGBIie
2017-11-24,"Environment Canada snowfall warning for Iqaluit, NU.  10-15 cm expected. Snow heavy at times, with winds  gusting to 80 km/hr overnight/tomorrow"
2017-11-23,Man charged with manslaughter in connection to stabbing death in Gjoa Haven https://t.co/R9bAObPTJH https://t.co/sacJiTYtJN
2017-11-22,Environment Canada wind warning for Grise Fiord.   Easterly winds gusting 90 to 120 km/h continung until Thursday.
2017-11-21,"Environment Canada blizzard warning for: Resolute Bay, Hall Beach, Igloolik, Naujaat, Coral Harbour, Cape Dorset, Baker Lake, Arviat, Rankin Inlet, Whale Cove, NU; Salluit, QC"
2017-11-20,"Environment Canada blizzard warning in effect for Hall Beach, Igloolik, Naujaat, Cape Dorset, Coral Harbour NU; Salluit, Kangiqsujuaq - Raglan Lake, Quaqtaq, Kangirsuk, QC"
2017-11-20,"Wind warning in effect in Iqaluit, causes cancellations https://t.co/Cm9lJmi5hm https://t.co/XekgAQEW2b"
2017-11-20,Qikiqtani General Hospital in Iqaluit is down to essential services only this afternoon due to weather.
2017-11-20,"Environment Canada winter storm watch for Baker Lake, Arviat, Rankin Inlet, Whale Cove, NU. Storm expected on Tuesday"
2017-11-20,"Environment Canada blizzard warning continued for Hall Beach, Igloolik, Naujaat, Coral Harbour, Cape Dorset, NU; 
Kangiqsujuaq - Raglan Lake, 
Quaqtaq, Que. Kangirsuk, QC"
