created_at,text
2017-12-02,"@CTVIsaacCohen presenting the top player awards at the #ctv sponsored @Sudbury_Wolves won 6-2 against the @OHLSteelheads 
#sudburywolves #sudbury #mississaugasteelheads #ohlwolves #ohl #ctvnews #ctvnorthernontario https://t.co/g7qSLznegt"
2017-12-02,👏🏻Huge thank you to the students and staff at Lo-Ellen Park Secondary for their generous… https://t.co/7CPOp7C8o8
2017-12-02,Former #NHL stars hit the ice in #NorthBay to raise money for families of children with disabilities. @joeyslatteryCTV reports. @EasterSealsON #hockey #game #news @wendelclark17 https://t.co/Qu3GPJwgOp
2017-12-02,Canadian Shield Health Care Services handing out care packages to less fortunate in the #downtown #Sudbury. #news #ctv https://t.co/GLTeBg9xja
2017-12-02,#sault #curling @TeamBradJacobs is heading to Ottawa in an attempt to represent #Canada at the 2018 @Olympics. @LincolnCTV reports. #news #Games @curlingcanada #2018olympics #pyeongchang @2018pyeongchang https://t.co/HdFIobDqpR
2017-12-02,Four #northern #ontario entrepreneurs have been recognized for innovation in environmental projects that have helped to boost local economies. #agriculture #environment #innovation #news #ctv https://t.co/pLjICdptJP
2017-12-02,"@OPP_NER investigating fatal car crash on Highway 11. #news #ctv #CTVNews 
https://t.co/vNVLFLXWNx"
2017-12-02,"Province says it is expanding @OntNorthland bus service, MPP @BissonGilles reacts. #news #transportation #sudbury #northbay #sault #timmins https://t.co/l4bXGeUUia"
2017-12-02,#NorthBay community members took a moment to honour and mourn those lost to #HIV and #AIDS. @ShayGalorCTV reports. #news #world #health #aidsday #redscarf #worldAIDSDay2017 @acnbakst https://t.co/0KspeGEjhB
2017-12-02,#Timmins workshop to help #women facing #cancer treatments this weekend. @LydiaCTV reports. @LGFBCanada #beauty #confidence #news #ctv #ctvnews @collegeboreal https://t.co/w8HPAULg4d
2017-12-01,@HSN_Sudbury receives funding to implement chronic pain management program in #Sudbury. @ClaudeSharma reports. #ourcrater #weliveuphere #news #ctv #ctvnews https://t.co/Mujd73JAGa
2017-12-01,@Valeglobal and @Steelworkers Local 6500 come to agreement during temporary layoff at Coleman Mine in #Sudbury’s community of #Levack. @CallamRodyaCTV reports. #news #update #mine #jobs https://t.co/XKyECMrbfR
2017-12-01,@SudburyPolice aim to curb teen runaways and improve the outcomes for #youth in #Sudbury group homes with new program. @AlanaCTV reports. #ourcrater #weliveuphere #news #ctvnews https://t.co/evg7tnyRgr
2017-12-01,26 galleries and artist studios will take part in #art crawl in @downtownsudbury on Saturday featuring many different types of art. @rnobregaCTV reports. #news #home @GreaterSudbury #Sudbury #ourcrater #weliveuphere #sudburysaturdaynight https://t.co/enigZwsQ8m
2017-12-01,@Sudbury_Wolves hosting the slumping @OHLSteelheads  Friday night and looking to build momentum off their latest win. @CTVIsaacCohen reports. #hockey #game #sudbury #gowolvesgo #sports #news #ourcrater #ctvnews #ctv https://t.co/ROmpLzz3Zg
2017-12-01,"#UPDATE @valeglobal’s Coleman Mine will remain closed until late January, workers being compensated. #news #Sudbury #levack #mine #ctvnews #ctv #jobs https://t.co/FO8FW7C2B7"
2017-12-01,"Opposition criticizing new #hydro bills as #liberal promotion. #energy #news #onpoli #ctv #ctvnews
https://t.co/c8dlh8M86T"
2017-12-01,"Partly sunny skies and mild temperatures for most of the north, with messy #weather on the way. @CTVJessGosselin has the 7-day forecast. #snow #sun #sudbury #northbay #sault #timmins https://t.co/NXg152qEyf"
2017-12-01,"Former #NHL goalie, Ken Dryden, says #hockey can be made safer. #news #books #ctv #ctvnews https://t.co/YthMFdHbkq"
2017-12-01,"@ONeducation is reviewing student assessments to modernize the province’s curriculum. #news #education #onpoli #ctv #ctvnews
https://t.co/geRXhJhWgP"
2017-12-01,"Funding for a chronic pain management program announced for @HSN_Sudbury, will help with the opioid crisis. #health #news #sudbury #ourcrater #weliveuphere https://t.co/yUi9xhtUHM"
2017-12-01,"Stream Canadian music legend @NeilYoung's live concert Friday at 8et only on CTV.ca and iHeartRadio Canada. Details: https://t.co/UDv9YeRVuU #NeilYoungLive
@CTV_PR
@CTV_Television
@MUCH
@iHeartRadioCA
#iheartradiosecretsession
@BellMediaPR https://t.co/XPV83lypdl"
2017-12-01,The #Business Centre Nipissing Parry Sound hosts “Pitch Day” for local businesses to access grant funds. @ShayGalorCTV reports. #ontario #northbay #news #ctv #ctvnews https://t.co/6UFYcpJ83F
2017-12-01,Missed the #ctvnewsat5 and #ctvnewsat6 or just enjoy getting the late news. @CTVMARINAMOORE has… https://t.co/OHI6UEdhCu
2017-12-01,11th annual #food and toy drive at #Timmins grocery stores tomorrow. @LydiaCTV #news #hunger #ctv https://t.co/jQZjlxLZpm
2017-12-01,@McKinsey_MGI consultants expect 375 million workers worldwide will need to learn new #skills. #jobs #future #education #work #news  https://t.co/NoekaBA2pc
2017-12-01,Research shows that smartphone #addictions can lead to chemical imbalance in the brain. #smartphones  #ctv #ctvnews #news #sudbury #northbay #timmins #saultnews https://t.co/xL9NofsVt6
2017-12-01,@GreaterSudbury considering nearly doubling the hourly price for downtown parking meters. @CTVIsaacCohen reports. #Sudbury #ourcrater #weliveuphere #news #ctv #ctvnews @downtownsudbury https://t.co/aa1fHuYhF7
2017-12-01,"Farmer Bob of #SaultSteMarie writes book based on his life with buck saws, canoes and backpacks. @LincolnCTV reports. #news #ctv https://t.co/sF5LZFvoFi #sault"
2017-12-01,@NipissingU celebrates 25th anniversary with time capsule from 1992. @joeyslatteryCTV reports. #northbay #news #ctv #ctvnews https://t.co/PcIkJRg9g0
2017-12-01,"#Update on the disciplinary hearing of #sudbury judge John Keast. He has admitted to judicial misconduct. #news #ctv #ctvnews https://t.co/1h6ZcJKPQM 
#Court #law"
2017-12-01,@SudburyPolice have responded to over 20 incidents of vehicle break-ins and thefts in the Lively area this week. #crime #auto #theft @CallamRodyaCTV reports. #car #police #sudbury #news https://t.co/KhyDWaCGNP
2017-11-30,@CityOfTimmins considering whether Bogy’s Diner should take over events hall. @LydiaCTV reports. #Timmins #news #ctvnews  https://t.co/VngHyWJFxL
2017-11-30,Companies are toning down or eliminating holiday parties to reduce risk. @ClaudeSharma reports. #sudbury #news #christmasparty #christmas #northbay #timmins #sault #ctv  https://t.co/Oepk3OhhRn
2017-11-30,"With the festive party season beginning, road spot checks will increase and @SudburyPolice remind people to find a safe ride home after drinking. @LyndsayMoggyCTV reports. @OSAIDInc #drivesafe #news #ctv #ctvnews #sudbury #ourcrater #weliveuphere https://t.co/VfhGtzrcY0"
2017-11-30,Young carolers were out singing songs and collecting donations for Saturday's @CTVTelethon in #Sudbury. #ourcrater #weliveuphere #news #ctvtelethon #giving #parenting #momlife https://t.co/l58HDCEhwv
2017-11-30,#Foodbanks and soup kitchens are not the answer for #food security says @NBPSDHealthUnit. @joeyslatteryCTV reports.  #eatright #healthyliving #healthyeating #NorthBay @northbaylabour #News https://t.co/aOtZrqfu37
2017-11-30,Live musical acts will hit the #Sudbury Secondary stage Saturday for the @CTVTelethon.  Chair Sam Khoury joins @CTVTonyRyma in studio.  #ctvtelethon @lionsclubs #christmas #news https://t.co/urzGsIeMmF
2017-11-30,Students @NipissingU and @CanadoreCollege give back to the community in #NorthBay with #Holiday Hoopla event. @TGPNorthBay @jaime_brunet @NUSUtalks #IBelongAtNipissingU #christmas #giving https://t.co/TBRXilfuoi
2017-11-30,Chairperson of ctvtelethon Sam Khoury tells tony.ryma about Saturday’s telethon.  Make sure to… https://t.co/RdakoD2RFC
2017-11-30,Author Adam Shoalts is a well known #Canadian explorer and today he was in studio telling… https://t.co/KlrHk0jns5
2017-11-30,"@CTVTelethon is Saturday and the musicians are hard at work perfecting their acts. #ctvtelethon #news #christmas #music #ourcrater #Sudbury #weliveuphere
https://t.co/CJa7bkcsgw"
2017-11-30,"@LockerbyNet hosts community concert to celebrate the Joan Mantle #music Trust. #Sudbury
#ourcrater #weliveuphere #news https://t.co/wYQ48sOLao"
2017-11-30,"When will the #snow taper off? @CTVJessGosselin has your 7-day forecast. #weather #sun news
https://t.co/NzDQfdmTla"
2017-11-30,"#UPDATE Roads reopened after crash on Big Nickel Mine Rd in #Sudbury Thursday morning. #News @SudburyPolice
https://t.co/rSP8hByfOI"
2017-11-30,"Crash closes Big Nickel Mine Road at MR 55 in #Sudbury Thursday morning. #news #ctv #CTVnews @SudburyPolice
https://t.co/rSP8hByfOI"
2017-11-30,#update Electrical accident on #hwy69 upgraded to fatality. #news #sudbury @ONlabour #jobs https://t.co/uivSBJzeVt
2017-11-30,#BREAKING https://t.co/bSpXrdAuUL
2017-11-30,One person taken to @HSN_Sudbury  after a single vehicle rollover on #Hwy69. #sudbury #police #news #ctvnews https://t.co/YBwNe2H7so
2017-11-30,#Men’s volleyball team at @NipissingU #health raise money and awareness for men’s health. @ShayGalorCTV  reports.  #northbay #movember #cancer #today #beard  https://t.co/AV3rQEfWXi
2017-11-30,Only a few limited edition #aspiretoinspire toques left. Proceeds go to Christmas care packages… https://t.co/h7xYQ6GCRm
2017-11-30,@LCBO  has some affordable holiday gift ideas for the adults in your life. @rnobregaCTV reports.  #beer #whisky #wine #friends #craftbeer #sudbury #northbay #timmins #sault #christmasgift https://t.co/242liNIadN
2017-11-30,@SD_PublicHealth cautions about getting inked or pierced at a shop that is not inspected. @CTVIsaacCohen reports. #tattoo #tattoos #ink #sudbury #ourcrater #news #ctvnews https://t.co/wos9AIkGm9
2017-11-30,"@SaultMuseum is looking to document stories, photos and artifacts from the @OHLHoundPower nearly 100 year history. @LincolnCTV reports. #sault #news #hockey #ohl #chl https://t.co/3iAbCzKtvg"
