created_at,text
2017-12-02,A&amp;W gives $5 million to new U of S agriculture centre https://t.co/qM9TUxJ88Y #yxe
2017-12-02,"Pedestrian struck, killed on Preston Avenue https://t.co/XBQ8nvRGVL #yxe"
2017-12-01,"Jury calls for body imaging scanner, more training and nurses after Kilburn Hall teen death https://t.co/uPzaGdSATM #yxe"
2017-12-01,Inquest jury expected to make recommendations in 2015 death of teen at Kilburn Hall  https://t.co/soafK36Nhi #yxe
2017-12-01,"Woman assaulted, confined in Saskatoon home; five arrested https://t.co/nVqJ7eqUiB #yxe https://t.co/pNwSOfDvAA"
2017-12-01,Canada's top general says military not talking to U.S. about joining missile defence https://t.co/KiBK6NG7nD https://t.co/f8LatWEcDI
2017-12-01,Watch 11-year-old Meghan Markle challenge traditional gender roles in sexist ad https://t.co/CJVcnlLIFU https://t.co/9FoHAXGUIs
2017-12-01,"Teen shot in August now out of hospital -
 https://t.co/BRK9SNX3Xt #yxe #sk #sask https://t.co/tQvKwB6TwA"
2017-12-01,"Multiple shots fired in North Battleford, no suspects apprehended 
 -
 https://t.co/lQZ95QiuLI #yxe #sk https://t.co/v74gs7kv30"
2017-12-01,Kilburn Hall supervisor says teen showed no signs during his shift 911 needed to be called  https://t.co/rfYWpKMEcm #yxe
2017-12-01,Canadian farmers cut back pea production in wake of India import tax https://t.co/Zl0oxulOO6
2017-11-30,"Second-hand 'toke' could lead to failure of workplace drug test: study -
 https://t.co/IKz2NavFod https://t.co/jdUJinsdMw"
2017-11-30,Saskatchewan government provides funding for anti-bullying initiatives  https://t.co/JXXz8VYyZ4 #sask #sk
2017-11-30,New Juror Support Program launched https://t.co/dysYAeThir #sask #sk
2017-11-30,Saskatoon Farmers' Market cancels all weddings https://t.co/xQ8IqB6ESc #yxe
2017-11-30,Two sent to hospital after early morning collision on Lorne Avenue https://t.co/JefC0kFXwD #yxe https://t.co/tYqspodr7Q
2017-11-30,Car collides with light standard during morning commute https://t.co/xHRt2j4Fh8 #yxe https://t.co/R7fevEIHyt
2017-11-30,"New Juror Support Program launched -
 https://t.co/dysYAeThir #SK #Sask #Saskatchewan https://t.co/l35V9TB9OK"
2017-11-30,Gun report prompts lockdown of Ravine Drive school https://t.co/it8fuAE37S #yxe
2017-11-30,"Province introduces legislation to govern ridesharing apps like Uber and Lyft in Sask. -
 https://t.co/gotWNHJrd2 #sk #yxe https://t.co/nXvSVcPwga"
2017-11-30,"Vancouver Canucks forward Derek Dorsett, from Kindersley, ending career due to spinal issues https://t.co/fNfSIW6byh #sask #sk #nhl https://t.co/3EepSQN46z"
2017-11-30,Sask. government gives financial update - https://t.co/qZ7CgWCxge #SK #sask https://t.co/QEYumxNJEb
2017-11-30,Concern and optimism as single provincial health authority set to launch  https://t.co/g0MFcxN4Xt #yxe #sask
2017-11-30,Saskatoon men invent app for farmers to detect crop disease https://t.co/hkH6sDDY0u #sask #sk #yxe
2017-11-29,"Shooting, home invasion in North Battleford may be connected: RCMP https://t.co/K5Dj5DKuk1 #sask #sk"
2017-11-29,CanniMed adopts shareholder rights plan in takeover fight with Aurora Cannabis https://t.co/WwSX8Nfwnm #yxe https://t.co/DYMHhmY3Je
2017-11-29,"Saskatchewan deficit down slightly in mid-year update, but contingency fund gone https://t.co/BSi4xv70jp #sask #sk #skpoli"
2017-11-29,Northwoods owner John Pontes granted bail https://t.co/rTUhewgBaF #yxe
2017-11-29,Semi driver uninjured in Saskatoon rollover https://t.co/PanbuPgWr2 #yxe https://t.co/azqN8PLe6h
2017-11-29,"Former Saskatoon police chief to conduct review of chief coroner’s office 
 - https://t.co/m8IjrUnw25 #yxe #sk https://t.co/3zq7IyAvdV"
2017-11-29,"Teen charged after Battleford house shot multiple times -
 https://t.co/Onx6N31RQO #yxe #sk #sask https://t.co/hA5AnD5Eg2"
2017-11-29,Saskatoon taxpayers to see 4.7 per cent mill rate increase next year https://t.co/PwYgye4TI5 #yxe #yxecc https://t.co/k3756I4vlx
2017-11-29,"Teen said he used crystal meth day before his death, nurse tells inquest https://t.co/a3mrJDNrKE #yxe"
2017-11-28,PM Trudeau apologizes for LGBTQ discrimination by federal agencies https://t.co/V4bid9WYF4
2017-11-28,"Teen denied taking crystal meth despite days-long high, nurse tells inquest https://t.co/xNmDsZgrhw #yxe"
2017-11-28,Canadian rental vacancy rate decreases for the first time in three years: CMHC https://t.co/k0x8OQwAQB
2017-11-28,"Northwoods owner charged with sexual assault, extortion https://t.co/stlqOOA8pG #yxe"
2017-11-28,"Report: North Korea launches ballistic missile -
 https://t.co/tdo2Rvhodk https://t.co/EkHTEMGfgq"
2017-11-28,Saskatoon property tax hike sitting at 4.43 per cent heading into day two of budget deliberations https://t.co/KIzvrvQSrw #yxe #yxecc
2017-11-28,"Police lay 83 charges after drugs, stolen property seized in Lloydminster https://t.co/plsl78Ulxz"
2017-11-28,Passenger injured in Nov. 19 crash dies in hospital https://t.co/a8fgo0uo1D #yxe
2017-11-28,Remai Modern budget passes on day one of Saskatoon budget deliberations #yxe #yxecc https://t.co/khgxrX5jjh https://t.co/SfM9MzNU9u
2017-11-28,Union concerned about safety and mental health of correctional officers https://t.co/vu4FQ6ObMp #yxe
2017-11-28,"Crystal meth in teen inmate's body at time of death, inquest hears  https://t.co/HHAFqy0sVT #yxe"
2017-11-28,Saskatchewan Party leadership candidate helps arrest man allegedly stealing https://t.co/y1hxZiSfBd #sask #sk
2017-11-27,Twenty stolen basketball wheelchairs for kids found: Saskatoon police  https://t.co/Vz9FDCsf8I #yxe https://t.co/BPmQAegLrU
2017-11-27,Sask. government announces changes to the Animal Protection Act - https://t.co/uOt05ApjuM #yxe #sask https://t.co/dyIE3svLwR
2017-11-27,"Fireball spotted over Alberta, Saskatchewan after rocket re-enters earth’s atmosphere https://t.co/d7djRd425d #sask #sk https://t.co/118F6r4Vmy"
