created_at,text
2017-12-02,"A century ago, Halifax was a bustling port city supporting Allied troops fighting in the First World War, and then everything changed: https://t.co/FGS9ot6Zjy https://t.co/3ZENl0tgBV"
2017-12-02,"A Delta, B.C. family has a simple request for those looking for ways to spread Christmas cheer this season: Send a card to little Owen. https://t.co/NiNAu2nhEh @kendramangione https://t.co/TQh0NQQPIq"
2017-12-02,Putting up Christmas lights this weekend? Here are some tips to keep yourself safe. @CTVMcLaughlin https://t.co/ZljV8xDUX4
2017-12-02,"Warning: High-risk sex offender has been released to Vancouver halfway house, say police
https://t.co/gizlYFvaPN"
2017-12-02,"Under new rules that came into effect on Dec. 1, people caught stunt driving and street racing on B.C. roads now face driving prohibitions of up to three years. https://t.co/xdgCAy6WlD"
2017-12-02,The BC Coroners Service is looking into an incident where a car was found on fire in a downtown Chilliwack parking lot. https://t.co/MFsQdBdvTg
2017-12-02,"Chester the false killer whale died of a bacterial infection, an initial necropsy has found.
https://t.co/vaVeLXYfhJ"
2017-12-02,"""Come home,"" a friend pleads as the search continues for missing 25-year-old Australian national, last seen in Whistler. https://t.co/rPMusL3Mq2"
2017-12-02,"Police officers are being asked to attend the celebration in plainclothes and not to wear their uniform, not to carry any weapons and not to show up in marked police vehicles. https://t.co/FYwiQIXcIa https://t.co/GjReCStX1T"
2017-12-02,"WATCH LIVE: Neil Young presents a once-in-a-lifetime livestream concert event from a location somewhere in Canada, starting now on CTV.ca https://t.co/Q88D3gBZb1"
2017-12-02,Daniel Alphonse Paul was convicted of second-degree murder in the 2015 death of Crystal Rose Paull https://t.co/LyPh8Gvo3D
2017-12-01,"More on #SurreySix update: Attorney General David Eby has released a statement after the B.C. Supreme Court stayed charges against Jamie Bacon, saying he is ""shocked"" by the decision: https://t.co/mSDmVCk3Cr https://t.co/o0jPMXEhlg"
2017-12-01,"Should fentanyl awareness campaigns push the boundaries and focus on prevention, not harm-reduction? One Lower Mainland funeral services chain thinks so. https://t.co/uxgULcQD4s"
2017-12-01,"#BREAKING: The B.C. Supreme Court has stayed charges against Jamie Bacon in connection with the 2007 ""Surrey Six"" murders."
2017-12-01,"STORY: ""We are escalating our response, not just to prevent overdose deaths today, but to get at the very heart of the crisis so that no one has to lose another loved one,"" said Minister of Mental Health and Addictions Judy Darcy. https://t.co/sQ5clWt32t"
2017-12-01,"Provincial funding to help to reduce waitlists and meet demand for counselling, outreach and crisis support. https://t.co/NXJ8roaHeP"
