created_at,text
2017-12-01,"BREAKING:  Judge stays charges of first-degree murder and
conspiracy to commit murder against a man accused in the
execution-style slayings of six men in Surrey, B.C. https://t.co/3OzhPmUqOb"
2017-12-01,Gregg Zaun's flameout follows Sportsnet career filled with controversy https://t.co/Nm9cVEyUxF https://t.co/dimHffIPj9
2017-12-01,"Canada’s acting union ACTRA, on dealing with sexual harassment in the biz: https://t.co/B0gJtXKiAa From @CdnPressVideo https://t.co/ryn5lfpzgN"
2017-12-01,Meghan Markle is reppin' more Canadian fashion. She wore a Mackage coat at first official event with Prince Harry https://t.co/fzWLAnAdY3 https://t.co/Z1GQiXumz7
2017-12-01,JOB ALERT: We're hiring an experienced full-time reporter in Winnipeg who can cover assignments with accuracy and flair: https://t.co/A3v2DG8IRe https://t.co/RebgrwuhyO
2017-12-01,"BREAKING: Supreme Court overturns ruling on Yukon land plan 
 https://t.co/3EcoyDIR4K https://t.co/oLkugJTl2z"
2017-12-01,"Canada creates nearly 80,000 jobs last month as unemployment rate falls to 5.9% https://t.co/lK3UhNt3T7 #cdnecon"
2017-12-01,Economic growth slows to 1.7 per cent annual pace in third quarter https://t.co/Z8qH56uAum #cdnecon
2017-12-01,Unifor says a ruling on its Suncor Energy random drug testing injunction will be made on Dec. 7.  https://t.co/ZZwywR5e8Y
2017-12-01,"Basball analyst Greg Zaun fired from Sportsnet for ""inappropriate behaviour.""  https://t.co/IIFgB4k95E"
2017-12-01,Defence chief says military is not talking to the U.S. about joining missile defence.  https://t.co/vl87a2B77d
2017-12-01,Top court to decide whether Toronto Real Estate Board must share detailed home sales data online. https://t.co/EHwW3VjDeh
2017-12-01,Seven stories in the news today. https://t.co/PltBO6R8R4
2017-11-30,BREAKING: Kelly Ellard gets conditional day parole https://t.co/FCjYhOvff8 https://t.co/CIZ64Mwyd7
2017-11-30,"Lions hire Ed Hervey as GM, Buono to stay on as coach for 2018 https://t.co/bw4fEdwcLK https://t.co/aLb9bEYCq8"
2017-11-30,"BREAKING: Air Transat slammed, fined for handling of hours-long tarmac delay where passenger called 911 https://t.co/ezFRvghuD3 https://t.co/RPb0wzV0hA"
2017-11-30,"Jim Nabors, who starred on TV's 'Andy Griffith Show,' dies at 87 https://t.co/aQUrhfFs57 https://t.co/NX2Iy1lKW3"
2017-11-30,"Police uniforms, vehicles no longer allowed in Vancouver Pride parade.  https://t.co/BDdBgWBY9x"
2017-11-30,"Kelly Ellard, who killed 14-year-old Reena Virk in 1997, seeks day parole today.  https://t.co/C5H53NCuui"
2017-11-30,'Open banking' holds promise but cybersecurity fears loom for Canadian banks.  https://t.co/Z7UVZLrHvs
2017-11-30,Sentencing hearing to begin after RCMP convicted after Moncton shooting.  https://t.co/u9uo25ecey
2017-11-30,Six stories in the news today. https://t.co/4seWH92ugy
2017-11-29,Ontario moves on eye tattoo and eye jewellery ban https://t.co/R990yiNRY6
2017-11-29,Canada-U.S. meeting on North Korea crisis to present united front: Leslie https://t.co/UUYZHV097i #cdnpoli
2017-11-29,Salmon farms spewing untreated bloodwater puts wild fish at risk: advocates https://t.co/SiqH8qOei6
2017-11-29,New Brunswick lobster had part of a Pepsi logo on its claw: https://t.co/wJ7Pft5G7d https://t.co/clenAqFur9
2017-11-29,Jagmeet Singh supports language exception for Indigenous appointees to the Supreme Court https://t.co/Kg5236mgzL #cdnpoli https://t.co/s6Wli9kBr5
2017-11-29,Mastermind in jealousy murder of 14-year-old Stefanie Rengel granted unescorted absences from prison https://t.co/1GAZvnVbzT https://t.co/QhhOJ0T6NS
2017-11-29,"LGBTQ 'purge' class-action settlement could grant up to $150,000 in payments https://t.co/o4YGtY5MDo #cdnpoli https://t.co/pGUXYjZuyy"
2017-11-29,"Montreal-area Mohawk community members challenge 'marry out, move out' rules in court: https://t.co/3grYomCOPb https://t.co/Dcdpd9nxCD"
2017-11-29,"Final data from the census shows education rates, commute times and time at work are all growing https://t.co/h05yMCFCIZ https://t.co/6RUWm2zKeq"
2017-11-29,"Jean Coutu shareholders overwhelmingly approve pharmacy chain's sale to grocer Metro 
https://t.co/DDiIAif6r4 https://t.co/JkD1FwqAQa"
2017-11-29,"Prime Minister Justin Trudeau names Sheilah Martin to Supreme Court of Canada 
 https://t.co/YIhuAzXNsF #cdnpoli https://t.co/asrYxJiyQG"
2017-11-29,CENSUS 2016: Work-at-home trend stays static as daily commutes get longer across Canada https://t.co/U6YJAeHeqp
2017-11-29,CENSUS 2016: The 10 most common occupations in Canada last year https://t.co/x6rQfquWZX
2017-11-29,"CENSUS 2016: Gender gap in STEM fields proving difficult to close, say experts, census data https://t.co/SmydCZ0St8"
2017-11-29,"CENSUS 2016: Older Canadians forgoing retirement, working through golden years https://t.co/a1Ju4M3Ou6"
2017-11-29,CENSUS 2016: Highlights from Statistics Canada's final release of 2016 census data https://t.co/8VBdFxzMc5
2017-11-29,"CENSUS 2016: Education rates, commute times and time at work all growing, census shows https://t.co/V51ZcDlgcp"
2017-11-29,NBC News fires Matt Lauer over inappropriate sexual behaviour https://t.co/yrfyHfouLj
2017-11-29,Canadian man accused in Yahoo hack pleads guilty in American court.  https://t.co/tYdA5MAiJt
2017-11-29,"Total number of Canadians impacted by cyber attack passes 19,000: Equifax Canada.  https://t.co/RUyOw2diOJ"
2017-11-29,"North Korea nuclear crisis: Canada, U.S. to co-host big international meeting.  https://t.co/fBVT0cfpBx"
2017-11-29,Ontario set for last cap-and-trade auction before joining Quebec and California.   https://t.co/kCAUCptlOE
2017-11-29,Woman behind Stefanie Rengel murder in 2008 seeks unescorted absences from prison.  https://t.co/v68pGVTsoA
2017-11-29,Grassy Narrows leaders to meet with government ministers today in Toronto to push for mercury treatment centre.  https://t.co/U7gw3u7At8
2017-11-29,Six stories in the news today. https://t.co/iJZ3NJ8qel
2017-11-28,BREAKING: Justin Trudeau apologizes for decades of LGBTQ discrimination by federal agencies https://t.co/anS4uhezHi #cdnpoli https://t.co/ZI6dMXdRF6
2017-11-28,BREAKING: Finance Minister Bill Morneau threatens legal action against Tories  https://t.co/ptVITkVhUu #cdnpoli https://t.co/cRjyRbMLh9
2017-11-28,BREAKING: Finance minister Bill Morneau threatens legal action against Tories https://t.co/ptVITkVhUu #cdnpoli https://t.co/aH3zBBGxz1
2017-11-28,Cops who mocked woman with Down syndrome plead guilty https://t.co/F5SawuPouZ https://t.co/EgK0hyvX4g
2017-11-28,"William Shatner is offering to settle the Ontario condo spat --  if the developer makes a ""nice big donation"" to charity: https://t.co/HdDUI9QP8q https://t.co/wFQkmP4rv8"
2017-11-28,Meghan Markle wore a Canadian coat for her engagement photo-op with Prince Harry. The wool coat is already sold out https://t.co/Ho3uvueBDm https://t.co/PG4hIS4lVW
2017-11-28,The Argos are back with the #GreyCup and will be celebrating at Toronto city hall: https://t.co/9kKGJIo29Y https://t.co/t2K4CLWtQr
2017-11-28,Scotiabank submits bid to buy Chilean banking interest for $2.9 billion.  https://t.co/jEos132zxT
2017-11-28,Hannah Bell wins PEI byelection for Green party.  https://t.co/l5QYvvBUlf
2017-11-28,"Canadians stuck in Bali as Mount Agung erupts, cancelling flights.  https://t.co/wX0GYot7vP"
2017-11-28,Trudeau makes apologies his dad wouldn't for historic injustices.  By Joan Bryden.  https://t.co/f45bvbByDG
2017-11-28,Privatizing Ontario electricity companies would help lower rates: report.  https://t.co/sAsYOXU315
2017-11-28,Eight stories in the news today. https://t.co/CewDHvVdUU
2017-11-27,The Argos are back in Toronto with some new #GreyCup hardware: https://t.co/9kKGJIo29Y https://t.co/TdHC8Kh7lh
2017-11-27,Canadians are stuck in Bali as Mount Agung volcano erupts and airports are closed: https://t.co/LnnNf0QlSK https://t.co/0ilcIFJBSH
2017-11-27,"Nine people dead in London, Ont., area in streptococcus outbreak https://t.co/mWp7spj1CV"
2017-11-27,Feds face new pressure to help hobbled newspaper industry amid more shutdowns https://t.co/B692pBDMuk #cdnpoli https://t.co/aIhlDEJWda
2017-11-27,Meghan Markle wore a Canadian coat for her engagement photo-op with Prince Harry. The wool coat is already sold out https://t.co/Ho3uvtX0LO https://t.co/a6L4gGwVbY
2017-11-27,"Here's some of the Toronto shooting locations where Meghan Markle has shot ""Suits"" https://t.co/bt89credIq https://t.co/iSGWZy0Rwv"
