created_at,text
2017-12-02,"Jingle Bell Walk, Christmas-tree lighting held Friday night in Charlottetown - The Guardian - https://t.co/rMb6mzDJXR"
2017-12-02,"Jingle Bell Walk, Christmas-tree lighting held Friday night in Charlottetown - The Guardian - https://t.co/PdBw1GcB0C"
2017-12-02,"Resident, councillor want to see Charlottetown host a public meeting for budget outline and feedback - https://t.co/BR9HsXr5PR"
2017-12-02,Catholic Faith Heritage Series continues in Charlottetown with 'Lily ... - The Journal Pioneer - https://t.co/NOgHrgmAnV
2017-12-02,Beer to be sold at Charlottetown grocery store - CBC.ca - https://t.co/Ab3CL0c907
2017-12-02,"Maid Marian's Diner in Charlottetown sold after 30 years, but it's staying in the family - The Guard - https://t.co/PLARGs3NtM"
2017-12-02,Pedestrian in hospital after being struck by vehicle in Charlottetown - CBC.ca - https://t.co/WtgStQJYqs
2017-12-01,WALKOM: Canada can play diplomacy role in North Korean crisis - TheChronicleHerald.ca - https://t.co/XDH0bXgXBB
2017-12-01,"Newcomers, Invaders In Feature Pace - Standardbred Canada - https://t.co/kdbsskkPdF"
2017-12-01,8 fun things to do on PEI this first weekend of December - CBC.ca - https://t.co/zxtoCliQAU
2017-12-01,Deadline Approaching for Holiday Home Decorating Contest - https://t.co/Z0X9mXydhm
2017-12-01,Name released of one man charged in violent incident in Charlottetown Wednesday - The Guardian - https://t.co/hhC2jMNz8o
2017-12-01,IN PHOTOS: Team Canada hits ice for first World Sledge Hockey Challenge practice in Charlottetown -  - https://t.co/YgGqLI5KqA
2017-12-01,IN PHOTOS: Team Canada hits ice for first World Sledge Hockey ... - The Guardian - https://t.co/kk66R914ha
2017-12-01,Pets or meat? PEI petting farm gets flak after some goats are sold as meat - National Post - https://t.co/evLGi2CGkV
2017-12-01,Charlottetown Council committees return to normal after byelection - The Guardian - https://t.co/Qz5CoEkwmI
2017-12-01,Name released of one man charged in violent incident in Charlottetown Wednesday - The Guardian - https://t.co/kfLMKOXVcq
2017-12-01,Catholic Faith Heritage Series continues in Charlottetown with 'Lily of the Mohawks' - The Journal P - https://t.co/VoIgt4H7n9
2017-12-01,Car crashes into Charlottetown Superstore causing around $50K in damage - The Guardian - https://t.co/rpGCTKFrJ7
2017-12-01,Charlottetown planning process lacks transparency: Coun. Mitchell Tweel - The Guardian - https://t.co/Q0hZywrgK2
2017-12-01,Al Douglas running for Charlottetown mayor in 2018 - The Guardian - https://t.co/F9Y3sM4TaT
2017-12-01,"Charlottetown will see an additional 30 senior units, Mundy confirms - The Guardian - https://t.co/meWz4WAmnz"
2017-11-30,Al Douglas is running for mayor of Charlottetown in 2018 - CBC.ca - https://t.co/xlg7j077rZ
2017-11-30,Charlottetown woman looks to spread seasonal cheer to seniors - The Guardian - https://t.co/zJCvfrj7ar
2017-11-30,Charlottetown planning process lacks transparency: Coun. Mitchell Tweel - The Guardian - https://t.co/vORHlcMAGa
2017-11-30,Charlottetown Closing Out 2017 Sport Tourism Year on a High Note - https://t.co/uJvjDEMXip
2017-11-30,Standing Committees of Council Adjusted - https://t.co/BKDPAkS2KY
2017-11-30,"Canada, US held joint exercises simulating nuclear attack on both sides of border - CBC.ca - https://t.co/29wfJSTOMC"
2017-11-30,It's all about staying in the present for Billy Bridges - The Journal Pioneer - https://t.co/DXwiNwvgg6
2017-11-30,What are we getting into with the St. John's Edge and NBL Canada? - Northern Pen - https://t.co/DFjWNblhWJ
2017-11-30,Al Douglas running for Charlottetown mayor in 2018 - The Guardian - https://t.co/BBJy3rvVGO
2017-11-30,Charlottetown woman looks to spread seasonal cheer to seniors - The Guardian - https://t.co/fsivEUIDMb
2017-11-30,Al Douglas running for Charlottetown mayor in 2018 - The Guardian - https://t.co/wS3DfPUfmq
2017-11-30,Charlottetown police asking for help with name of person on video - The Guardian - https://t.co/bXEdHLV07q
2017-11-30,"Two men arrested after alleged aggravated assault in Charlottetown, charges pending - The Guardian - https://t.co/xPAuo7AEeI"
2017-11-30,Charlottetown residents concerned rezoning home could lead to ... - The Guardian - https://t.co/CXIxGioVTL
2017-11-30,Charlottetown residents concerned rezoning home could lead to traffic hazard - The Guardian - https://t.co/EmuoSCgYqj
2017-11-30,Murray Sinclair urges Canada to fix 'racist' proclamation in its constitution - National Observer - https://t.co/QAE8qckpV0
2017-11-30,Charlottetown Salvation Army desperate for kettle campaign volunteers - CBC.ca - https://t.co/iO6062Ea7i
2017-11-29,Another alleged drunk driver in a Charlottetown parking lot - The Guardian - https://t.co/DfYrBYJbIX
2017-11-29,"Two men arrested after alleged aggravated assault in Charlottetown, charges pending - The Guardian - https://t.co/ZBbUrApi9L"
2017-11-29,To build or not to build? Report coming soon on new Charlottetown sports complex - CBC.ca - https://t.co/PzzSyCmWdE
2017-11-29,Charlottetown police asking for help with name of person on video - The Guardian - https://t.co/IedE57605c
2017-11-29,Another alleged drunk driver in a Charlottetown parking lot - The Guardian - https://t.co/zWNRSgZX9j
2017-11-29,Charlottetown store that helps women with free clothing finds new home - CBC.ca - https://t.co/cpDK7HZYwc
2017-11-29,Listen for the Sirens at 'Winter's Night' choral performance in Charlottetown - The Journal Pioneer - https://t.co/IAJ5PfC65P
2017-11-29,PEI apartment vacancy rate hits record low - CBC.ca - https://t.co/ZsxH7aJFRJ
2017-11-29,PyeongChang 2018: 10 things to know - International Paralymic Committee - https://t.co/u1gCbO5FZL
2017-11-29,Politics Briefing: Canada's seniors are working longer - The Globe and Mail - https://t.co/qRillJKuQH
2017-11-28,UPDATE: PEI Green party's Hannah Bell wins byelection in Charlottetown-Parkdale - The Guardian - https://t.co/7rzUFoK7V3
2017-11-28,Looking a lot (more) like Christmas after $42000 spend by City of Charlottetown - The Guardian - https://t.co/dHgkNKmaTg
2017-11-28,IRAC rejects 27-unit apartment complex on Pine Drive in Charlottetown - The Guardian - https://t.co/HmBM9nuDAo
2017-11-28,Landmarks to Light Up in Red in Honour of Team Canada Visit - https://t.co/KID13JOzU9
2017-11-28,IRAC rejects 27-unit apartment complex on Pine Drive in Charlottetown - The Journal Pioneer - https://t.co/S9oJGMW3tt
2017-11-28,Reminder: Annual Jingle Bell Walk to Take Place This Friday - https://t.co/PkHqblB9Ev
2017-11-28,Traffic Advisory: Road Closure on Kent Street - https://t.co/HTMmO2RD78
2017-11-28,Green's Hannah Bell wins District 11 byelection by 157 votes - CBC.ca - CBC.ca - https://t.co/9usIxmZGKd
2017-11-28,Water main leak closes downtown Charlottetown Street - CBC.ca - https://t.co/sYYIOjP5Gk
