created_at,text
2017-12-02,There were complaints about mice scurrying about in the White House Situation Room https://t.co/LO8UZIe3UG
2017-12-02,Carly Sutherland said the stress of her family’s situation has left her feeling like a failure. https://t.co/U4JEqvaOyK
2017-12-02,Walker said getting a reward never entered her mind. She simply “wanted to do the right thing.” https://t.co/DR70VkCBJC
2017-12-02,"The 62-year-old says the museum is not designed for children, but for adult collectors of toys. https://t.co/1qvxcBI8QO"
2017-12-02,"Tillerson is said to have a softer line on North Korea than Trump would like, and was reported to have called the president a ""moron."" https://t.co/hqbFK6kPwZ"
2017-12-02,"The 72-year-old wartime commander was given a 20 year prison sentence, leading him to drink the cyanide. https://t.co/kHb4FgmSk6"
2017-12-02,Two Sportsnet employees painted a picture of an offensive workplace environment where sexist comments are tolerated. https://t.co/i6hXYebmxA
2017-12-02,The facility’s staff was so touched by the family's story that they had to help. https://t.co/VYIaT74Vsc
2017-12-02,"“They literally are invisible to the world, to the global community, to the world at large.” https://t.co/IK7CHGic1U"
2017-12-02,An act of subtle shade-throwing or pure coincidence? https://t.co/76F72roAKG
2017-12-02,"According to court papers filed, a “very senior transition official” directed Flynn to contact Russia. https://t.co/UOk2ea7QJy"
2017-12-01,"Autism Nova Scotia says the services the province provides to those with autism results in a patchwork of programs
 https://t.co/0Xg1fgx52u"
2017-12-01,"Canada's top general calls North Korea's missile capabilities an emerging threat, but not a proven threat. https://t.co/VmuzNtNSni"
2017-12-01,Five-time champion Brazil will face Switzerland in their FIFA World Cup opener. https://t.co/WenNaQ6yGI
2017-12-01,"If the Bali volcano's eruption is big enough, it could mean a longer winter, or a cooler summer, in Canada. https://t.co/YQzJLqrcMe"
2017-12-01,Can you guess #1? We'll give you a hint: it's a helluva town. https://t.co/hTa27Brgs0
2017-12-01,"Donald Trump’s son-in-law is the “senior official” who told Michael Flynn to contact Russian officials, according to reports. https://t.co/t7q8aUsz8i"
2017-12-01,"N.S. special needs student plays in basketball tournament, named player of the game
https://t.co/eEeoIdDQme"
2017-12-01,"“He starts dribbling, right to the basket and he scores. The gym went crazy. It was great. He was happy.” https://t.co/i4NLVIdrv3"
2017-12-01,"“Anything we can do to help support mental health and as curlers it’s a big part of our lives now,” said Peter Case
https://t.co/bPkfpo6xHB"
2017-12-01,"Even though lawyers haven't been able to hand the lawsuit to Weinstein, an Ontario judge has considered him served. https://t.co/Hnd2EaDEG8"
2017-12-01,The bill required citizens giving and receiving services to do so with their faces uncovered https://t.co/shUjVhhNLh
2017-12-01,"Prosecutors also want Shkreli to give up $5 million in cash, his interest in a pharmaceutical company and a Picasso painting. https://t.co/lhjzYmPMrr"
2017-12-01,"“We would love nothing more than for the federal government to say we will allow medical marijuana dispensaries.""
 https://t.co/X4Kk6zxyw2"
2017-12-01,Trump’s businesses would likely face lower rates and Trump himself would pay lower personal income rates. https://t.co/NHLtSa93GG
2017-12-01,"Ford is seeking damages “in excess of $75,000” from John Cena. https://t.co/P5lQSPbcRT"
2017-12-01,The suicide pact letter was signed by as many as 62 students. https://t.co/V12yJIoJM6
2017-12-01,A 9-year-old B.C. girl has died after being hit by bus Friday morning https://t.co/z6TZBB8h1F
2017-12-01,The largest volcano eruption ever recorded — in 1815 — caused temperatures to drop up to 3°C around the globe. https://t.co/KNLJECZ6Dd
2017-12-01,Elon Musk hailed the battery as “just the beginning.” https://t.co/MYjm8UbjZO
2017-12-01,DMX will be required to pay $1.7 million in back taxes. https://t.co/mSrDP3kUuy
2017-12-01,"Between January and July 2017, 17 residents died from an opioid overdose #NewBrunswick
https://t.co/7ICNQY73rr"
2017-12-01,The Roseanne revival is set to return in 2018. https://t.co/XcexwMuY8y
2017-12-01,Has Flynn officially flipped on the Trump administration?https://t.co/JENlHZM1DJ
2017-12-01,Pets or meat? P.E.I. petting farm gets flak after some goats are sold as meat https://t.co/QNqUHB5Lz9
