created_at,text
2017-12-02,OPINION: Building a better Halifax for all includes a poverty-free community - TheChronicleHerald.ca - https://t.co/90ki5IG94z
2017-12-02,More people would likely die if the 1917 Halifax Explosion occurred today - CBC.ca - https://t.co/kScjS1TYjt
2017-12-02,Plan to reduce number of Halifax drivers sparks criticism - CTV News - https://t.co/6jmAZdl2NL
2017-12-02,Special Halifax Explosion exhibit features two rare artifacts - HalifaxToday.ca - https://t.co/FCrLcdCIBz
2017-12-02,SIMON LLOYD: Impact of the Halifax Explosion felt on PEI - The Guardian - https://t.co/xMHMj6DpxR
2017-12-02,"Good morning, Halifax! - HalifaxToday.ca - https://t.co/iAj1SHzCrb"
2017-12-02,New books remember the Great Halifax Explosion - Toronto Star - https://t.co/tsZZAQZC90
2017-12-02,Halifax airport offers to fly family's missing camera back to Saskatchewan - Globalnews.ca - https://t.co/PzqexuIbpu
2017-12-02,How journalists spread the word about the Halifax Explosion - CBC.ca - https://t.co/MY7IjSWKLx
2017-12-02,Halifax man found with life-threatening head injuries on Spryfield sidewalk - HalifaxToday.ca - https://t.co/jUWlqS1xn7
2017-12-02,Walk 'till you shop: Halifax Transit users frustrated with new IKEA 'shortcut' - CTV News - https://t.co/fof5Meod2r
2017-12-01,The Halifax Explosion: Canada's deadliest disaster left an enduring mark on the city - CTV News - https://t.co/WFNDrHJagL
2017-12-01,"Use your phone to pay at Halifax parking meters, starting Monday - TheChronicleHerald.ca - https://t.co/Dq5jirfZkl"
2017-12-01,Journalists key in sparking relief efforts after Halifax Explosion: researchers - Globalnews.ca - https://t.co/OtFj9SH1hN
2017-12-01,Journalists key in sparking relief efforts after Halifax Explosion:researchers - Times Colonist - https://t.co/s2U4n48DCS
2017-12-01,OPINION: It's time for a touchdown in Halifax - TheChronicleHerald.ca - https://t.co/NvvgTLxLqX
2017-12-01,Is a mystery shipwreck connected to the Halifax Explosion? - CBC.ca - https://t.co/u19uyiG2yU
2017-12-01,"Good morning, Halifax! - HalifaxToday.ca - https://t.co/aRcky3Vd1g"
