created_at,text
2017-12-02,Senator suggests new investigation to avoid Senate from being 'further tarnished' https://t.co/uSXKqaINRc https://t.co/PBo4Tt1mQg
2017-12-01,"Bell launching Lucky Mobile, new discount wireless brand https://t.co/pdlKfdTYm8 https://t.co/K0wBNVolIV"
2017-12-01,Canada's unemployment rate plunges to lowest in nearly a decade https://t.co/YvnTgxKd0L https://t.co/XE4AXiR8fn
2017-12-01,Tory MP kicked out of question period for getting too mad about Morneau https://t.co/dlhMiwQ7cb https://t.co/UXSQfu4Trk
2017-11-30,“Magnetic pull:’ families of quadruple homicide victims come together https://t.co/N2W87CJX0w https://t.co/6rkxjcddl4
2017-11-30,"""Rigged against them:” Alberta takes steps to stop ticket scalping https://t.co/ejG8faLZwV https://t.co/Y8OOtKtmyU"
2017-11-30,"'Justin Trudeau, My Boyfriend' calendar truly, really, very much exists https://t.co/ox268xcadT https://t.co/1GbQZjd4Vz"
2017-11-30,"20 gift ideas for new parents who, let's face it, really need a treat https://t.co/9dbBeMCIEJ https://t.co/gxwesW2vNa"
2017-11-29,"Canadians are putting in more time at school, work, and on the road: StatCan https://t.co/pecJOfIFZM https://t.co/RzEPe6mUO2"
2017-11-29,Trudeau names Alberta-based judge to Supreme Court of Canada https://t.co/lBhfdu3Z17 https://t.co/X1jkX6fmNd
2017-11-29,"After LGBTQ apology, NDP presses Trudeau to scrap blood ban for gay men https://t.co/Gbz3jFNMGS https://t.co/1AP0dB9Q6W"
2017-11-29,Big brands halt YouTube ads after reports of comments sexualizing kids https://t.co/4zaqXw4q9g https://t.co/SyzVLbrhrP
2017-11-29,"Oilsands bird deaths get way more attention than they deserve, by @WBrettWilson https://t.co/XQJnPJRBUK https://t.co/z5SJ16u4rS"
2017-11-28,"Trudeau apologizes for government ""witch hunt"" against LGBTQ2 Canadians https://t.co/ir9DlBftOK https://t.co/LxNhvAFZnV"
2017-11-28,U.K. artists shocked to find their giant portraits in Calgary underpass https://t.co/1dV9WG6p7c https://t.co/xs7efLGAOk
2017-11-28,Liberal bill to legalize pot clears House of Commons https://t.co/B5unmWBdFU https://t.co/CimNK2OST9
2017-11-28,I'm dating a woman for the first time. Here's what's different (blog) https://t.co/ahY3d8npoi https://t.co/KvMN0GEEMv
2017-11-28,"Tomorrow, the Trudeau government apologizes to LGBTQ2 Canadians who were forced out of the military or public service. Here are some of their stories: https://t.co/i7qebXFOPI https://t.co/OtfitwVNX8"
2017-11-28,Watch: The Grey Cup was almost too Canadian https://t.co/Zf3q8nwSBw https://t.co/sIdQGQluRO
2017-11-28,'Heroic woman' Marlene Bird dead at age 50 https://t.co/stIEsWCrXg https://t.co/31FnDc7KFx
2017-11-28,"Ending NAFTA would cost up to 50,000 Canadian jobs: report https://t.co/uuyD7SrWOu https://t.co/XtFB6dYpYT"
2017-11-27,"Marlene Bird, Sask. woman who lost her legs in brutal 2014 attack, has died https://t.co/rYZoFILxFF https://t.co/SRFy11eqSf"
2017-11-27,"Prince Harry, Meghan Markle reveal how they got engaged https://t.co/zGVRA81qKs https://t.co/HhkH4oJ4nR"
2017-11-27,Toronto Argonauts stun Calgary Stampeders to win Grey Cup in snowy classic https://t.co/bLW2DtP17r https://t.co/H90uMKfF9g
2017-11-27,"Shania Twain shows up to Grey Cup on dog sled, unlocks Peak Canada https://t.co/RZ1xl6TuNn https://t.co/ObLpkWPG5o"
2017-11-26,Successful dating profiles use these key words to attract partners https://t.co/SepRCtXhss https://t.co/NRE1kUjzAp
2017-11-26,Trudeau says it's up to men to hold each other accountable for violence against women https://t.co/TLFzSbiqO3 https://t.co/8YFqzgnNgi
2017-11-24,Passenger has had it with this motherf***ing snake on this motherf***ing train https://t.co/PtkM4rW0nJ https://t.co/y1A4D8FlZa
2017-11-24,Not sure what to buy on Black Friday? Maybe don't buy anything https://t.co/sCx7fJaEEU https://t.co/ysJwvWOxLb
2017-11-24,"Canada at ""increased risk"" of recession, Scotiabank says https://t.co/w3JXptwbH1 https://t.co/dRKFElf3Lo"
2017-11-23,Trudeau sometimes wishes he could just pop into Canadian Tire https://t.co/sCfKQzgZKe https://t.co/Krv3H4IGgm
2017-11-23,"Calgary reporter nails impressions of Trudeau, @nenshi and more https://t.co/iwuSPSwHoa #cdnpoli https://t.co/ZjavZAbLFH"
2017-11-23,Competition Bureau probes Sears Canada liquidation prices https://t.co/eHkw0BbP3B https://t.co/fJo2ZeYbOy
2017-11-23,Cancer patients can suffer PTSD long after diagnosis: study https://t.co/XkQMAAsl3H https://t.co/BI3OvN5X7W
2017-11-23,U.S. coast guard ends extensive search for Calgary man https://t.co/lZ3leZRINy https://t.co/n7gQPjYY3K
2017-11-23,Liberals promise to spend billions on affordable housing https://t.co/7J095ZSNtc https://t.co/MUkdYG2ypm
2017-11-22,Tory MP blasted for suggesting pot is 'just as dangerous as fentanyl' https://t.co/JUjiZ1owIx https://t.co/NwkSBOVOFJ
2017-11-22,CRA giving Canadians a whole lot of bad answers: auditor general https://t.co/AjVQVrFjcT https://t.co/nDo3RqqoRK
2017-11-22,The inevitable wax statue of Justin Trudeau has arrived https://t.co/Ef2bkvGs8r https://t.co/kbF0sfq3Qk
2017-11-21,Ikea relaunches dresser recall after 8th child dies https://t.co/1Y9zmSJR9k https://t.co/vh79l9Nvc6
2017-11-21,Winter boots that look as good as they feel https://t.co/KiSm4gs9Im https://t.co/tdh8kxC4UU
2017-11-21,How to recognize signs of depression in men https://t.co/dzo4fgXcxA https://t.co/kKiw1cX9Uy
2017-11-21,Should I rent or buy a house? Answer these 3 questions first: https://t.co/qyeMn31ZAw #WW https://t.co/7pCxc70cJx
2017-11-20,"Kids aged 1-4 should get at least 3 hours of activity, experts say https://t.co/Hq65oCy23S https://t.co/4ktI5lUMdQ"
2017-11-20,"How to stop a pipeline in four steps, by @MikeHudema https://t.co/7jrDMY2gw7 https://t.co/PKtu0BNcYe"
2017-11-20,Putting up Christmas decorations early can make you happier https://t.co/ZBciZQoudk https://t.co/7VW6oixPH1
2017-11-20,"Canadians told to ""buckle up"" for stormy, ""classic"" winter https://t.co/U0F6Y6JpQx https://t.co/xxxHMbvm7x"
2017-11-20,"Telus, Rogers say they can't meet deadline for wireless billing reforms https://t.co/xOLxMSE60V https://t.co/MQy0uFTepE"
2017-11-20,Calgary Stampeders make it to #GreyCup finals again https://t.co/ib1XroBpGr https://t.co/49ZGmCzLZB
2017-11-18,"Justin Trudeau beer goes well with cheese, white meat: brewery https://t.co/zY1UPSWGY7 https://t.co/Ie7Qvglrzr"
2017-11-18,"Canada's economy is booming, but few are thanking Trudeau https://t.co/HrdbmS1zPY https://t.co/DEdtP26sme"
2017-11-18,This is how much people are spending on engagement rings in 2017 https://t.co/5niodDZp7A https://t.co/qjomAahtN8
2017-11-18,Canadians pay more than $1 billion a year in wireless overage fees https://t.co/AH58frGjYu https://t.co/lryB8Ur8eC
2017-11-17,Calgary mom guilty in son's strep infection death gets prison time https://t.co/lpen3AfRgP https://t.co/XPbGi2uE8W
2017-11-17,"Alberta to allow private pot stores, but will control online sales https://t.co/C4xVieAZcf https://t.co/mYrKKjTBq7"
2017-11-17,Edmonton police seeking families who've had contact with this suspect  https://t.co/nv55qWMBn4 https://t.co/hvmNMHFDuz
2017-11-17,Canadian doctors don't find this fake 'Hinterland Who's Who' video funny https://t.co/dP1KZOBOXC https://t.co/ohh8zlJvQZ
2017-11-17,"Athletes are sidelined for politics, but not for violence against women, by @genevaabdul https://t.co/bJPZCfXOqc https://t.co/a8aXyzCn5e"
2017-11-17,"Suspect befriends moms to molest their kids, Edmonton police say https://t.co/E8EKPIunF8 https://t.co/KEaYMNGZAJ"
2017-11-16,"TransCanada's Keystone pipeline spills 795,000 litres of crude in South Dakota https://t.co/tHToTjkHip https://t.co/AYNLVz7V7t"
2017-11-16,Netflix Canada TV shows to binge-watch when you're sick https://t.co/yJ8Hpt5QDE https://t.co/x7Fy24dLi0
2017-11-16,"Canada's one-percenters see soaring incomes, StatsCan says https://t.co/tgJUp0HPD0 https://t.co/MyYgGbSyOs"
2017-11-16,Pipeline protesters interrupt Trudeau's press conference in Vancouver https://t.co/Bw9X4h9UFP https://t.co/b40Ei2VmRv
2017-11-16,Canadian teacher found dead in Cambodia https://t.co/gjIlhw0G0h https://t.co/lLvO5TMljM
2017-11-16,“Quite embarrassing”: Canada’s biggest national park is at risk https://t.co/PZmvTm1g5e https://t.co/OAQYTCRL64
2017-11-16,"Canada offers UN 200 soldiers, but no decision on where they're going https://t.co/vKALdCrIES https://t.co/43PilVgpSN"
2017-11-16,"Canadian mortgage holders risk ‘payment shock,’ ratings agency warns https://t.co/iDya5PVMzY https://t.co/AkqoNcOHYb"
2017-11-16,Rick Mercer to Jason Kenney: 'Pick on someone your own size' https://t.co/L4h48iipN6 https://t.co/coKwyubLWl
2017-11-15,Refugee with new life in Canada survived years in harsh Australian camp https://t.co/dB4hSrnbj4 https://t.co/tHskJxUXdW
2017-11-15,"Loblaw to close 22 stores, launch home delivery https://t.co/ljSSX99mtk https://t.co/egBC3Sz9nI"
2017-11-15,"Alberta passes gay-straight alliance bill, closes legal loopholes https://t.co/uTHLNYVmqM https://t.co/XSv6jEepoz"
2017-11-15,Calgary Zoo lions kill peacock that flew into their habitat https://t.co/KiTsLe0lEg https://t.co/IdeFHoAL95
2017-11-15,Christmas gifts for girlfriends that are as unique as they are https://t.co/whpmv4jbio https://t.co/Jj7TJMTlJz
2017-11-14,This is how you can prevent getting the flu https://t.co/MzAvTVECNE https://t.co/HH8b161oiM
2017-11-14,"Alberta ""knees together"" ex-judge wants to practise law again https://t.co/nF6wgRrWOO https://t.co/WDtBgSfWdx"
2017-11-14,"Here's a donair livestream, Canada https://t.co/jT64WpBpvS https://t.co/wM5dkp2JNY"
2017-11-14,Canada Post reveals Santa will no longer write individual letters to school kids https://t.co/fx2E4NUJhF https://t.co/Ny0Vl27XcP
