created_at,text
2017-12-02,9-year-old dies after being hit by a bus while in a crosswalk https://t.co/SZSUEh6jQ6 https://t.co/uYwBNupddi
2017-12-02,Senator suggests new investigation to avoid Senate from being 'further tarnished' https://t.co/IoeTTNAeK3 https://t.co/zpgZORiSl9
2017-12-01,Judge stays charges against man accused in Surrey Six killings https://t.co/0GRRBZiXC4 https://t.co/l30Ngoh1tA
2017-12-01,"Canadians split on Liberals' legal pot deadline, poll suggests https://t.co/2foDlg9uVo https://t.co/ymsqBrjBqS"
2017-12-01,Canada's unemployment rate plunges to lowest in nearly a decade https://t.co/PCs8ScAznq https://t.co/DWARyYCQ7R
2017-12-01,"Bell launching Lucky Mobile, new discount wireless brand https://t.co/SYHlY13zqx https://t.co/dQZd70QSrb"
2017-12-01,"Meghan Markle, Prince Harry show PDA during first work engagement https://t.co/65GmQ8jLzO https://t.co/7VnLvdvFqj"
2017-12-01,Canada's federal leaders slow to condemn Trump's latest anti-Muslim tweets https://t.co/nC0mQI02s4 #cdnpoli https://t.co/IXKeecXrHT
2017-12-01,Realtors want parents to raid their RRSPs for kids' homes https://t.co/ncnSUBIBKm https://t.co/oltV8SuSOV
2017-12-01,Why Meghan Markle won't be named 'Princess Meghan' https://t.co/SjwPdf54HS https://t.co/2x30QEW0Af
2017-11-30,Second-hand pot smoke could make you fail drug test: study https://t.co/wm2yJNZzkp https://t.co/BbWDf4oEhc
2017-11-30,Reena Virk’s killer granted day parole in B.C. https://t.co/uzMDi5cL0F https://t.co/0QcwctZXg9
2017-11-30,What's good on Netflix Canada in December? https://t.co/Nld7XS8x95 https://t.co/FvvB64mUTz
2017-11-30,Stop dumping bloodwater into oceans with wild salmon: advocates https://t.co/nQtje2r88l https://t.co/cK1KlY1Z4K
2017-11-29,Producer for DC superhero shows fired after harassment accusations https://t.co/ZzGsnkmsCB https://t.co/3oCmnKeB8Y
2017-11-29,"CMHC warns home ownership dream ""fading"" in Canada https://t.co/o8G9IF3f54 https://t.co/dlE5hFXsnq"
2017-11-29,"'Justin Trudeau, My Boyfriend' calendar truly, really, very much exists https://t.co/BWeaKpC8oz https://t.co/ifmjQFBkL3"
2017-11-29,Lawyer for ex-Mountie accused of sexual assault calls complainant 'a fraud' https://t.co/wyDGe60wPb https://t.co/c5KH4aupme
2017-11-29,"Canadians are putting in more time at school, work, and on the road: StatCan https://t.co/xmSpqJDHv0 https://t.co/DPswU57frV"
2017-11-29,Vancouver may ban foreign buyers altogether https://t.co/BY3Cs7f2M5 https://t.co/um7uLpU3W1
2017-11-29,I'm dating a woman for the first time. Here's what's different (blog) https://t.co/XjF2l3qsxr https://t.co/x26AHfbwVo
2017-11-29,The secret significance behind roasted chicken and the Royals https://t.co/l29bqJSZo1 https://t.co/avA8fjxhxb
2017-11-29,"20 gift ideas for new parents who, let's face it, really need a treat https://t.co/iJczD2LUWN https://t.co/5jKt8AXHqk"
2017-11-29,"After LGBTQ apology, NDP presses Trudeau to scrap blood ban for gay men https://t.co/JaYrprTMaH https://t.co/h8a1WLCoc8"
2017-11-28,"Trudeau apologizes for government ""witch hunt"" against LGBTQ2 Canadians https://t.co/hhuJzZ6dD7 https://t.co/pXPPc6xmqI"
2017-11-28,Liberal bill will expunge past convictions for gay sex https://t.co/BjqeQ6eyNc https://t.co/jpvMpNe9ay
2017-11-28,"1 in 10 homebuyers to be disqualified under new mortgage rules, Bank of Canada says https://t.co/V3n1M8qE0r https://t.co/T4M7zUjoIx"
2017-11-28,Here's why it's getting harder to find an apartment in Canadian cities https://t.co/quh5KKZp8D https://t.co/fqwRJZdFnh
2017-11-28,Prince Harry and Meghan Markle will marry in May https://t.co/l0srfRlm8c https://t.co/8Z95wG1XlM
2017-11-28,Liberal bill to legalize pot clears House of Commons https://t.co/CAPO1JbnfJ https://t.co/il3U1mv9u9
