id,created_at,text
2017-12-02,"Snowking kicks off raffle after costly new measures imposed by fire marshal
#yellowknife… https://t.co/ezAoiq7lEO https://t.co/uyZvaoCID3"
2017-12-01,"Airlines, industry face weather woes https://t.co/qeRvw0AJPA https://t.co/KxjRtrt41p"
2017-12-01,The weather is in charge https://t.co/2cXbdK78tk https://t.co/ZM4GK3vcix
2017-12-01,"Master carver, now jeweler, wonders what next https://t.co/GL9OCm9gMg https://t.co/mASRStXNL8"
2017-12-01,Pedestrian struck by vehicle downtown #yellowknife #yellowknifer #NWT https://t.co/VeOJZrsc7b https://t.co/LYJEPkh1Oi
2017-12-01,CORRECTION Nov. 29 https://t.co/IwdQmu7C3P
2017-12-01,CORRECTION Nov. 29 https://t.co/T3V9emYNlM
2017-12-01,QC development in capital moves ahead https://t.co/Wh2zCXZKCl https://t.co/BwEUPN4G8b
2017-12-01,Town delays on supporting detox centre https://t.co/CoW2OBd78G https://t.co/193rqqVHIA
2017-12-01,"Consult NTI on marijuana, senator says https://t.co/GCBfkIYYGX https://t.co/edAsnZMe5g"
2017-12-01,"Headlines for Yellowknifer on December 1st, 2017 - https://t.co/9Uq05Ur937"
2017-12-01,"Learning to be healthy and happy in Kugluktuk
#Nunavut https://t.co/7KCa3CMEfc https://t.co/NGP23YZY22"
2017-12-01,Southern contracts cause stir https://t.co/uDx37c9VKX https://t.co/VNStvhbYNE
2017-11-30,Indigenous educator honoured #yellowknife #nwt https://t.co/1unXIWdCrE https://t.co/24b6Ou2MDg
2017-11-30,New tax consulting business opening downtown https://t.co/dWByXSDduJ https://t.co/jfoMyDajlA
2017-11-30,"Hard not to be cynical about college review
#yellowknife #nwtpoli https://t.co/aFqk8Ru3D0 https://t.co/Y7iV6W7VGX"
2017-11-30,GNWT continues disclosing student loan info #yellowknife #nwt https://t.co/hkoyV6Cx4v https://t.co/kLGNzhRlXQ
2017-11-30,Fundraiser caps GNAF’s 29th year https://t.co/l3QI6VKchM https://t.co/OLyS3IWVJa
2017-11-30,City mum on Santa parade complaint #yellowknife #yellowknifer #NWT https://t.co/ORdIqrlpI1 https://t.co/zBdmlT14S7
2017-11-30,Year of road delays https://t.co/OXBbmKzPLo https://t.co/jif4RptSnx
2017-11-30,Conferences could be big draw for town https://t.co/kTGcr0QtFr https://t.co/bWDeH1HiQ0
2017-11-30,"Inuit won't see much of $40B plan
#nunavut #inuit https://t.co/RUDNpMG4b0 https://t.co/USXONSugWy"
2017-11-29,Cambridge Bay’s David Ohokannoak is honing his skills as a comedian https://t.co/i5zQypPLa0 https://t.co/SfcH3Hc6Et
2017-11-29,Column: Police numbers are very revealing #yellowknife #yellowknifer #NWT https://t.co/H2uMYsYAos https://t.co/E72VUsirbV
2017-11-29,"Territorial government pot proposals half-baked
#yellowknifer #nwt https://t.co/SrCbiN8IEs https://t.co/cnv7XbiyhX"
2017-11-29,"Headlines for Yellowknifer on November 29th, 2017 - https://t.co/lonIRESU5V"
2017-11-29,News briefs #yellowknife #yellowknifer #NWT https://t.co/o1DHHZLSMq
2017-11-29,Packed premises spell penalties for pub #yellowknife #yellowknifer #NWT https://t.co/17fGbivjwK https://t.co/LdeY8Nni5Q
2017-11-28,Court briefs #yellowknife #yellowknifer #NWT https://t.co/ZdW6Xv36sl
2017-11-28,Yellowknife loses long-time restaurant #yellowknife #yellowknifer #nwt https://t.co/S2hVks7XAp https://t.co/m13blozDRl
2017-11-28,City looks to clear out smokers https://t.co/WY7ShrsQvy https://t.co/fFMM6Nnx3c
2017-11-28,Amazing Race Canada calls on the North #yellowknife #yellowknifer #NWT https://t.co/UvI1aFzxBM https://t.co/3k0LTf0yTH
2017-11-28,Students drafting plan for car-free transportation network https://t.co/8eWL25dApo https://t.co/rrpak5S9Tl
2017-11-28,"Adult ""living wage"" pegged at $22.24 per hour https://t.co/pTiMwNgXai https://t.co/wuNDw3dPjv"
2017-11-28,Modern twist on an classic tale #NWT #Yellowknife https://t.co/Ra0b1wko6Q https://t.co/S7oCARx1rr
2017-11-28,Man's best friend boosts a child's confidence #NWT #Yellowknife https://t.co/vQatAZx3BR https://t.co/yquxf6OUWa
2017-11-28,"The audience gets to pick the winner at Open Mic at The Cellar tomorrow night, Nov. 30. Hosted by Johnny Rodgers, the winning performer will walk off with $100 at the #Yellowknifer sponsored event. Call (867) 920-7819 for more info. #Yellowknife #NWT https://t.co/R6be1fOBJb"
2017-11-28,Good morning #Yellowknife &amp; #NWT! The media gets a “technical briefing” today on the #GNWT’s proposed plan for legalizing pot. We’ll be there to smoke out information for you. This News/North editorial looks at the existing addiction problem in the North. https://t.co/U1iUNdqsk2
2017-11-27,"A Christmas tradition at #Yellowknifer continues this year with our Letters to Santa feature. We’ll print the letters later in December, but the call is out now for submissions. The letters don’t have to be gift wishes. Handwritten letters can be scanned. #Yellowknife #NWT https://t.co/pNgQZXGbUs"
2017-11-27,Good morning #Yellowknife &amp; #NWT! Big turnout for Santa Claus Parade in the capital on Saturday. We’ll have a slide show online today &amp; two pages of photos in Wednesday’s #Yellowknifer paper. Here’s today’s News/North front. https://t.co/l5KVYn214g
2017-11-27,"Headlines for Nunavut News North on November 27th, 2017 - https://t.co/EJD5FrerN2"
2017-11-27,"Headlines for NWT News North on November 27th, 2017 - https://t.co/bBICJTDoXm"
2017-11-24,"Good morning #Yellowknife &amp; #NWT! Pot &amp; parades the hot topics today! The #GNWT just released its pot strategy - weed will be sold through Liquor Commission initially, head shops possible later - and big Santa parade in capital tomorrow. Pot facts &amp; parade map: https://t.co/cJbK8USUap"
2017-11-24,"Headlines for Yellowknifer on November 24th, 2017 - https://t.co/wsZ1S29YsW"
2017-11-22,Good morning #Yellowknife &amp; #NWT! A reminder for anyone interested in the short-term rental debate in the capital there is a public meeting today at 2 pm at city hall. Here is today’s #Yellowknifer front page: https://t.co/SC6GhFvKk2
2017-11-22,"Headlines for Yellowknifer on November 22nd, 2017 - https://t.co/6dEFncdUXQ"
2017-11-21,Tribute paid to industry leaders at MAX Awards https://t.co/kePG9ZRnrW https://t.co/GwJQ7U8vX7
2017-11-21,First Nation seeks cash for arena https://t.co/MZ07oadFuB https://t.co/4w7M7XM4Ev
2017-11-21,Seniors’ society wants new government approach to elders #yellowknife #nwt https://t.co/0NGB7S1wNb https://t.co/5UtK6QHC5l
2017-11-21,Ice crossing opens for winter https://t.co/oDHKqVlYlc https://t.co/bcPT1Y6ZYp
2017-11-21,Arbitration rolls on between Northland Utilities and Town of Hay River https://t.co/VnnL8MUdRw https://t.co/tLcLPfIt12
2017-11-21,Craftspeople seek GNWT support https://t.co/UpyBlExszg https://t.co/XTDooqiP7G
2017-11-21,Aklavik study makes medical impact https://t.co/V8XIpqnDJZ https://t.co/ohSPAWPUmq
