created_at,text
2017-12-01,"#Nunavut teacher found guilty of 27 decades-old sex crimes
https://t.co/YCR6BZ9AcB https://t.co/8MiGWbLFFV"
2017-12-01,"Quassa announces big shake-up within #Nunavut’s civil service
https://t.co/ZnGxlAUAhW https://t.co/MJ6hBQYH5i"
2017-12-01,"An exquisite selection of qalliniit, the beaded tongues that decorate kamiks, embroidered by well-known seamstress and author Dorothy Mesher. There are still some qalliniit left for sale at house 1275-B in #Kuujjuaq. (PHOTO COURTESY OF S. CAIN) https://t.co/n2blM3k4hi"
2017-12-01,"International deal bans fishing in central #Arctic Ocean
https://t.co/leoycOpZyK https://t.co/uhnICV1Ggm"
2017-12-01,"Paul Quassa just announced a big shake-up at the top of the #Nunavut government: Chris D'Arcy, Sherri Rowe, Rebekah Williams are gone. Kathy Okpik becomes the most powerful non-elected GN official, deputy minister of EIA. Read more later on https://t.co/aAW6eGOrqT"
2017-12-01,"#Arctic Inspiration Prize announces 10 finalists for lucrative contest
https://t.co/PfoXhABk0K https://t.co/uDliTTAmBT"
2017-12-01,"Two new books are available for borrowing at the #Iqaluit Centennial Library, thanks to a donation by the award-winning B.C. author, Claudia Casper, who holds a copy of her book, The Mercy Journals. PHOTO BY BETH BROWN https://t.co/u8NjZidS93"
2017-12-01,"National Arts Centre Orchestra to visit #Iqaluit
https://t.co/vYWDP5NtLz https://t.co/e4HnW7A2vp"
2017-12-01,"#Nunavik hunters agree to caribou harvesting restrictions
https://t.co/lwHJx7xxX8 https://t.co/BqfSf1itv1"
2017-12-01,"#Nunavik police brace for impaired driving, youth access as legal pot nears https://t.co/bMJHXILXoE https://t.co/mzFQ5Ps2jZ"
2017-12-01,"A frost flower blooms Nov. 11 in Arctic Bay #Nunavut. The temperature had dropped to -20 C that day, turning  moisture into frost. Warm, windy weather then descended but temperatures have returned to seasonal normals. PHOTO/@NunavutBirder https://t.co/effg34huu1"
2017-11-30,"Police investigate death of #Nunavik woman; man in custody
https://t.co/zazjJ0zURE https://t.co/b1RjUQrQE4"
2017-11-30,"Snowed in: #Iqaluit councillors grapple with stormy weather
https://t.co/869LrkfP86 https://t.co/WW8UgYE6Cz"
2017-11-30,"What you read on Nunatsiaqonline.ca from Nov. 19 to Nov. 26 
https://t.co/eFv2O1Hjev https://t.co/YkONX9d7hm"
2017-11-30,"GN hopes new #Nunavut jail will foster restorative justice
https://t.co/9ibh5MmyO9 https://t.co/IwAvMbjxL0"
2017-11-30,This aerial view shows the new 20 kilowatt solar panels recently installed last September on the roof of Makivik Corp.’s head office in Kuujjuaq and 50 Kw panels installed on its #Nunavik Research Centre next door. (PHOTO COURTESY OF MAKIVIK) https://t.co/RONSOjLQ71
2017-11-30,Quebec police investigate overnight death in Inukjuak and could lay possible charges. See story later on @NunatsiaqNews
2017-11-30,"Celebrating Canada 150 their own way, in #Arctic Bay
https://t.co/bNV4UA3EUt https://t.co/sCptSSWgAB"
2017-11-30,"#Nunavut review board keeps close watch on derelict mine
https://t.co/baa1EiPWXn https://t.co/ESqEYjDwGx"
2017-11-30,Bell Canada phone book cover provokes scorn in #Nunavik https://t.co/GhgjkXILsK https://t.co/f22pmj0DYh
2017-11-30,"Jacqueline Lalonde of @GCIndigenous accepts 3 wall hangings made by Cambridge Bay #Nunavut elders Annie Atighioyak, Mary Avalak &amp; Mabel  Etegik for new Canadian High Arctic Research Station PHOTO/KHS https://t.co/TVLyTmTwvx"
2017-11-30,"An aircraft mishap has taken place at @IqaluitAirport: @CargoJetAirways @Boeing 767-300(ER)(BCF) en route to YOW #Ottawa is now off the runway, with 1st 2,000 ft of the runway is closed
""170484 CYFB IQALUIT
CYFB FIRST 2000 FT RWY 16 CLSD DUE DISABLE ACFT"" https://t.co/P4n4mmW1HW"
2017-11-29,"In a recent @NunatsiaqNews op-ed we published about the on-going @EdmontonEsks name saga, this very poignant comment: https://t.co/O0aztjm2YS https://t.co/1CAmkBX6t1"
2017-11-29,"Canadian military seeks underwater sensors for #Arctic surveillance
https://t.co/koylWO9bxG https://t.co/oKmPUSqiMf"
2017-11-29,“Edmonton Eskimos” is a racial slur and it’s time to stop using it https://t.co/IDYuLO2aJ6 #Inuit https://t.co/AjaOcRttTJ
2017-11-29,"About 80 Nunavimmiut at the first working session of the Nunavik Regional Working Group on Food Security and the Nunavik Regional Board of Health and Social Services to develop a an action plan to improve access to traditional food. (PHOTO COURTESY OF NRBHSS)
#Nunavik https://t.co/46BELxKHiY"
2017-11-29,"#Nunavik to develop, negotiate its own youth protection services
https://t.co/JTodAw74vk https://t.co/IxfG7rC7oU"
