created_at,text
2017-12-02,The Olympic-size ambition of world curling champion Rachel Homan. https://t.co/SXu4Bd3wnA
2017-12-02,Warren: No good news (yet) on injury front for Senators defencemen Chris Wideman and Mark Borowiecki. https://t.co/u9duXLBnU8
2017-12-02,Senators get back in win column with victory in wild game against Islanders. https://t.co/Qzw9ONUGkr
2017-12-02,No new contract for Blue Jays infielder Ryan Goins. https://t.co/EiL4Hp9hbK
2017-12-02,Quebec's face-covering law suffers setback in court. https://t.co/8iwiV3y6YA
2017-12-02,UPDATE: Triple murderer convicted of trying to kill Second World War vet after failing to find the man's neighbour at home. https://t.co/85SeFubJwZ
2017-12-02,U.S. president takes legal battle over immigrants' documentation to Supreme Court. https://t.co/XMZh2I8Znf
2017-12-02,Torn knee ligament from fall on training run ends season for Canadian skier Marie-Michele Gagnon. https://t.co/k0y5hTakc8
2017-12-02,"'Deal with it,' is what women at Sportsnet say they were told to do about offensive comments by baseball analyst Gregg Zaun. https://t.co/FIwG9qtjlH"
2017-12-02,How solar-energy dreams became a nightmare for the small Ontario town of Blind River https://t.co/Dk38Jb4pYg https://t.co/Y2T7hECmuI
2017-12-02,"Blue Jays assistant GM Andrew Tinnish pulls out of Braves' job, sticks with home team. https://t.co/86nxMb2aLZ"
2017-12-02,Pamela Anderson: ‘You know what you get into if you go to a hotel room alone’ https://t.co/j3XNJI6M00 https://t.co/HlzJpHxdb1
2017-12-02,Will Meghan Markle and Kate Middleton be besties or rivals? Let the speculation begin https://t.co/EhNWsKJXag https://t.co/4BQzb6EVzm
2017-12-02,How this Toronto couple can still have kids and a six-figure income when they retire https://t.co/6VJ8Xlf8fH https://t.co/s4aHXLBRLK
2017-12-02,"Inmates at Ontario jail sue province for $15M after seeing, hearing fellow prisoner killed https://t.co/Pnei8F4iM7 https://t.co/NMKzP52dnZ"
2017-12-01,Egan: Looking back at Ottawa's history is a current hit for David McGee. https://t.co/NUda2SHiMl
2017-12-01,"Chiu on this: His contract wasn't renewed by the Redblacks, but the veteran offensive-line coach could land with the Alouettes, his long-time team as a player. https://t.co/hT1QIv1Y7z"
2017-12-01,Alfie to be inducted into IIHF Hall of Fame next spring. https://t.co/PuRLr2zgSN
2017-12-01,Subsidy issues 'not acceptable' says head of Ottawa child-care agency https://t.co/DQhH7wKM5d https://t.co/tlJyeHzo5d
2017-12-01,Elderly woman sexually assaulted in the Glebe https://t.co/8JUrnwAEuq https://t.co/ecD4hp1uDw
2017-12-01,Two new Klimts for National Gallery of Canada https://t.co/ItvhgQP3v2
2017-12-01,Reevely: Warnings about cheap asphalt were everywhere for Ottawa https://t.co/dI488fZJOz https://t.co/AH96kgaE5j
2017-12-01,Going out best bets Nov. 30 to Dec. 6 https://t.co/ldhPYat8ml https://t.co/NN4bYCbuDi
2017-12-01,"Don't panic over strep A, but take precautions: public health https://t.co/sUvna80CV0 https://t.co/ttkjp7aAcc"
2017-12-01,Ottawa triple murderer found guilty of trying to kill Second World War veteran https://t.co/7ClUURtyb8 https://t.co/kZT8RQetLC
2017-12-01,Police investigate after 16-year-old girl sexually assaulted in Orléans https://t.co/2ieNWfOWtc https://t.co/ZT6hJlPkhE
2017-12-01,How solar-energy dreams became a nightmare for the small Ontario town of Blind River. This is a story that took @Vpilieci nearly three years to complete https://t.co/Dk38Jb4pYg https://t.co/Y2T7hECmuI
2017-12-01,The loonie is on fire as Canada’s jobless rate falls to lowest in decade https://t.co/cQ7fbmENZK https://t.co/Arptc3SO7k
2017-12-01,Former Ottawa Senaors captain Daniel Alfredsson is going into the International Hockey Hall of Fame. https://t.co/7ruVEmrbyg https://t.co/cyZ9G9xWUN
2017-12-01,Flynn's rise and fall ends with charge of lying to FBI https://t.co/B0V27TshN0
2017-12-01,Patient with broken arm drove himself to another hospital after facing lack of compassion at Civic ER https://t.co/PGAZ5uk0gT https://t.co/FnxEi3QwTr
2017-12-01,Tesla plugs in world's biggest battery to Australian grid as summer heats up https://t.co/omiVfg9s8W https://t.co/VcaRhcDSbz
2017-12-01,Theatre review: Blind Date turns audience member into a star for a night https://t.co/BQgvCv7PoW https://t.co/o27fEhgNYv
2017-12-01,Brennan: The 5 worst Novembers in Senators history https://t.co/9acDOoXW2b https://t.co/khnd89Z2fK
2017-12-01,Editorial: City of Ottawa must fix child care program quickly https://t.co/o8qx9Ownds https://t.co/6uzCMCAAxT
2017-12-01,Boucher shuffles lineup as Senators look to end long losing streak https://t.co/Mev5GV7PV9 https://t.co/393iEOuO2q
2017-12-01,Quebec politicians ask Montreal to say goodbye to ‘Bonjour-Hi’ greeting https://t.co/JXQMDDGIzC https://t.co/00prA9SYK1
2017-12-01,Coroner criticizes Gatineau Hospital and staff over 'avoidable' death of Cantley man in 2015. https://t.co/zCXRz3SC9F #ottnews #gatineau https://t.co/ow9irjNaXB
2017-12-01,"Jimmy Kimmel, Senate candidate Roy Moore feud on Twitter https://t.co/BqyHZmU6rI https://t.co/ppVytMWal4"
2017-12-01,What to buy the the jet-setter through whom you live vicariously https://t.co/4vG1Zq0O1t #travel https://t.co/qtT45KPpCI
2017-12-01,Withdrawal symptoms: Could lower drug prices hurt more than just the pharma industry? https://t.co/51znOqVdRc https://t.co/7dVP9IwMHo
