created_at,text
2017-12-02,St. John's Edge win home opener in thrilling fashion - CBC.ca - https://t.co/lbb7Z6wmXy
2017-12-01,What are we getting into with the St. John's Edge and NBL Canada? - The Telegram - https://t.co/LDdJRnElQB
2017-12-01,"Steven Ryan Mercer, accused in crash that killed Hannah Thorne, pleads not guilty - CBC.ca - https://t.co/3fOvABgawS"
2017-12-01,NL lags in early HIV diagnosis. Could pharmacies help change that? - CBC.ca - https://t.co/fVTgd06Pfw
2017-12-01,"Bloodied man in west end of St. John's victim of home invasion, says RNC - CBC.ca - https://t.co/12BYYFFNac"
2017-12-01,Graham Veitch's case delayed as defence waits for report - CBC.ca - https://t.co/F5YVgjqSmX
2017-12-01,St. John's Edge on the eve of their home opener - The Telegram - https://t.co/ZVrF8WSsqx
2017-12-01,Massive search underway in Bellevue area for Cortney Lake investigation - CBC.ca - https://t.co/zFbbYJY3wr
2017-12-01,Defence for Brandon Phillips not calling witnesses in 1st-degree murder trial - CBC.ca - https://t.co/PKcjBuMbnb
2017-12-01,St. John's Edge on the eve of their home opener - The Telegram - https://t.co/4HZCBgBTiE
2017-11-30,"Licence plate should follow owner not car, says taxi driver - CBC.ca - https://t.co/BXdxzDlLsT"
2017-11-30,Parking ban starts for designated St. John's snow routes - CBC.ca - https://t.co/CsN5lQckkR
2017-11-30,False alarm: Man driving mystery van that scared child comes forward to explain misunderstanding - C - https://t.co/dc7O5DgJOZ
2017-11-30,Alt Hotel now offering rooms with a view in St. John's - CBC.ca - https://t.co/mFYVWutivX
2017-11-30,Extremely rare Black Vulture spotted in Burgeo - CBC.ca - https://t.co/qKK378g78h
2017-11-29,Child luring charges laid against St. John's man - CBC.ca - https://t.co/wVfwD0TMKR
2017-11-29,"'We were forced out,' says researcher whose family was resettled 50 years ago - CBC.ca - https://t.co/QylIBjoqx8"
2017-11-29,"Commute times rising for Hamilton, Brantford residents: 2016 census - CBC.ca - https://t.co/LRSTnL8fGA"
2017-11-29,Newfoundland photographer sorry for mall meltdown at Santa shoot - CBC.ca - https://t.co/CGg5SsOVg2
2017-11-29,"Resettlement and amalgamation don't have to be dirty words, says financial planner - CBC.ca - https://t.co/2mM6pqCTis"
2017-11-28,First oil at Hebron expected to be announced this morning - CBC.ca - https://t.co/PMU9UYU9V6
2017-11-28,"Cruise ship visits contribute less cash to St. John's than people think, study says - CBC.ca - https://t.co/Qk2fxlGVYG"
2017-11-28,Skills Canada NL holds annual competition for intermediate students - Northern Pen - https://t.co/WC8HeT3nio
2017-11-28,"Deaths of 4 Shea Heights fishermen blamed on poor weather, no distress signals, says TSB - CBC.ca - https://t.co/CUREuiOe3U"
2017-11-28,Huge drop in tickets issued by police during deadly spike on N.L. ... - CBC.ca - https://t.co/RFUuWI8io4
2017-11-28,Skills Canada NL holds annual competition for intermediate students - Northern Pen - https://t.co/Fis9CrMD1V
2017-11-27,Skills Canada NL holds annual competition for intermediate students - The Gander Beacon - https://t.co/JNWiV1FCEA
2017-11-27,Skills Canada NL holds annual competition for intermediate students - The Gulf News - https://t.co/NsnPdhdNqp
2017-11-27,Missing for a year: Family of Jennifer Hillier-Penney still can't properly grieve - CBC.ca - https://t.co/AbNyxAeA0m
2017-11-27,Disabled cargo ship arrives in Argentia after going adrift near Cape St. Mary's - CBC.ca - https://t.co/CiqwETVjhD
2017-11-27,NL Should Aim to Be Average: Mills - VOCM - https://t.co/FNIFd88FOi
2017-11-26,Wiseman Centre: Step inside a St. John's homeless shelter - CBC.ca - https://t.co/la2ukDQD38
2017-11-26,"Newest data shows poverty on the rise in NL, but critics say it's worse than indicated - CBC.ca - https://t.co/BtExGThaQz"
2017-11-26,St. John's Christmas parade postponed due to weather - CBC.ca - https://t.co/FIRcHbcu9g
2017-11-26,Why Newfoundland and Labrador is â€” and always will be â€” home - CBC.ca - https://t.co/Zhl3tsTNut
2017-11-26,Mystery fireball that baffled witnesses was likely rocket falling back to Earth - CBC.ca - https://t.co/AoibGmz7Ep
2017-11-25,Work underway to cap St. John's dumpsite abandoned by US military in 1960s - CBC.ca - https://t.co/AN6oEKGKHz
2017-11-25,NEW Road Closures for St. John's Christmas Parade - VOCM - https://t.co/vfERWAqsRU
2017-11-24,"'Turn the tap off': Stop homelessness before it starts, advocate says - CBC.ca - https://t.co/x9eE33hv8R"
2017-11-24,"Masked woman used rock in robbery at downtown St. John's Scotiabank, say RNC - CBC.ca - https://t.co/U2E1l2Bzlu"
2017-11-24,Justin Trudeau in Labrador this morning to apologize to NL residential school survivors - CBC.ca - https://t.co/LrXdwgMqq3
2017-11-24,From Russia with love: Canadian ambassador visits students at St. John's high school - CBC.ca - https://t.co/nKf8eiq0Gp
2017-11-24,"NL to see more housing units built, refurbished - The Western Star - https://t.co/bCzuJoulra"
2017-11-24,"Russia, Canada are connected in many ways, Russian ambassador tells St. John's students - The Wester - https://t.co/hW9FawLJni"
2017-11-23,"NL to see more housing units built, refurbished - The Western Star - https://t.co/sINNJHlwDL"
2017-11-23,"NL to see more housing units built, refurbished - The Gulf News - https://t.co/LBn5HX8CDf"
2017-11-23,Double win: Cancer patient collects lottery jackpot and responds to chemo - CBC.ca - https://t.co/x5bh0AjK3T
2017-11-23,NEW Russian Ambassador Pays a Visit to St. John's High School - VOCM - https://t.co/BvglmcfBJn
2017-11-23,"Federally funded consultation hurting offshore development, NOIA says - CBC.ca - https://t.co/gqyB4KbYWL"
2017-11-23,Brandon Phillips murder trial continues today with bartender's testimony - CBC.ca - https://t.co/WjDVbxeh6H
2017-11-23,St. John's Student Claims Rhodes Scholarship - VOCM - https://t.co/pFzbJOdx0A
2017-11-23,Zimbabwean Living in St. John's Hopeful Mugabe Resignation â€œTurning Pointâ€� for Nation - - https://t.co/NnqBpkkKEz
2017-11-23,"Premier's Vehicle, Home Under Surveillance During Murder Investigation - VOCM - https://t.co/p1UE4ynJ6u"
2017-11-23,"Dwight Ball's apartment, cars watched as daughter tracked during Phillips murder investigation - CBC - https://t.co/605V8L2msl"
2017-11-22,St. John's cross-country runner earns All-American title - CBC.ca - https://t.co/UCd8QhXJG7
2017-11-22,RNC officer testifies at Brandon Phillips murder trial about surveillance - CBC.ca - https://t.co/CZcA2ETaz9
2017-11-22,Italian plane flying from Miami to Rome diverted to St. John's due to mechanical problem - CBC.ca - https://t.co/z3sEEDTW6J
2017-11-22,PC's Jim Lester takes Mount Pearl North byelection - CBC.ca - https://t.co/q9Wtg1xozZ
2017-11-22,Roses run out for Deer Lake woman on the Bachelor Canada - CBC.ca - https://t.co/p9DWDKSWnf
2017-11-21,Charge dismissed against dog advocate accused of stealing husky - CBC.ca - https://t.co/o7SdpbdeZJ
2017-11-21,'Con man' James Drummond admits to lying about his identity and death in property deals - CBC.ca - https://t.co/NbA2W6l6Hd
2017-11-21,"City of St. John's speaks on Danny Williams court action, mayor stands by regulations - CBC.ca - https://t.co/hFbYIlljaE"
2017-11-21,Delayed flight turns into Newfoundland kitchen party at Pearson International Airport - CBC.ca - https://t.co/liJ6Yk53yL
2017-11-20,"Purity painting 'pure pleasure,' says man behind new mural in St. John's - CBC.ca - https://t.co/5vavNSbF90"
2017-11-20,Terms set for judicial inquiry into troubled Muskrat Falls megaproject - CBC.ca - https://t.co/K3akWMQoW0
2017-11-20,"Newfoundland's major midget teams, St. John's bantam AAA Hitmen begin play at Monctonian tourney - T - https://t.co/5leXEQmNAv"
2017-11-20,Downtown Business Brings North Pole to St. John's - VOCM - https://t.co/vX2SN2wKsL
2017-11-20,St. John's rink wins bronze at national mixed championship - The Telegram - https://t.co/2SKOa5DbGL
2017-11-20,St. John's Food Drive Starts Today - VOCM - https://t.co/cGcVX8CCT8
2017-11-20,Breen Stands By City Staff on Galway Development - VOCM - https://t.co/PLaTdCO4Fy
