created_at,text
2017-12-02,"After Mike Flynn pleads guilty, James Comey makes Instagram debut with Bible quote on justice https://t.co/bG81pzaEu8 https://t.co/6qwAL1e5vR"
2017-12-02,Donald Trump might declare Jerusalem the Israeli capital https://t.co/2rzZMQ89tG https://t.co/RYEjmsucis
2017-12-02,City of Saskatoon seeks input on bus rapid transit system https://t.co/KSBtW3zqll https://t.co/G2h8advnrv
2017-12-02,What Are We Thinking?: Lawyer says many drunk drivers 'aren't thinking' https://t.co/bVJpzCMHEJ https://t.co/E20Q8XkELO
2017-12-02,Ian Mulgrew: Supreme Court interveners speak for and against TWU law school https://t.co/e43F4LEWBw https://t.co/oy2G3cvwst
2017-12-02,StarPhoenix Photos: Editorial Cartoons: Nov. 25 - Dec. 1 https://t.co/XeyaiD2Yr5 https://t.co/Xbj4ud9lNk
2017-12-02,StarPhoenix Photos: The Week in Photos (Nov. 24-30) https://t.co/mnteOcdgH9 https://t.co/ZwGhCQDAQG
2017-12-02,StarPhoenix Photos: Baby Animals of the World: November https://t.co/gO0kNBR8nF https://t.co/RxwXYrvl6V
2017-12-02,Saskatoon couple acquitted of sexually assaulting 16-year-old girl https://t.co/YBTV7k2Kja https://t.co/JqcXzcxeJq
2017-12-02,Bird strikes raised as a concern at planned Nutana condo https://t.co/WIbdIbV229 https://t.co/Pe5zJ0vtr6
2017-12-02,Pedestrian dies after being hit by vehicle on Preston Avenue in Saskatoon https://t.co/S5tnzaGysy https://t.co/WgD8RyDrr3
2017-12-02,StarPhoenix Letter of the Day: Libraries critical to democracy https://t.co/Ntwovl2g9f https://t.co/whx5PiLiYr
2017-12-02,Government considering body scanners at Kilburn Hall: spokesman https://t.co/J8H3BBdHSx https://t.co/GWe1pzoVY3
2017-12-02,Gardening: New book offers knowledge for prairie fruit growers https://t.co/8ecB53DoW3 https://t.co/w0dzNkJIFQ
2017-12-02,First walkabout: Prince Harry introduces fiancee Meghan Markle to staple of royal duty https://t.co/iYo8b98FWb https://t.co/zonUkFRD8X
2017-12-02,"A&amp;W donates $5 million to University of Saskatchewan livestock, forage centre https://t.co/VFITAwRoKr https://t.co/Lx7klNeYVm"
2017-12-02,"StarPhoenix Bridges Events: Dec. 1-7, 2017 https://t.co/N2bCQ6N1D3 https://t.co/3bXDLmD1Cm"
2017-12-02,No federal cash for STC but more infrastructure projects on horizon in Saskatchewan: Sohi https://t.co/uwsDLjmNnK https://t.co/vomMmBFQXX
2017-12-01,North Koreans celebrate missile launch with fireworks and ‘dancing parties’ https://t.co/yRZh61EXEe https://t.co/qErwzmIAA1
2017-12-01,Argentina is no longer looking for survivors from missing submarine https://t.co/w8E7WI2qqM https://t.co/TWRbGyW61O
2017-12-01,Russia looks to extend Middle East presence by approving deal to land warplanes at Egypt bases https://t.co/CVm5RLQXgy https://t.co/yhEOLTGbfk
2017-12-01,"Sask. labour force continues to shrink, akin to 'recession' https://t.co/AqpsT36G77 https://t.co/Pn7CuzKvRN"
2017-12-01,Gordie Howe's son Murray in Saskatoon for a book signing Sunday https://t.co/if1vPGigNM https://t.co/9tWCDpPILB
2017-12-01,"A man claims he went down a raging rapids ride, came out with an eye-eating parasite https://t.co/xM5Rz1ZqDD https://t.co/XWhlHV5R5Q"
2017-12-01,The royal effect: Meghan Markle wears $790 coat by Montreal’s Mackage and ‘website traffic exploded’ https://t.co/zomWEBMoVj https://t.co/J20b4UI8NN
2017-12-01,Japan’s Emperor Akihito first to abdicate from the Chrysanthemum Throne in 200 years https://t.co/ySirB8WzJN https://t.co/ptRTqtp0tD
2017-12-01,Jared Kushner reportedly told Michael Flynn to contact Russia ahead of UN Security Council vote https://t.co/TvaLPkpDEM https://t.co/hw4pZEW73Z
2017-12-01,"City preps for ride sharing: Saskatoon StarPhoenix daily update for Dec. 1, 2017 https://t.co/Ry41nxOzG9 https://t.co/wS809M91pU"
2017-12-01,Let's embrace December!: 5 Things for Dec 2-3 https://t.co/StEAv0nIAF https://t.co/QRQ08XXbhz
2017-12-01,Saskatoon's proposed crackdown on nuisance calls targets landlords https://t.co/ggl2HXEUjp https://t.co/9QWkn3W8QZ
2017-12-01,Will Meghan Markle and Kate Middleton be besties or rivals? Let the speculation begin https://t.co/mmBJ3NEA9z https://t.co/YpTm3cgrHl
2017-12-01,"Not enough services for mentally ill kids, says family of struggling boy https://t.co/HFx3Fm1rBc https://t.co/vuOjccSMDn"
2017-12-01,Yorkton midget AAA hockey team says language used by coach to 16-year-old not acceptable — even though message was https://t.co/0XXXx2j01O https://t.co/eHtJKAw0sR
2017-12-01,The drunk driving stories we couldn't tell https://t.co/W0T1dwcKNA https://t.co/fKV49eKPXe
2017-12-01,A man collapsed with a ‘Do Not Resuscitate’ tattoo — and doctors had no idea what to do https://t.co/16G1AjdmbO https://t.co/bfQqTei0Rf
2017-12-01,Food: Gingerbread makes amazing French toast https://t.co/1RdkqVITXG https://t.co/VC7lBVOSr8
2017-12-01,A Russian chemist’s Olympic doping diary: Steroid cocktails and bottles of clean urine https://t.co/VxcrRZI0BL
2017-12-01,Charges pending against 5 people after 24-yr-old woman assaulted and found unlawfully confined in Saskatoon basement https://t.co/faP7IFWzhw https://t.co/Adcn78zAEX
2017-12-01,Tesla plugs in world’s biggest battery to Australian grid as summer heats up https://t.co/Ys88oIDW14 https://t.co/iY6SwaCzZ7
2017-12-01,Banker who laundered millions for Iran implicates Erdogan in scheme to avoid U.S. sanctions https://t.co/4VI3WHsn6x https://t.co/HCvPPHeWEf
2017-12-01,Trump infuriated as jury acquits illegal immigrant charged in Kate Steinle killing https://t.co/addUQrEc2V https://t.co/gjhT3SSKHf
2017-12-01,"African, European leaders want to evacuate thousands mired in Libyan slave trade https://t.co/H47jXJgUlQ https://t.co/w6Pvd9h5Bs"
2017-12-01,U.S. military contractor sentenced to life in prison for rape and murder of Okinawa woman https://t.co/EUwWZV3QGr https://t.co/dXMvFLJMTm
2017-12-01,Bridges: Bob Gibb attacks adversity head-on https://t.co/jUC23XSO8c https://t.co/wG8GWaz9rX
2017-12-01,A single decision — to get in a truck with a drunk driver — brings a lifetime of loss https://t.co/KIvBkATM1x https://t.co/FZKldZ3uOd
2017-12-01,Michael Flynn expected to plead guilty to lying to the FBI as Russia probe intensifies https://t.co/OMH9j8jF9D https://t.co/DP3OZO1HPE
2017-12-01,Paleontologists discover the mother lode — 215 miraculously well-preserved pterosaur eggs https://t.co/lPpTcjfc7q https://t.co/gy3H9KPoRb
2017-12-01,Former U.S. security adviser Michael Flynn expected to plead guilty to lying to the FBI as Russia probe intensifies https://t.co/safgLFYUPm https://t.co/dw0gzfGTrJ
2017-12-01,No apparent injuries after 'numerous' shots fired in North Battleford https://t.co/GqA3AIBC8a https://t.co/JTBzPIYA91
2017-12-01,Sask. judge dismisses charter challenge in Yorkton sexual assault case https://t.co/41vkwtd4Ym https://t.co/QcLIQzUDbS
2017-12-01,"Wine World: A good, thrifty choice for holiday guests https://t.co/JOzGmHLbIP https://t.co/lC4rl77lJv"
2017-12-01,Huskies: Summer Masikewich a basketball player for all seasons https://t.co/jXI7U6Lw3r https://t.co/VtT0s5Ebv7
2017-12-01,Help-Portrait Saskatoon takes free portraits for low income residents https://t.co/bMQadQUhD1 https://t.co/keYkmFCp00
2017-12-01,"StarPhoenix Gormley: Living in the unbelievable past Dec. 1, 2017 https://t.co/jy1eJ5K6nv https://t.co/H6tqQVGnE4"
2017-12-01,Sporting Christmas on the move as we shift into December https://t.co/TYcoi9y30P https://t.co/IBaoQqsOGI
2017-12-01,"Saskatoon's weather for Friday, Dec. 1: High -2 C https://t.co/CBFKjVoh1t https://t.co/IPXQRBJoSF"
2017-12-01,ICYMI:Swedish man gets 10 years in prison for raping Canadian girls — over the internet https://t.co/k3tQAHpjnc https://t.co/fLJk2JhtjZ
2017-12-01,"ICYMI:Bail revoked for James Forcillo, the cop convicted in shooting death of teen Sammy Yatim https://t.co/Y1i5gUld8v https://t.co/kBLeBAU8cM"
2017-12-01,ICYMI:Matt Lauer says repairing damage from sexual misconduct ‘is now my full-time job’ https://t.co/Xebbc7WDdW https://t.co/MwnHumPvsy
2017-12-01,ICYMI:Matt Lauer’s full apology: ‘There is enough truth in these stories to make me feel embarrassed’ https://t.co/9VheV2qYRH https://t.co/DDo4GIpmoX
2017-12-01,ICYMI:‘Death flights’: Life in prison for Argentine officials involved in throwing civilians from aircraft https://t.co/D2WGGh98rP https://t.co/kYkNTSPMBc
2017-12-01,"South Surrey-White Rock a byelection battleground for Liberal Hogg, Tory Findlay https://t.co/hTMT2ZqT2k https://t.co/a7crQeHLl6"
2017-12-01,Sask.'s Catlin Schneider embraces opportunity to curl at Olympic trials https://t.co/p5XPeyzE4M https://t.co/WvTcJYrbS0
2017-12-01,Vanstone: Victories for the ages have become the norm https://t.co/4GgIGWSYfd https://t.co/hpQBiG35CP
2017-12-01,Mental health support available for jurors in Saskatchewan https://t.co/rpBBVzNnhP https://t.co/7GdatIwfNh
2017-12-01,WHL: Saskatoon Blades drop 6-2 decision to Spokane Chiefs https://t.co/WEILt3u5BA https://t.co/0oN0SOvbI7
2017-12-01,Trump visit to U.K. called off indefinitely amid spat with May over his Britain First retweets https://t.co/2aVnICB6EW https://t.co/9xYwDtxzdr
2017-12-01,"Bridge, Carter among pending free agents for Riders https://t.co/7fsffPVnV6 https://t.co/B16hmi8iyV"
2017-12-01,Saskatoon Comet Storm to represent province at Hockey on the Hill tournament in Ottawa https://t.co/MgAvFd3B91 https://t.co/QZg82wxxGj
2017-12-01,Sask: Patient records sent to the wrong doctors with same last name https://t.co/Fbn7Njykr1 https://t.co/uD5BOsuTuk
2017-12-01,"StarPhoenix Letters to the editor, November 30, 2017 https://t.co/cwSFOwJrvj https://t.co/LSwUqyuzzq"
2017-12-01,Saskatchewan apprenticeship numbers are dwindling despite strong wages in trades https://t.co/PvXwkap9P6 https://t.co/tfGnUEsFHS
2017-12-01,"Saskatoon: Police lift lockdown around school, no weapons found https://t.co/GJpX5EIto6 https://t.co/jEIxj0c0Pj"
2017-12-01,Saskatoon's fire pit debate set to smoulder again https://t.co/R5CdpRPqFr https://t.co/mhbAHLskUv
2017-12-01,Huskie women's hoops names two top recruits https://t.co/agYdnyf2Uk https://t.co/Bi3cM5NbQp
2017-12-01,Kindersley's Derek Dorsett ends NHL career due to spinal issues https://t.co/9PH3pTU8XP https://t.co/QI5oL0Cj4o
2017-12-01,No more weddings at Saskatoon Farmers' Market https://t.co/rHQI8yHiGB https://t.co/3jBlT4hI2X
2017-12-01,Couple denies engaging in sex acts with intoxicated teen https://t.co/lkuZbwEHPT https://t.co/8bGy5xHU79
2017-12-01,Regina mother and stepfather to be sentenced after malnourished child found https://t.co/iA4k3TXoNo https://t.co/8IXZKNagkt
2017-12-01,Sask. ER visit lengths not increasing but higher than national average https://t.co/ASiAGDE0dX https://t.co/qMpglX3EFE
2017-11-30,Almost one-quarter of Sask. businesses planning layoffs: CFIB https://t.co/sc3QfSVO5d https://t.co/fUY9qK3iGG
2017-11-30,"Kilburn Hall inquest: supervisor thought he saw withdrawal, not OD https://t.co/av3njeLQM6 https://t.co/rOZ6NmorcZ"
2017-11-30,Sumo yokozuna retires after allegedly attacking a junior wrestler with a beer bottle in a bar brawl https://t.co/ZcOWdxkorH https://t.co/1M7YeJKXQL
2017-11-30,Japan inspects decrepit boat with 10 men aboard who say they’re North Koreans https://t.co/XxQVn40qy1 https://t.co/Zk1oJCPvVJ
2017-11-30,‘Death flights’: Life in prison for Argentine officials involved in throwing civilians from aircraft https://t.co/DNYBsFmpCM https://t.co/UvjzoF7w8W
2017-11-30,"Nearly 30 years later, gay man’s fall from an Australian cliff is ruled a hate crime https://t.co/QIZBa6ixcb https://t.co/UKWlhmwZvg"
2017-11-30,Could Trump’s invite to the U.K. be withdrawn? He’s certainly testing the ‘special’ U.S.-U.K. relationship https://t.co/AQsagKKRFF https://t.co/GHDwTSK2CR
2017-11-30,Vietnam court upholds 10-year jail term for blogger known as Mother Mushroom https://t.co/Qp0n3qTeRs https://t.co/OZnPubLKGs
2017-11-30,Elon Musk vs. the Flat Earthers: Is Mars flat too? https://t.co/0TJ3uSQ704 https://t.co/GbRySVjroF
2017-11-30,"Saskatchewan leads the country in impaired driving offences. As part of our multi-part series, What are we thinking?, here are some stats on impaired driving and distracted driving offences. https://t.co/xEOHYgMcYm"
2017-11-30,China pushing to create anti-corruption agency that can act above the law and lock up officials for months https://t.co/ak0J4M5wzX https://t.co/3uHYqdSCK5
2017-11-30,"Fiery Bill Morneau dares Tories to take their allegations outside the House, threatens legal action https://t.co/uBwJoVc8kz https://t.co/veeESS7Zq1"
2017-11-30,Trump lashes out at wrong Theresa May on Twitter as U.K. fumes over potential visit https://t.co/boxeUmz33j https://t.co/Vzie1ehMg7
2017-11-30,StarPhoenix Throwback Thursday: Winter downtown Nov. 30 https://t.co/WdLm1z6Eo1 https://t.co/YadGEM4zyj
2017-11-30,"Bail revoked for James Forcillo, the cop convicted in shooting death of teen Sammy Yatim https://t.co/kfq543ND5f https://t.co/ac2ydv28Mq"
2017-11-30,A note from @SaskatoonPolice: Police investigating report of male with firearm in 200 block of Ave V South. Motorists and pedestrians asked to avoid the area. https://t.co/jhN0KhrDl8
2017-11-30,Swedish man gets 10 years in prison for raping Canadian girls — over the internet https://t.co/Xw5FyqVBxH https://t.co/mcqlq8Jpcs
2017-11-30,"Concerns over local history room's future unfounded, Saskatoon Public Library officials say https://t.co/ZvNY9cvctJ https://t.co/O4zkp4MlBT"
2017-11-30,Canada West basketball: U of S Huskies keep moving up U Sport rankings https://t.co/3DOAwZYS4B https://t.co/7cH85Slzyc
2017-11-30,Matt Lauer’s full apology: ‘There is enough truth in these stories to make me feel embarrassed’ https://t.co/Jbe0S5hay6 https://t.co/PnUqoDLs5J
2017-11-30,Supreme Court of Canada considers Trinity Western University law school https://t.co/n8SOQN7LYa https://t.co/Rf4X3vC6lU
2017-11-30,Part 2 on impaired driving in Sask.: Weyburn looks for a way forward with new anti-impaired driving program https://t.co/Po7kRIJr4V https://t.co/IGJWsC4KTv
2017-11-30,"City of Saskatoon preps for ride-sharing like Uber or Lyft, more flexible taxi service https://t.co/UUx4f4qdHV https://t.co/GJSpkoS9ef"
2017-11-30,"StarPhoenix Diversions Dec. 1-7, 2017 https://t.co/LoyeKYW90O https://t.co/tgEXNgE9BT"
2017-11-30,White House plans to force out Rex Tillerson as relationship with Trump sours https://t.co/rsA41tGI1I https://t.co/TWdKv0t9A0
2017-11-30,RCMP say its investigation into GTH land transactions is done; matter being reviewed by Manitoba Crown prosecutors https://t.co/cy4uAjnJbM https://t.co/jRx3SljWRY
2017-11-30,Matt Lauer says repairing damage from sexual misconduct ‘is now my full-time job’ https://t.co/mCsVroSBiY https://t.co/jjusCSolVc
2017-11-30,StarPhoenix Letter of the Day: Governor general too opinionated https://t.co/HG8LzthEOJ https://t.co/oEwOikCkOb
2017-11-30,"North Korea has shown off its new missile, and it’s scarier than previously thought https://t.co/tfQQxV7I2R https://t.co/nAAd2S9zdj"
2017-11-30,Branch Office: James O'Shea returns to Farmer Joe and the Money Trees https://t.co/mklq4A88s3 https://t.co/hQJ6K2mNgU
2017-11-30,Is Brexit going to restart the Troubles in Northern Ireland? https://t.co/peggIw7MmS https://t.co/w80HyHZDwb
2017-11-30,"What's up, Doc?: Aggressive management may be the key to CALMing Crohn’s Disease https://t.co/JbeuievOcI https://t.co/uhfua2W4dK"
2017-11-30,"StarPhoenix Band Listing Nov. 30 - Dec. 6, 2017 https://t.co/3J2VJePexn https://t.co/kJEnybhXHX"
2017-11-30,"Saskatoon's weather for Thursday: sunny, high of -1 C https://t.co/QmVXlL4i0H https://t.co/BeNKPIno8b"
2017-11-30,Young Innovators: U of S imaging technique advancing stroke treatment https://t.co/5JcRPfu1Px https://t.co/tuwvhpf9Co
2017-11-30,U of S grad Byron Bashforth shines a light on Pixar's Coco https://t.co/Jr3MafaWT0 https://t.co/FzK1oaU2ak
2017-11-30,"'There's never been a better time to diversify': International trade minister talks NAFTA, Europe and pulses https://t.co/odw6bMAnUl https://t.co/xVgYaqHAJT"
2017-11-30,Champian Fulton had nothing but blue skies in 2017 https://t.co/cuk3TkaNnG https://t.co/vbTGMAMFXa
2017-11-30,You can't stand still when Randy Woods is playing https://t.co/fV8cDViksQ https://t.co/mWvSlYNFKt
