created_at,text
2017-12-02,Workshop gives women with cancer tools to feel better https://t.co/5t1kuTY16U #timmins https://t.co/rJwwqn3547
2017-12-01,City clarifies proposed changes to McIntyre Arena diner agreement https://t.co/sg3wJD6GI6 #timmins https://t.co/vIhCyb9irq
2017-12-01,Break and enter suspects sought https://t.co/WKpH2ii4xN #timmins https://t.co/JAoilsppAX
2017-12-01,Woman charged with fraud after police contacted by Iroquois Falls Chamber of Commerce https://t.co/gmBy6re0JN #timmins https://t.co/7kyFTO4iDy
2017-12-01,Hospital visitor restrictions implemented following bacterial infection outbreak https://t.co/LQYKW3l33q #timmins https://t.co/7I8AwP1LbC
2017-12-01,"Not snowmobiling in cemeteries seems like a given, doesn't it? https://t.co/b4U3ucxoW9 #timmins https://t.co/5qBURd1mao"
2017-12-01,Festive R.I.D.E. season off to promising start: Timmins Police https://t.co/r2T7AEnSDZ #timmins https://t.co/WJVc9ToLdf
2017-12-01,Timmins man facing child pornography charges https://t.co/OiHvMHDwwH #timmins https://t.co/SyuI8oMFuC
2017-12-01,Looking for something to do this weekend? https://t.co/k3TWwrITDr #timmins https://t.co/l6ncski671
2017-12-01,Latest Poll:  Would you get an eyeball tattoo? https://t.co/UIXcRe5TxP #timmins https://t.co/G54phtRT0j
2017-12-01,Latest Poll:  Do you work from home? https://t.co/4UQN8HIMeE #timmins https://t.co/bfDZDNgzwN
2017-12-01,Local fishing show has its challenges (5 photos) https://t.co/b6mWgiYP0X #timmins https://t.co/LeOvER9LAj
2017-12-01,"Good morning, Timmins! https://t.co/Fzka11XVuZ #timmins https://t.co/aZzQcHqehr"
2017-11-30,What's your pet adoption story? https://t.co/pSAfChfZXm #timmins https://t.co/WlkmITFYCb
2017-11-30,Property near Cobalt found to have lots of . . . cobalt https://t.co/JmsVIORPfK #timmins https://t.co/V198n8GErA
2017-11-30,Seniors design and build train exhibit for Science Timmins https://t.co/kdgyKSewRa #timmins https://t.co/kUJ0C9OpbC
2017-11-30,Hydro One proposes rate hike for remote northern communities https://t.co/jYgmwTSciv #timmins https://t.co/KnmZNvA4JE
2017-11-30,Help fill an ambulance this weekend https://t.co/76KyHXvXdO #timmins https://t.co/ZSzxZ04iaR
2017-11-30,Preschoolers in Guelph help university students take the edge off exam stress (8 photos) https://t.co/ZPPhQXdgHy #timmins https://t.co/E7c4spD1pc
2017-11-30,Why Second Avenue will be closed this Saturday https://t.co/pa7g2na54n #timmins https://t.co/HYDaZpEJK3
2017-11-30,"Trudeau’s apology will help but there’s still work to do, says local Pride group https://t.co/ublM5WQ4Gz #timmins https://t.co/QhGepe2A0P"
2017-11-30,Proof Sudburians love their sauce https://t.co/E44y7NoftQ #timmins https://t.co/HyLzk6TPSD
2017-11-30,Photographer always finding something different to capture https://t.co/UVukyojog2 #timmins https://t.co/HfCCXTYNrR
2017-11-30,"Good morning, Timmins! https://t.co/zvcOxMHHK4 #timmins https://t.co/Uqjfj2IVAs"
2017-11-29,"$104,000 worth of unmarked cigarettes spill onto roadway https://t.co/tPUFxhRUcx #timmins https://t.co/ceuri6zK9a"
2017-11-29,Explore downtown with Window Wonderland Walk https://t.co/v7yN0t7q0y #timmins https://t.co/7LSLdDwtFI
2017-11-29,"Snowmobiling in city parks is not cool, ok bud? https://t.co/nnuhAbtBQG #timmins https://t.co/lV8c5t5ayw"
2017-11-29,Two Timmins anglers fined https://t.co/KqBL3fBYDQ #timmins https://t.co/XuMwPjt8LD
2017-11-29,'A win-win situation' https://t.co/11VSpuNqVg #timmins https://t.co/1qCBj8nkuG
2017-11-29,Tractor trailer driver charged with imapired https://t.co/m0jTAeRz6i #timmins https://t.co/q2xU4kDCs6
2017-11-29,Pet Pictures with Santa raising cash for humane society https://t.co/ZdRw2pg2dS #timmins https://t.co/K3oIJgy6UC
2017-11-29,Latest Poll:  Do you work from home? https://t.co/Ve2UijZKaL #timmins https://t.co/Qr6RaQOAxc
2017-11-29,Latest Poll:  There's less than a year until the next election. Do you think the mayor is doing a good job? https://t.co/TVAaEO3MVX #timmins https://t.co/HG9NW3Eom1
2017-11-29,"Good morning, Timmins! https://t.co/0A53prgcei #timmins https://t.co/TWOyLVgK5w"
2017-11-29,Pine and Fifth Pilot Project approved https://t.co/oaPIFD5Llv #timmins https://t.co/LKrKlOqnCk
2017-11-29,First confirmed influenza case in the area https://t.co/VqhVrozXHk #timmins https://t.co/w31wlcR86A
2017-11-29,Bisson tables bill to regulate gas prices https://t.co/ETCjXzzOFU #timmins https://t.co/9ebnT32BU0
2017-11-29,Vachon relates to barriers ACT is working to break down https://t.co/qKzZ461Cmo #timmins https://t.co/BVNpzmODm6
2017-11-28,Open house a chance to learn about Anti-Hunger Coalition Timmins https://t.co/Ba1wLZrJkV #timmins https://t.co/QTZqcVHZNF
2017-11-28,Adopt Me: Wichita had to have emergency surgery https://t.co/WFenKWeIJu #timmins https://t.co/c2iZfZl2Ye
2017-11-28,Kirkland Lake driver charged with impaired https://t.co/EWwJMKw07l #timmins https://t.co/zVBXq2mZHn
