created_at,text
2017-12-02,A tiny part of our society has decided that their right to hoard their unfathomable wealth offshore to avoid taxes is more important than making sure that their neighbours don’t die. https://t.co/Yn7S1UY630
2017-12-02,"“Certainly I regret to think that anyone in our party would hold that view of me,” says Gary Burrill about comments on his character https://t.co/uFYowJuMvf"
2017-12-02,"Did you know Halifax has a twin? Learn a thing or two about Hakodate, Japan https://t.co/rzikUUtBs0"
2017-12-02,Love The Way We Love: Not all angels have wings https://t.co/AkWUoGYYyx https://t.co/8OMSVedboc
2017-12-02,Our latest from @paulrodeo https://t.co/wzGQbzCTGF https://t.co/6RBFzkpC3X
2017-12-02,Cooking on the @SailBluenoseII doesn’t actually have too many challenges. They stock up their groceries at port—the ship actually spends more time at port than at sea—and it’s essentially just like cooking at home. Unless there’s a storm. https://t.co/8liYAkM50Q
2017-12-02,"""Three Billboards"" is one of the year's best movies, says @thorneyhfx https://t.co/4aAegqOox8"
2017-12-02,"The Holiday Dough Ball returns to @lotsixbar tomorrow. Sample chocolate, shortbread &amp; more from Halifax's best bakers! Just a few tickets left for our 10 a.m. session https://t.co/WBUypFSzfA https://t.co/86Anw3miLn"
2017-12-02,"""For fat people who are interested in exploring body positivity, we're hoping this can be their gateway."" https://t.co/lApVDChwxf"
2017-12-02,Some fashion advice from Haligonians with style https://t.co/okMcr95n44
2017-12-02,We're looking forward to sweater weather since it means the return of In The Dead of Winter! See the 2018 lineup: https://t.co/dTFV5NTE0m https://t.co/SGIPGuoshd
2017-12-02,Live music in Halifax takes another hit. https://t.co/YhjLiRNi3O
2017-12-01,"Alanis, Taylor and Tori: You can be all three and still go home sad. https://t.co/ISo1KIYsEG"
2017-12-01,"""Here are the highlights of three strains you can score for less than 10 bucks a gram,"" says Lucy LaPlante. https://t.co/hmBkwSXqGq"
2017-12-01,"Patrons 902 Food Fusion gets a mulligan thanks to chef Luis Clavel, whose menu proves creative cuisine and indoor golf can coexist. https://t.co/lkbmwboKfb https://t.co/XfUTM5tQWH"
2017-12-01,Calling all #media watchers and fans of #print. Atlantic News delivers your Saturday @globeandmail fix https://t.co/AaeJJQTuwv
2017-12-01,Putting trials on trial: “empirical evidence suggests that women continue to experience the trial process as deeply traumatic.”  https://t.co/AmHUtVUTeW
2017-12-01,"Behind the scenes at Atlantic News, as they get ready to be the only place in Atlantic Canada that has Saturday's @globeandmail in print. The Globe may have forgotten Halifax, but Halifax hasn't forgotten the Globe. #readprint https://t.co/V78t7Z8IMN"
2017-12-01,"The final, absolute, this-time-no-lie opening date for the Halifax Convention Centre will take place December 15, after nearly two years of delays. https://t.co/WPV3OL217u"
2017-12-01,Resigning NS NDP vice-president accuses leader Gary Burrill of putting loyalty ahead of competence https://t.co/99mZetq1qI
2017-12-01,Former Coast writer @whitneyemoran and @BarStillwell's Chris Reynolds wrote a book about beer and it launches next weekend https://t.co/SBoT7uXQye https://t.co/BCaWRS3O31
2017-12-01,Support independent business this holiday season like The Daily Grind Cafe and Art Market where you can pick up made in #NovaScotia decor by David Amos Woodworks. Tag your great local buys with the #BuyNSLocal hashtag. https://t.co/SYQL9BvmHc
2017-12-01,"When the Mining Association of Nova Scotia starts lobbying for access to our protected wilderness areas, we should all be very alarmed. https://t.co/u4x6u2rCj6 #VoiceOfTheCity"
2017-12-01,Don't cry for the death of the classic cinematic experience—weep for the original screenwriter. https://t.co/M7Q41wobrr
2017-12-01,Would you like a side of golf simulation with your knock-out brunch? https://t.co/3iirY1VynT https://t.co/xzBuaEalXe
2017-12-01,"Welcoming and mouth-watering, Qiu Brothers is one of the city’s best new restaurants. https://t.co/3Tjr1blOhi https://t.co/Ym5IjVqSCf"
2017-12-01,3 marijuana strains for when you need a comfy blanket on a melancholy fall day #halijuana  https://t.co/r7hnS25wU7
2017-12-01,Don't miss #Halifax's sweetest event of the season! There are a few tickets left for Sunday's Holiday Dough Ball @lotsixbar https://t.co/OIH9H9BtBK https://t.co/rY5IS2bMIF
2017-12-01,“If we didn't lock our doors we'd have people come into the apartment” https://t.co/SyFPFrJ15e #ElmwoodMemories
2017-12-01,A limited number of discounted early bird tickets for the 2018 @HfxOysterFest are on sale now. Gift the gift of experiencing the best of N.S. seafood on the #Halifax waterfront https://t.co/xPQMs6ENyo https://t.co/EqAHQLp5w8
2017-12-01,"The latest edition of Halifax Weddings is here! Check out the essential guide to getting hitched, featuring couples such as Odette and Cal https://t.co/vkbWXS8N4j https://t.co/3DupDNAJTI"
2017-12-01,“I do think it’s important that higher-income earners support the social safety net by paying taxes.” https://t.co/j9wpbkoZgK
2017-12-01,Everything you want to know about shatter but were afraid to ask #cannabis #halijuana #review https://t.co/1bW9bMQq8t
2017-12-01,"You find yourself feeling kind of bad for the guy, then you must remind yourself he literally ate people. https://t.co/AOheVVsXWM"
2017-12-01,“Why is it so important for you to hear the victims’ scream over and over and over again?” https://t.co/ISu915tvEi
2017-12-01,"When you support independent business, you contribute to building vibrant neighbourhoods like @QuinpoolRoad, @DowntownHalifax, @DT_Dartmouth and @HalifaxNorthEnd. Tag your great local buys this season with #BuyLocalNS. https://t.co/EYVxOS0xzq"
2017-12-01,Do you have sales experience in the #Halifax market? Come work with us! https://t.co/qcxXciBARb https://t.co/VkioSSaXU3
2017-11-30,"Councillor Whitman defends use of Segways on harbour ferries: “They’re a joy to be on in a parade setting,” https://t.co/qP7COU0hlp"
2017-11-30,The third annual Bluenose-Ability Film Festival is happening now. Get the deets: https://t.co/iuFZGTok0w
2017-11-30,"""If there's a brewery that was open before July of 2017 that's not in the book—I won't eat my hat—but I'll be very, very surprised."" https://t.co/iTHV9dwF7K"
2017-11-30,"""The character of Lady Bird, it feels like a thing Saoirse and I made together."" 
https://t.co/LNPsQ72YCp"
2017-11-30,"Love to consume blogs, social media and magazines and have sales experience in the #Halifax market? Come work with The Coast, Halifax's Weekly https://t.co/CBr5bKGt9Z https://t.co/9NRbF9atiQ"
2017-11-30,Do you have experience with print and web sales? @TwitCoast is looking for a sales representative to join our team https://t.co/A2pyBe7f6k https://t.co/3j8DKDw4hU
2017-11-30,"The longer you’re in politics, the more this behaviour seems normal, says Graham Steele  https://t.co/EnVd69UWcc"
2017-11-30,Work at The Coast! We're looking for a resourceful and goal-oriented account rep. Details here: https://t.co/HI7nZGlazC https://t.co/BIu5tua7tv
2017-11-30,Armco hires Joachim Stroink to help ease tensions with historic Black community that’s faced centuries of broken promises. https://t.co/Qfc6tqMHP2
2017-11-30,"“In terms of the relief efforts, there were very explicit ways in which it was classed.” @jacremes talks the Halifax Explosion and stories you don't know about its aftermath. https://t.co/iaTX9VmPyk"
2017-11-30,https://t.co/FW2pbMQkVx
2017-11-30,“I watched my daughter stand up and speak out for all the other victims of human trafficking in this city.” https://t.co/q3Nj1hS7Xf #VoiceOfTheCity
2017-11-30,A tiny part of our society has decided that their right to hoard their unfathomable wealth offshore to avoid taxes is more important than making sure that their neighbours don’t die. https://t.co/tMID35XVFn
2017-11-30,"“Certainly I regret to think that anyone in our party would hold that view of me,” says Gary Burrill about comments on his character https://t.co/qvvUorh7e6"
2017-11-30,Love The Way We Love: Not all angels have wings https://t.co/lB3q6zYm3S https://t.co/TblhxuREo8
2017-11-30,Join @TwitCoast and @SelectNS in supporting independent business. Share your great local buys on social media this holiday season using the #BuyNSLocal hashtag. https://t.co/FDveUE7Yuk
2017-11-30,Our latest from @paulrodeo https://t.co/a70LyyII57 https://t.co/CrhD5eMdqp
2017-11-30,"""Three Billboards"" is one of the year's best movies, says @thorneyhfx https://t.co/aQa39J3arn"
2017-11-30,Although the crowd was very chatty (seems to be a problem in Halifax these days) HO! gave the last show of its cross-Canadian tour its all. https://t.co/kGLZ84fBLG
