created_at,text
2017-12-02,Bystander helps delivery baby outside Shoppers Drug Mart https://t.co/9bWQzePD79 via @vocmnews
2017-12-02,Home is fully engulfed. There were no occupants in the home. VOCM News tracking. https://t.co/eklSEyNE3B
2017-12-02,"Nature Conservancy, Crosbie Group Announce Project https://t.co/zhWouiJXfF"
2017-12-02,Discarded Needles Still Found Regularly in Capital City https://t.co/vt3u9oqRtN
2017-12-02,MHA Questions SIRT Legislation https://t.co/sjG7YAMJsA
2017-12-02,Dangerous Driving Case Set for New Year https://t.co/i6ybimfsUg
2017-12-02,Cortney Lake Search Continues at Smallwood Farm https://t.co/DY6pwvU5Ff
2017-12-01,"Pre-Game Nerves For Newfoundlander Carl English For First Edge Home Game
https://t.co/4AOVrOsH1z https://t.co/IxxY8XmImI"
2017-12-01,Cortney Lake Search Resumes At Site Smith’s Body Discovered https://t.co/sAEUBgS9EJ https://t.co/PbF5CPSRGJ
2017-11-30,"Another moose sighting - this one on the Burin Peninsula, just outside Epworth. Stay safe on the roads. #nltraffic"
2017-11-30,"A small moose spotted in Appleton, on the TCH just east of Gander. Careful in the area. #nltraffic"
2017-11-30,"Dash Cam Captures Crash on Outer Ring Road
https://t.co/IqdKUApPh5 https://t.co/LAKK6J6P6K"
2017-11-30,"Police Seek Help Locating Missing 13-Year-Old
https://t.co/kCHbHrRmKC https://t.co/H5TdYrvqHL"
2017-11-30,"ESD Schools Asked to Cease Support of Operation Christmas Child
https://t.co/TYZvJyyevm https://t.co/4ArsXHSn54"
2017-11-30,"Cop Gives Out Winning Ticket
https://t.co/IcDQN6bnwQ https://t.co/qemsyIvCFs"
2017-11-30,Callers are telling us route 60 Peacekeeper's way has multiple vehicles in the median. Roads are snow covered and slick so watch it out there. #nltraffic
2017-11-30,Sloppy Snow Across Island Today https://t.co/dxbVxy0izW https://t.co/sfmvgab5R6
2017-11-30,Remembering Cortney: Vigil Tomorrow In Marystown https://t.co/CZPDCircI5 https://t.co/4lXfSz7U8X
2017-11-30,"NL Most Attractive Province For Oil Investment, Says Fraser Institute https://t.co/UKaAemWhIr https://t.co/rNCXkDDvAs"
2017-11-30,Land Protectors Meet With Nalcor CEO https://t.co/XztYxaq8b7 https://t.co/8KTJSz77lI
2017-11-30,Accused In Stabbing Returns To Court Today https://t.co/FQJ2j9KIAG https://t.co/1enUIWVFsA
2017-11-29,"Police Arrest Nova Scotia Man for Disturbance Aboard DRL
https://t.co/9mrsBkuneM https://t.co/orZTwfoDVf"
2017-11-29,"Jiffy Cabs Looks to 'Block the Jiffy' for Holiday Toy Drive
https://t.co/QrSsHNT77y https://t.co/06iyyocX0I"
