created_at,text
2017-12-02,The best things in life are free! 28 free things to do in #Vancouver this December https://t.co/cTUtjQo2O3 https://t.co/WyTRRodXYU
2017-12-02,The #SouthsideSerpents @DrewRayTanner and @thejordanconnor call out the #Riverdale gang! Watch the full recap and review: https://t.co/sgB9SasZ7E https://t.co/SpECEk9Qcw
2017-12-02,"The wait is almost over, Star Wars fans! 12 new movies coming to theatres in December https://t.co/64px631EQG https://t.co/GrrBmu39xQ"
2017-12-02,15 holiday gifts under $20 that don't suck https://t.co/lbsRTViaXk #ad https://t.co/Jk4tkfNLvW
2017-12-02,Win a luxury retreat for 2 at @RWHotelGeorgia valued at $1350 via @VancityBuzz https://t.co/NhEBC3XzPv RT to enter! #DH12Days https://t.co/fnFRVozSZS
2017-12-02,This app will show where to find the nearest public washroom anywhere in Canada https://t.co/Z9lSKV6MjX https://t.co/7VgarcmvJs
2017-12-02,Find out how to win jewellery worth over $300 (including Kate Middleton's earrings)! https://t.co/gsXRaefBAJ #ad https://t.co/NKq7whKG9O
2017-12-01,56 timeless hikes near #Vancouver you can do all year round https://t.co/IIAv6JFg4y https://t.co/KuYafM9ZTZ
2017-12-01,Find out how to win a hair care package worth $250 for Capelli Salon d.Martino https://t.co/DpqUMQmbqP #ad https://t.co/MXX9OpiLKF
2017-12-01,These are some of the hottest restaurants in #Vancouver right now https://t.co/tde9GEeshI #amexcobalt #ad https://t.co/osMrpxCI7k
2017-12-01,Win 5 pairs of shoes for you and friends from @NewBalanceVan via @VancityBuzz https://t.co/KFbKiOMFh3 RT to enter! #DH12Days https://t.co/tggEQNelnz
2017-12-01,.@NYEVancouver is returning with a bang for 2018! 🎆 https://t.co/3iB6n6LIvl https://t.co/bEZ9pMY4QA
2017-12-01,Less than half of Canadian have full-time jobs right now https://t.co/x1lQ3v8vVH https://t.co/qpsDrY1xvO
2017-12-01,It is now officially illegal to sell a locked smartphone in Canada https://t.co/gu07TBlPdO https://t.co/yojKcEBwtE
2017-12-01,"Watch: Daniel and Henrik Sedin are the first brothers ever to both join the 1,000-point club 🙌 https://t.co/vaHOqk50lo #Canucks https://t.co/IOiG9w7rjA"
2017-12-01,The opening round groups are now set for #FIFA2018! https://t.co/cn9qfWwuv5 https://t.co/uP1G4VUWLt
2017-12-01,"Win a $1,000 @StarbucksCanada card via @VancityBuzz https://t.co/NDRnMBahmA RT to enter! #DH12Days https://t.co/gAli9vgVPq"
2017-12-01,#Canucks' Boeser named NHL Rookie of the Month for November! https://t.co/OMxVKPfbJV https://t.co/DzNwKz79xM
2017-12-01,.@McDonaldsCa just introduced Parmesan &amp; Garlic Fries for the holidays and we're freaking out 😱😱 https://t.co/zmjHjQs4FX https://t.co/XCDv5zJkOn
2017-12-01,"SixPack: Daniel Sedin records 1,000th career NHL point in Nashville! https://t.co/BU59bTj3KC #Canucks https://t.co/NmC6F0S2st"
2017-12-01,"7 things to do in #Vancouver today, from Robson Square Ice Skating to VanDusen Festival of Lights and more! https://t.co/xUbtP0fGXC https://t.co/zUIw1UBjCH"
2017-12-01,Get ready to stream! Here's a list of everything coming to @Netflix_CA  this December https://t.co/VckTfLAN0L https://t.co/0S3vPnv35h
2017-12-01,Someone reimagined #Vancouver's neighbourhoods as Simpsons characters 😂 How does your hood stack up? https://t.co/43WZt141NR https://t.co/mudjX6QdJt
2017-12-01,"Daniel Sedin records 1,000th career NHL point in #Canucks win

https://t.co/RdhdyJr1WY https://t.co/RFRbq8uju7"
2017-12-01,Can't fit a tree in your apartment? We got you! Check out these 5 Christmas tree alternatives you can DIY for cheap https://t.co/wGEQ8x65Sq https://t.co/ba7kUTuzgl
2017-12-01,Watch #SouthsideSerpents @DrewRayTanner and @thejordanconnor try to keep a straight face and not reveal that they know who the #BlackHood is on #Riverdale https://t.co/Su93BmJcn6 https://t.co/uoOsLDjo6k
2017-12-01,Ring in the New Year with Swedish House legends Axwell ^ Ingrosso in #Vancouver 🍾🎉 https://t.co/TDsKgji2O7 #ad #SOLIDNYE2018 https://t.co/Umk8TSdtTo
2017-12-01,"Our annual 12 Days of Giveaways is back - and this year is our biggest yet with over $35,000 in prizes! Stay tuned for contests... https://t.co/SrMvKCdu7w https://t.co/jCilkMdvup"
2017-12-01,This is the ultimate list of all 31 of the holiday treats you need to try this season. BOOM.  https://t.co/axuyvsVzYe https://t.co/hF2BWsJQDl
2017-12-01,"Care to comment, @vanessamorgan/@_melton_/@colesprouse? Watch the full episode of #RiverdaleRewind here: https://t.co/sgB9SasZ7E #Riverdale https://t.co/HJUfbDiBgo"
2017-12-01,"#Dublin, here we come! @JOEYRestaurants wants to send you to the land of Guinness - here's how to enter https://t.co/SmeIZrlSud #ad https://t.co/XTJjjOLoo7"
2017-12-01,New brewery alert! 🍻 Electric Bicycle Brewing is opening in #Vancouver early next year https://t.co/fc0ffJNvhD https://t.co/dyaOorNbFL
2017-12-01,"Stay in school, kids! Watch the full episode of #RiverdaleRewind here: https://t.co/sgB9SasZ7E @iamamurray #Riverdale https://t.co/Fl1JAobH9b"
2017-12-01,.@PortVancouver's new program is listening to underwater ship noise and helping protect whales ❤️🐋 https://t.co/AbDTVxfGSr #ad https://t.co/OyYOVuo7hj
2017-12-01,.@LumiereYVR kicks off with an epic art display in #Vancouver this Saturday! https://t.co/wAzLYKFCri #ad https://t.co/kY9KPlcaIR
2017-12-01,Chuck Clayton loves shoes! Watch the full episode of #RiverdaleRewind here: https://t.co/sgB9SasZ7E @JordanCalloway1 #Riverdale https://t.co/4t3tYkcrSx
2017-12-01,This is the only Canadian destination to make it onto Nat Geo's 'Best of the World' list https://t.co/XuQW3yqKcR https://t.co/496HEfHV3k
2017-11-30,Midam Cafe's Sizzling Green Matcha Mochi Toast is EVERYTHING 💚💚💚 https://t.co/w9533qLQHS https://t.co/LysGHPipSm
2017-11-30,.@kfc  has just launched a line of fried chicken merchandise - and it is as hot as it sounds 🍗🔥 https://t.co/zWqz9LKwrM https://t.co/s4BYmwhIWT
2017-11-30,A 51-year-old #Burnaby man tied up and assaulted during a home invasion yesterday morning https://t.co/vCoTCD3MMu https://t.co/km7mmcZVj0
2017-11-30,A 10-year strategy and a three-year action plan to address the lack of affordable housing in Vancouver have been approved by City Council https://t.co/4SKWbeLkhI https://t.co/rfg9yk0e6m
2017-11-30,Plans for a Lions Gate Bridge Climb experience in #Vancouver have been rejected by the new BC government after two years of development https://t.co/9OqSxZNlNB https://t.co/eYcPRIJ79z
2017-11-30,Tea lovers!! @DAVIDsTEA is giving away FREE tea across Canada next week https://t.co/hAt2IS5kAI https://t.co/LGBaCo2R8u
2017-11-30,Good news for brekkie connoisseurs - @YolksBreakfast is open again in a new location! 🍳 https://t.co/asInQSFulJ https://t.co/ygCUxK4N19
2017-11-30,This young #Vancouver cancer survivor met @VancityReynolds on set of #Deadpool2 and it was 'the best day of his life' https://t.co/cknrtfyMYH https://t.co/HkvuzlQ423
2017-11-30,.@ellen retweeted @JustinTrudeau's LGBTQ2 apology and called him 'an inspiration' https://t.co/6ENtr98fzD https://t.co/Ggo7I5mifc
2017-11-30,"7 things to do in #Vancouver today, from Bright Nights at Stanley Park to Pitch for the Purse!  https://t.co/Tvy6aVVO0M https://t.co/6s22WiLg0e"
2017-11-30,#Canucks' Derek Dorsett forced to retire from hockey due to his neck injury https://t.co/SrCejVSV8R https://t.co/QmcCRaK3b5
2017-11-30,#Vancouver boy @ivandecker performed on #Conan recently and killed it 🙌 Watch the full video: https://t.co/l9e4oenOQu https://t.co/qTOXskCYdR
2017-11-30,Waterboy fans - @AdamSandler is coming to #Vancouver in January! https://t.co/uwzGVquRTv https://t.co/Zw4smbz6HS
2017-11-30,Heading to Japan? #Okinawa is the one place you can't miss https://t.co/em4v0qHRbM #ad https://t.co/U90bsRa3xB
2017-11-30,Canada is experiencing a nationwide shortage in rental properties right now https://t.co/Q4BeDuawEe https://t.co/iXSRJW47Ti
2017-11-30,Aaaaaand it's been restored. Expo Line is back to normal. #SkyTrain
2017-11-30,POWER IS OUT AGAIN at some Downtown #Vancouver #SkyTrain Stations! https://t.co/PlcH931beT #translink
2017-11-30,".@Quaker is giving Canadian newcomers a #WarmWelcome this winter, with new winter coats  https://t.co/Mio33w8Hi1 #ad https://t.co/KBqnOGq1hO"
2017-11-30,Want to break into the tech field?? Learn how to get a badass coding job over a few beers next Thursday 🤘🍻 https://t.co/NlCtBP5zCc #ad https://t.co/4xtIvArTkD
2017-11-29,OKAY YOU GUYS POWER IS BACK. #SKYTRAIN IS BACK TO NORMAL NOW. https://t.co/d8GhycaAPy
2017-11-29,FYI: #CanadaLine and Millennium Line are NOT affected. #SkyTrain
2017-11-29,A bus bridge has been setup to take passengers between Stadium-Chinatown and Waterfront. It's making stops at Granville and Burrard Stations too. #SkyTrain
2017-11-29,Heads up commuters - Downtown #Vancouver #SkyTrain stations are ALL closed right now https://t.co/7gIH1sew0n  #translink https://t.co/EXTOMGZ08d
2017-11-29,.@UBC has been ranked the 6th greenest campus in Canada 🙌🌿 https://t.co/6zTr5FevF0 https://t.co/JWqS109AdV
2017-11-29,"It looks like the grinch is lives in #SurreyBC, because more than 50 Christmas trees were stolen from a local garden centre https://t.co/Z6FdfiiQkc https://t.co/djf0iGDN2S"
2017-11-29,With $50 off your tires you can feed 150 Canadians in need this winter https://t.co/qUflu2ClTd #ad https://t.co/VpgUl5nnCo
2017-11-29,.@MayorGregor calls for more prescription opioids to fight overdose crisis https://t.co/5No4GyPUNo #bcpoli #vanpoli https://t.co/thmtp7WPyv
2017-11-29,A 22-year-old man was arrested Wednesday morning after an overnight standoff with police in #Burnaby https://t.co/UambZpAmDs https://t.co/WQFbo0DY0X
2017-11-29,Canada is one gorgeous country 😍 These were the most Instagrammed places in Canada in 2017 https://t.co/q6F8PDQGQv https://t.co/3PVV9TygRV
2017-11-29,"Christmas lovers, we've found your new favourite winter destination! Quebec City has been ranked one of the best Christmas destinations in the world 🎄❄️ https://t.co/pyBUdyH7s8 https://t.co/3CeXzfs2IJ"
2017-11-29,They call it Super Natural British Columbia for a reason! 😍 These were the 10 most Instagrammed places in BC this year https://t.co/pvybjAvuN4 https://t.co/yPIAar4pBf
2017-11-29,American Cheddar Potato Balls were just added to @McDonalds Japan's menu - and the food FOMO has never been more real 😱 https://t.co/FlrDAaymKA https://t.co/KJhn6xAzmX
2017-11-29,#Vancouver City Council is voting on potentially banning foreign buyers today https://t.co/OAXyTGFepF https://t.co/m4qT0lMSCU
2017-11-29,It's the most magical time of the year ✨ 16 free things you can enjoy at #Burnaby Village Museum this Saturday  https://t.co/4TTxfVKxey #ad https://t.co/gded1phm8c
2017-11-29,#Surrey police are investigating after a woman was sexually assaulted by a masked man Monday night https://t.co/ebEj5wUQUd https://t.co/t8vERxAcZG
2017-11-29,Looking for the most Canadian job ever? The new skating rink on Parliament Hill is looking for a Zamboni driver https://t.co/5j6GXyROJz https://t.co/EsgBFbjaeN
2017-11-29,SixPack: Nilsson can't save #Canucks in Brooklyn https://t.co/ch225c9HHk https://t.co/St2M9gt212
2017-11-29,Talk about a power lunch! @MichelleObama and Sophie Gregoire Trudeau were spotted lunching in #Toronto together https://t.co/jjRJR9VllR https://t.co/3UQgIzg6Ho
2017-11-29,Did you lose some cash recently? 3 envelopes stuffed with cash have been found in #Coquitlam https://t.co/r2buAddpZd https://t.co/fyGt80HYOb
2017-11-29,Let's conquer the hump. Here are 7 things to do in #Vancouver today https://t.co/meq4jiZ1Bj https://t.co/RLgKlnUEFr
2017-11-29,4 simple breakfast hacks that will help you become a morning person https://t.co/00Xt4ccrhp #ad https://t.co/GzmF3SChYI
2017-11-29,Look like a wine genius this season 🍷 These are the wines you need to serve at your holiday party this year https://t.co/v6UcsxMsYl https://t.co/PDnXUWXRIC
2017-11-29,.@Miguel is coming to the PNE Forum next year! https://t.co/1hFge4Tkwg https://t.co/t0HzQw1oj0
2017-11-29,"SixPack: Nilsson can't save #Canucks in Brooklyn 

https://t.co/r0pMgFcVvT https://t.co/N1bBc76XM1"
2017-11-29,Find out how to win 2 tickets to Contact Winter Music Festival! https://t.co/pbm13y5vKo #ad https://t.co/qghCYUxFR6
