created_at,text
2017-12-02,First walkabout: Prince Harry introduces fiancee Meghan Markle to staple of royal duty https://t.co/CKlXu4TxCj https://t.co/YwA3uLXp5y
2017-12-02,Banker who laundered millions for Iran implicates Erdogan in scheme to avoid U.S. sanctions https://t.co/u7B2uft4PX https://t.co/719fxzcfMK
2017-12-02,Laughing Stock Vineyards joins list of Okanagan wineries changing hands https://t.co/sGkzVyQAyo https://t.co/wbjFfqmuC0
2017-12-02,The Home Front: Standout designers on Vancouver's Eastside Culture Crawl https://t.co/OIqvwXdpX5 https://t.co/6anRcGt25f
2017-12-02,REAL SCOOP: Murder charge stayed in Jamie Bacon case https://t.co/BXbJMCZpli https://t.co/9Yv9t1H5q1
2017-12-02,The royal effect: Meghan Markle wears $790 coat by Montreal’s Mackage and ‘website traffic exploded’ https://t.co/i1HnN8WDUG https://t.co/jiHGfFOhVj
2017-12-02,‘He’s not leaving’: Donald Trump tweets that Rex Tillerson isn’t on the outs with him https://t.co/DIiqA0JvvC https://t.co/bV0FTsSOPk
2017-12-02,"When a tattoo says ‘do not resuscitate,’ should doctors obey? https://t.co/VtlkXg86Ew https://t.co/kD3hn8iXCa"
2017-12-02,"A man claims he went down a raging rapids ride, came out with an eye-eating parasite https://t.co/NSTeLnLAMw https://t.co/4FA06btdqN"
2017-12-02,Trump infuriated as jury acquits illegal immigrant charged in Kate Steinle killing https://t.co/fl20QZvcHm https://t.co/2NEpbMYKSK
2017-12-02,Women at Sportsnet say they were expected to ‘deal with’ Zaun’s offensive comments https://t.co/K8DWM5ArXR https://t.co/kYEhWHv25X
2017-12-02,Photos: Baby Animals of the World: November https://t.co/Iul8cdPglR https://t.co/t7NggUL2yo
2017-12-02,Tesla plugs in world’s biggest battery to Australian grid as summer heats up https://t.co/aZlBNhvTS8 https://t.co/py1riRdOf1
2017-12-02,"When a tattoo says ‘do not resuscitate,’ should doctors obey? https://t.co/AZnHvgpmAL https://t.co/gZ4F6ek5Tv"
2017-12-02,Pope asks Rohingya to forgive ‘indifference of the world’ in emotional meeting with Muslim refugees https://t.co/MmSgt4MfgK https://t.co/1LQjhiRp2w
2017-12-02,Street food vendors skewer EU’s proposed kebab ban https://t.co/UTbuUckYW8 https://t.co/R07fnZtaan
2017-12-02,‘Death flights’: Life in prison for Argentine officials involved in throwing civilians from aircraft https://t.co/DVHy4lKVOX https://t.co/ZUEl43O6Sc
2017-12-02,Jared Kushner reportedly told Michael Flynn to contact Russia ahead of UN Security Council vote https://t.co/LttppLPWCJ https://t.co/hcYxqj5q5c
2017-12-02,Jen Gerson: Why you shouldn’t leave your kids alone with YouTube https://t.co/B37XTX4OHr https://t.co/dUgp1rM95A
2017-12-02,New trial ordered for B.C. man convicted of sexual touching of preteen https://t.co/GuleoPiSXZ https://t.co/7ei5MXtj6n
2017-12-02,Pope asks Rohingya to forgive ‘indifference of the world’ in emotional meeting with Muslim refugees https://t.co/TWicFYkJfF https://t.co/qaOWrCzaVV
2017-12-02,North Koreans celebrate missile launch with fireworks and ‘dancing parties’ https://t.co/rjELXqGfcB https://t.co/gY658wAoM2
2017-12-02,"Michael Flynn admits to lying, says Trump team knew of Russia talks https://t.co/57gxtCOqqW https://t.co/bn96C0PmyM"
2017-12-02,Will Meghan Markle and Kate Middleton be besties or rivals? Let the speculation begin https://t.co/sYf1imO5ja https://t.co/6307H9BCxV
2017-12-02,"Michael Flynn admits to lying, says Trump team knew of Russia talks https://t.co/DSmq92xqEy https://t.co/9KkXvspXAx"
2017-12-02,"After Mike Flynn pleads guilty, James Comey makes Instagram debut with Bible quote on justice https://t.co/1Qwa2V2Q5K https://t.co/6ux7kDcJBE"
2017-12-02,"Blue Jays cut ties with Ryan Goins, acquire shortstop Aledmys Diaz from Cardinals https://t.co/5KmRRxojYV https://t.co/npLJt7v4ew"
2017-12-02,It’s surprising that sports’ masculine culture has been late to the reckoning https://t.co/CJ71C3Emyw https://t.co/KWCLFBD0VW
2017-12-02,Women at Sportsnet say they were expected to ‘deal with’ Zaun’s offensive comments https://t.co/bBMDnI2V2P https://t.co/UIaEcTSZKw
2017-12-02,"When a tattoo says ‘do not resuscitate,’ should doctors obey? https://t.co/m4zzny7qRr https://t.co/T6YHcvbo9B"
2017-12-02,The Flynn fallout: What guilty plea by former national security adviser means for Donald Trump https://t.co/SEHYxg7RcO https://t.co/DV5ak1useN
2017-12-02,"International: 15 bestselling books of the week, Dec. 2 https://t.co/k6TC3EybjW https://t.co/PmvYDUag2s"
2017-12-02,Spain and Portugal draw into same World Cup 2018 group https://t.co/MYuhQmINNa https://t.co/slDE02x0gU
2017-12-02,Fab 5: Cuddlesome cashmere https://t.co/i7T69Xlymg https://t.co/jrJDDny48N
2017-12-02,Town Talk: Crystal Ball raises almost $3 million for children's mental health https://t.co/RyjPaRiXus https://t.co/tbuuCWvFn9
2017-12-02,Holiday gift guide: Canadian titles are a treat to receive https://t.co/k01H1L5qRf https://t.co/4OewHFPY7L
2017-12-02,The Happenings: See Dunkirk at Science World's Omnimax this weekend https://t.co/HdDkZm2ywo https://t.co/0bT7PFqGjZ
2017-12-02,Holiday gift guide: The big bling https://t.co/QKIAso4q2f https://t.co/xSO058o8gN
2017-12-02,Holiday gift guide: 3 tech toys to wrap up (or buy for yourself) https://t.co/iBO46ACEWp https://t.co/x4AdsQ4gOv
