created_at,text
2017-12-02,Class action lawsuit filed against PayPal https://t.co/8xFQOEqAOt https://t.co/xghjlS7I9L
2017-12-02,Part of Quebec face-covering law struck down https://t.co/cEVC1dmjdB https://t.co/wA2pORjhjN
2017-12-02,"‘A nightmare for Donald Trump’: Flynn’s guilty plea puts spotlight on Kushner, the president himself https://t.co/2yrn6oxq8m https://t.co/Wmbk3eEt0a"
2017-12-02,#Laurier’s crisis on campus | by @MercerRecord https://t.co/hCp6BZrj9b https://t.co/e0FtfwsbqK
2017-12-02,Yukon land ruling welcomed as new chapter https://t.co/4wSEBcMipK https://t.co/T8pimFeNqq
2017-12-02,#Kitchener moving ahead with redevelopment plans for Rockway seniors centre https://t.co/lzinSWuKKu
2017-12-02,A look at possible Gregg Zaun replacements https://t.co/fW5YTmDaF2 https://t.co/3qz769p7C3
2017-12-02,Lawlor appealing his murder conviction https://t.co/KlG4viRxWB https://t.co/hdbltQ7IA1
2017-12-02,Supreme Court’s Yukon land ruling welcomed as new chapter for territory https://t.co/lhdLinzqDQ https://t.co/AgTHadEqSS
2017-12-02,Toronto Real Estate Board vows to take open data case to Supreme Court https://t.co/v14KtBj5AL https://t.co/w6szk0fYhw
2017-12-02,Bar owners consider naloxone https://t.co/iWzOF26hA1 https://t.co/nLcWc6wju4
2017-12-02,Judge strikes down section of Quebec law that bans face-coverings https://t.co/hHMdI0BxZE https://t.co/3HV3XO1No4
2017-12-02,"Flynn’s rise was rapid, his fall even faster https://t.co/TWaDBn9fTn https://t.co/WDMvgvJNaR"
2017-12-02,#Laurier’s crisis on campus | by @MercerRecord https://t.co/hCp6BZrj9b https://t.co/dhvsYN99wX
2017-12-01,How the quiet transfer of teachers over disciplinary issues has led to patterns of abuse in schools https://t.co/5xFzkLfKXg https://t.co/pkpXPnDhR1
2017-12-01,"Flynn pleads guilty, is co-operating in Trump campaign probe https://t.co/EYNsprlSIx https://t.co/d95Q1dVaL6"
2017-12-01,Mall emerging as Cambridge multiplex front-runner https://t.co/jtuMnc8hhv https://t.co/n86s4IaJtx
2017-12-01,Canada’s unemployment rate falls to 5.9 per cent https://t.co/D2vdOcSIIA https://t.co/ST5CN6RItd
