created_at,text
2017-12-02,Lake Louise resort power outage jeopardizes women’s World Cup downhill https://t.co/NotJBW1Quh https://t.co/OMtCHvCH7F
2017-12-02,"Yay! Carbon tax hike, 30 days and counting. Column by @sunrickbell  https://t.co/Ukf3VvBLAc https://t.co/UnIkX1gcXY"
2017-12-02,"FUSE33 makerspace warehouse a 'do-it-yourself palace' with robots, high tech fashion https://t.co/I5F19GY36h https://t.co/OiLtoPSjOn"
2017-12-02,Francis: Former Flame Cammalleri sees how Alberta's other half lives https://t.co/vzqPACCKCE https://t.co/wmNZJRQDMZ
2017-12-02,Abduction charges dropped against Calgary man accused of taking children to Ontario https://t.co/wPIFPPno5R https://t.co/0q0kkEtdgw
2017-12-02,Corbella: Calgary lets golf course owner tear up the land without a permit https://t.co/rT1Z1xmoXQ https://t.co/7PjB2IcKYe
2017-12-02,Alavida brings non-cold turkey alcohol treatment to Calgary https://t.co/lzqtw9IS26 https://t.co/d3HVXPyauV
2017-12-02,Versteeg month-to-month with hip surgery https://t.co/lQ8siUP3kq https://t.co/DFJv6Tj8qY
2017-12-02,The 10 best video games of 2017   https://t.co/7dkGnHuWtT https://t.co/20kRu7RGGI
2017-12-02,Justin Timberlake reveals secret behind ‘SexyBack’  https://t.co/kl5WfZpAJA https://t.co/XiheSNrnmo
2017-12-02,Survivor castoffs JP and Joe reflect on epic double-header https://t.co/UDm4TuaST9 https://t.co/rJnhSSqh1b
2017-12-02,Christmas tree prices on rise for first time in almost a decade https://t.co/wi7m81dM5z https://t.co/I7jcT3o4zp
2017-12-02,Chris Pratt warns fans of ‘pervy’ Facebook impostor  https://t.co/T8DHheK9QI https://t.co/B3UZAPFwoq
2017-12-02,Shirtless Mark Wahlberg shows off sexy body in Instagram video  https://t.co/PG6LRrtcPH https://t.co/PNmzgiNgC4
2017-12-02,Melissa Schuman ‘forgives’ Nick Carter after accusing him of rape  https://t.co/H58gBDWBIW https://t.co/YmwLmzzZe4
2017-12-02,"Women of Sportsnet felt they were expected to 'deal with' Gregg Zaun’s behaviour, comments https://t.co/szbaInDNhN https://t.co/UCaXMbZ41D"
2017-12-02,"’Big Bang Theory’ star Kaley Cuoco engaged, tearfully shows off ring  https://t.co/LAEZwq2A9Z https://t.co/1gXfDfuirX"
2017-12-02,"Jimmy Kimmel, Roy Moore trade online jabs. Guess who won. https://t.co/HOZkF27GoQ https://t.co/beFbH2tKcF"
2017-12-02,Versteeg month-to-month with hip surgery https://t.co/3ypdsJnI1Y https://t.co/iSRW02tp0B
2017-12-02,Abduction charges dropped against Calgary man accused of taking children to Ontario https://t.co/PZze9Cq0DA https://t.co/Dd0wn2pWlY
2017-12-02,Natalya Neidhart: I like to do everything under pressure  https://t.co/xPHHyy93uq https://t.co/PHScN7nHcZ
2017-12-02,"FUSE33 makerspace warehouse a 'do-it-yourself palace' with robots, high tech fashion https://t.co/5IXAKtCoHH https://t.co/Kw3a0ocOpZ"
2017-12-01,"Murder, conspiracy charges against Jamie Bacon in Surrey Six case  https://t.co/sql9ttWdiJ https://t.co/8pjbVMuQsG"
2017-12-01,"Hey Calgary!
We are still looking for sponsors for Adopt a Family 2017! If you or your company would like to help out a family in need this Christmas click here: https://t.co/3zT87YySFx or call 403-250-4197. https://t.co/urmyvsN0qv"
2017-12-01,Alavida brings non-cold turkey alcohol treatment to Calgary  https://t.co/LWoqBdYE2E https://t.co/U2J3wcJNMr
2017-12-01,UFC 218: Fan favourite Gaethje relies on relentless motor: https://t.co/gfwaPVmexE #mma #ufc2018 https://t.co/CvVwbo9PgN
2017-12-01,U.S. prosecutors want to seize Martin Shkreli’s $2M Wu-Tang album https://t.co/uygsbmQGay https://t.co/Umi5F87UFD
2017-12-01,"Here's how Miika Kiprusoff helped #Coyotes ’ Keller become a basement beast, as revealed by @EricFrancis : https://t.co/VVJJE9wg34 #yyc #nhl https://t.co/9s7bz4lz11"
2017-12-01,Quite the Happy Meal: McDonald’s manager gets $110K reward for tip on murder suspect  https://t.co/aYKXyvpDp4
2017-12-01,"When scheduling keeps you from meeting your match, is it really the schedule? @CaseyLogansLife wonders: https://t.co/FSJcA6d1GS #yyc #dating"
2017-12-01,"National jobless rate falls to lowest in a decade, but Alberta rate still above average  https://t.co/Li1N88YuAq https://t.co/lC0apNaynn"
2017-12-01,Parents of young child needed help with baby toys  https://t.co/gsZj2kVVdl https://t.co/WE785Sy7W6
2017-12-01,Prince Harry and Meghan Markle make first official visit  https://t.co/AYxilcSqpN https://t.co/cGAtKG556N
2017-12-01,"Podcast: Calgary, the city with a reputation of bulldozing its past  https://t.co/HB2JQIDWnU https://t.co/EHyOPHpQBL"
2017-12-01,"Here's how Miika Kiprusoff helped #Coyotes ’ Keller become a basement beast, as revealed by @EricFrancis: https://t.co/VVJJE9wg34 #YYC #NHL https://t.co/Nij0NJUvma"
2017-12-01,Ex-Trump adviser Michael Flynn pleads guilty to lying to FBI  https://t.co/H9NCN1KQXo https://t.co/M57YTHJ5LI
2017-12-01,Calgary leading the province in flu cases  https://t.co/y9Yr36ZO1K https://t.co/tUU3KMD4SW
2017-12-01,"With a 3.8% tax hike coming,  @sunrickbell analyzes #Calgary city hall’s voodoo math: https://t.co/ofHqR4nMjE #yyc #yyccc https://t.co/j3PSOzNhFv"
2017-12-01,Kahlil Carter not returning to #Stampeders https://t.co/EjEA385Zp5 #yyc #cfl https://t.co/BkElrWcd6M
2017-12-01,Canadian speed-skating team aims for fast times at #Calgary World Cup https://t.co/xZvCnhhQpW #yyc https://t.co/2ISBR1gnef
2017-12-01,"I like to do everything under pressure, confesses @NatalyaNeidhart: https://t.co/q66rGgqwYx #wwe #yyc https://t.co/3PdRgfDHcT"
2017-12-01,A former lawyer is being blamed for the suspect in luxury vehicle thefts skipping court: https://t.co/2nde2JpeXz #yyc https://t.co/hxZPHdd7bt
2017-12-01,"Mike Smith, Mark Jankowski come up big as #Flames blank Coyotes: https://t.co/vEBdRAK87w #yyc #nhl https://t.co/q02x6f3kNs"
2017-12-01,"With a 3.8% tax hike coming, @sunrickbell analyzes #Calgary city hall’s voodoo math: https://t.co/ofHqR4nMjE #yyc #yyccc https://t.co/X3QdByAf74"
2017-12-01,Crown drops criminal charges against Siksika man who says he was beaten up by Mounties https://t.co/UJaWv18xDn https://t.co/8r2tclyXGz
2017-12-01,Budget 2018: Average homeowners' property taxes to go up 3.8 per cent https://t.co/IzPCFeQqJp https://t.co/oyZcczu8nI
2017-12-01,"Fatal crash caused by deer by the highway, suspected dangerous driver says https://t.co/mjuhjeE6x2 https://t.co/ZbymSlZZmr"
2017-12-01,Council approves $45 million to help struggling businesses https://t.co/Ls1QXOsmZV https://t.co/0D1cmAX4HL
2017-12-01,Former lawyer blamed for suspect in luxury vehicle thefts skipping court https://t.co/nMHelM893R https://t.co/H1pvcmrr6K
2017-12-01,Kahlil Carter not returning to Stampeders https://t.co/AEnlwWsIVa https://t.co/3YFmVBbCet
2017-12-01,Justin Bieber’s head of security arrested for DUI after crash injures cops  https://t.co/vBBbdAu94z https://t.co/lZfsxJ5iax
2017-12-01,Drake yuks it up as Raptors courtside reporter  https://t.co/2EjuemASux https://t.co/7fsjnOQ7VR
2017-12-01,Radiohead welcomes inquest into deadly Toronto stage collapse https://t.co/q6YryUhlmV https://t.co/9KyI8akQA7
2017-12-01,Rachel Notley 'pleased' feds supporting process to resolve delays https://t.co/5DtbTopMRW https://t.co/K6LWUpfvgb
2017-12-01,Lansbury ‘devastated’ harassment comments taken ‘out of context’  https://t.co/jScFKiB61h https://t.co/OO6xg7Cf6i
2017-12-01,Russell Simmons steps down from companies after rape allegation  https://t.co/0jkW1JXXfV https://t.co/v4iciWIeXe
2017-12-01,"While y'all wait for the cable to come back, check out this feature on Matthew Tkachuk from @WesGilbertson https://t.co/htKWRah53d"
2017-12-01,Budget 2018: Average homeowners' property taxes to go up 3.8 per cent https://t.co/dzGpk2fLBT https://t.co/k1GggUKHm2
2017-12-01,"LGBTQ ’gay purge’ payouts to range from $5,000 to $150,000 per person https://t.co/UmIqlMVGim https://t.co/L8MkB644n0"
2017-12-01,Focus more on how long Tiger Woods lasts than his score  https://t.co/7mHvFphr8E
2017-12-01,"Fatal crash caused by deer by the highway, suspected dangerous driver says https://t.co/mnTFMGJ1ki https://t.co/bmAYfYIKVf"
2017-12-01,Flames sophomore Matthew Tkachuk hits 100-game plateau tonight https://t.co/ivZRSnNM0e https://t.co/a8lsxNX8iq
