id,created_at,text
2017-12-01,The Supreme Court of Canada has ruled with First Nations &amp; environmental groups in the Peel land use planning case. It says the Yukon govt did not have the authority to make extensive changes to the final recommended plan #peel #Yukon
2017-10-31,Ahoy! #Whitehorse home set to welcome #trickortreating to the high seas of front lawn.#yukon https://t.co/6vEQOnFgFq
2017-10-30,Roch getting his makeup lesson! https://t.co/lDDSYMZbNg
2017-10-30,The face I rely on every work morning.... https://t.co/1nYO7Im0rV
2017-10-30,Remembering northern music icon Al Oster who died this wknd at age of 94.Hank Karr and Cal Waddington will join us with memories at 7:10
2017-10-30,...A jack-o-lynx #yukon #halloweencostume https://t.co/HDEAY9oKDH
2017-10-30,Treats @YukonWildlife resulted in.... https://t.co/NrlWjLAbzW
2017-10-27,#Yukon RCMP say house fire in downtown #whitehorse started during a police operation. Several people arrested.A dog died of smoke inhalation https://t.co/mDICWwt8LQ
2017-10-26,@yukondude Thank u!
2017-10-25,Listener Maggie Leary reminds #Yukoners why we shd take time to look up overnight #aurora https://t.co/krqjAqcch5
2017-10-20,"Good try but listerner Adam Skrutkowski;s admits ""I think I need to work on my moose call 'cause it only attracted some otters!""#yukon https://t.co/eYsro195Hs"
2017-10-12,Sighhhh https://t.co/NMZma6PKhc
2017-10-05,@goodfatcare @AmyTuckett Thank you for the conversation!
2017-10-02,@lruskin we have wrong # call us 867 668 8448
2017-10-02,@RAMESHFERRIS @ColemanSandi Thanks @RAMESHFERRIS feels great to be back with Roch and @ElynJonesCBC and most of all our listeners!
2017-10-02,Horrendous! https://t.co/u7rRSPT94X
2017-06-29,"""Watch them,catch them unawares and see them picnic on their holiday"" exactly what Minnie Clark managed to do near #Teslin #Yukon https://t.co/xr3dLMupOK"
2017-06-23,A lunchtime flotilla dwtwn #Whitehorse https://t.co/ttZ4fO3CMH
2017-06-23,"""lost my mind celebrating a special Yukon date"" https://t.co/eW3HqL2IFZ"
2017-06-23,Toemail! https://t.co/NlKrkwnZxP
2017-06-22,@YukonRCMP What is latest guesstimate on reopening highways?
2017-06-22,Alaska highway and North Klondike Hwys north of #Whitehorse remain closed due to a tank truck rollover carrying aviation fuel (Photo: RCMP) https://t.co/XSQlsXmQZb
2017-06-22,Here is recording of Senator Dan Lang announcing unexpected retirement in Senate this morning. https://t.co/QQKm3b5w9B #yukon
2017-06-22,Alaska Hwy north of #whitehorse and   North Klondike Hwy remain closed due to tanker rollover carrying aviation feul #yukon
2017-06-22,Yukon Senator Daniel Lang retiring from the upper chamber https://t.co/GalmaJIDEg
2017-06-22,"Tankers, helicopters battling fire 21 kms south of Dawson City https://t.co/GcQDCjQXSy"
2017-06-21,Congrats to #CFTN !https://t.co/6Bp5bkfPOV
2017-06-21,Kwanlin Dun Cultural Centre will host #NationalAboriginalDay celebrations on banks of Yukon River in heart of #Whitehorse https://t.co/qi0YyW5QMA
2017-06-17,Oh sNOw! 25th #KCIBR cancelled! https://t.co/7H4rcVkgYr
2017-05-31,Families courageously share their stories of loved ones https://t.co/oMuvQ32F8H
2017-05-23,All City Band warming up to kick off 2017 Arts in the Park season dwtn #Whitehorse #Yukon noon hour https://t.co/tNZIGyOL85
2017-05-20,1 injured in explosion at Yukon's Minto Mine https://t.co/Dzgysjq7AI
2017-05-14,19th Run for Mom underway along Millenium trail #whitehorse #yukon https://t.co/xEoYWr0iXf
2017-05-01,"Live radio..ways taught to drop,cover and hold on..to the mic.. https://t.co/nrL3KoYuda"
2017-05-01,What broke at your house? share the pic https://t.co/Br8nrEY9jW
2017-04-23,Special treat! https://t.co/8kcfoD9Vw7
2017-04-10,Atac Resources Ltd  announces 63 M earn in agreement with world's largest gold producer Barrick Gold Corp in it's Orion project. #yukon
2017-04-02,Happy Huskies fans! https://t.co/A1a0bIF8SO
2017-03-31,@jgmaber looking forward to it!
2017-03-27,With this weather few excuses https://t.co/0O080ykdTJ
2017-03-15,Almost missed this..Out plugging in my belt sander.. https://t.co/OgrCAPklfM
2017-03-09,Wheeling your best friend in the #yukon #springintheair https://t.co/r0jTkWcauu
2017-03-07,Whse glass blowing studio turning loved ones ashes into glass keepsakes #yukon https://t.co/JLBUR6TM0K https://t.co/PbYDGlBGGx
2017-03-06,"Reduce, Recycle but what of Reuse......https://t.co/Hw2eYKnVke"
2017-03-05,The last curtain call for well loved tradition https://t.co/rce1jjfCAt
2017-03-04,Yukoners getting to the bottom of it at Canada Games Centre today... https://t.co/69EzlaH6Sd
2017-03-04,Yukoners help crack Top 10! https://t.co/0QtXvF3oap
2017-03-04,The rosy return of lengthening days https://t.co/0JNNhHhLyd
2017-03-03,Due to cold temps organizer Colin Abbott postpones Yukon Ski Marathon 4 safety reasons til Mar 12th https://t.co/9s02HkabKT #yukon
2017-03-02,Fire engulfs Haines Junction business Kluane Machine this morning.  (Photo:Terry Rufiange-Holway) https://t.co/W6Pe00zvKq
2017-03-01,"Great Inspirational chat with Indigenous artist/educator Zoey Roy @pricelys1 this morn #walrustalks #yukon
https://t.co/WzpsMwr3ZL"
2017-03-01,Looking forward to our chat! https://t.co/wuPgbMZRNZ
2017-03-01,Incredible quest! https://t.co/9YEnwYOmW3
2017-02-27,"Travelling Alaska Hwy? Watch out near Squanga Lake campground, caribou have been seen licking road salt.(Photos: Adam Skrutkowski) https://t.co/P8DKOlpvzv"
2017-02-26,"Ice collapses on part of unofficial ice road to West Dawson City, Yukon https://t.co/Czly1QK2wU"
2017-02-24,Local @GCTFN families &amp; friends join local Carcross #RCMP to build rink on Bennett Lake as community await construction of new arena #yukon https://t.co/evuyNyoUTf
2017-02-23,@krmccoll Agreed..Although make that Postmistress :)
2017-02-18,Gorgeous! https://t.co/pVuDBv6qNE
2017-02-16,An early morning honour hearing stories we will always treasure.. https://t.co/ElQvRvt2qz
2017-02-15,"Stuart McLean, CBC Radio host and award-winning humorist, dead at 68 https://t.co/EiLa4wqaGO"
2017-02-01,February comes in with the lights on! https://t.co/5xEcgKh9bM
2017-01-30,@SoftFeathered @CBCNorth It is to be held on The Wharf along the river at the end of Main st.
2017-01-30,A vigil is being planned in Whitehorse tonight for victims of the Quebec Mosque shooting  https://t.co/GBxdSYXv8X #yukon
2017-01-27,@smsaideman coming up at 6:50. Thnx for sharing insights!
2017-01-23,Put me in coach! Great chatting this morn with #Yukoner @KJohnsgaard on his 1st World Cup medal for @cccski https://t.co/5QEY9zYppQ
2017-01-21,Thanx 4 listening:) https://t.co/aojs4l9j4e
2017-01-21,Hope did not take 2 far as we'll need to thaw out! https://t.co/OyetWUALB0
2017-01-20,Dabbers at the ready! https://t.co/Hjghi2oAod
2017-01-17,@511yukon To be clear Haines Rd and South Klondike Hwy still closed this morn?
2017-01-17,@yukondude thanks.. we are trying to find out the cause of the outage and how widespread south of Whitehorse #yukon #poweroutage
2017-01-09,Thnx..with this mornings -40 windchill this was a help! https://t.co/ZLUeLEkAoP
2017-01-04,Always a reason to look up on a #Yukon #winter nite! https://t.co/nRQZjLFUpO
2017-01-02,Gorgeous! https://t.co/LsTjYf2sTl
2016-12-22,Of all stripes? https://t.co/m5IHyYlS7a
2016-12-15,This weeks ice fog off the #Yukon river has the SS Klondike afloat in a dream-like setting @ParksCanYukon #Whitehorse (photo:Jamie Campbell) https://t.co/5lJRZi3BXN
2016-12-08,1 of 15 new acquisitions @Yukongov Permanent Art Collection @ShoShoEsquiro Indigenous fashion designer originally from Ross River #yukon https://t.co/LraMfRC7jK
2016-12-03,The new ministerial roll call for Yukon Gov't https://t.co/ImeP4GCtEe
2016-12-03,Premier and cabinet being sworn in https://t.co/bqlXPQuGGj
2016-12-03,@staciez agreed!
2016-12-03,Wasn't our imagination https://t.co/IS5wvEaGoq
2016-12-02,Coming up: Air Miles is cancelling their expiry policy. @cbcmarketplace reporter @AshaTomlinson has the details #airmiles #rewards
