created_at,text
2017-12-02,"So a Conservative MP dropped some bars to protest the legalization of cannabis.
Here's a snippet:
""We hope that the Senate will do its true deed,
And keep our great country safe from all the weed.""
There's more
https://t.co/fwMM4226G7 #cdnpoli"
2017-12-02,"""I was so overcome with emotion and pride for my strong boy that all I could do was cry"" https://t.co/vGgsPcgFIJ"
2017-12-02,"On Friday, Flynn pleaded guilty to lying to the FBI about his contacts with Russia.
On Saturday Trump said his former national security adviser's actions during his transition to the presidency were “lawful” and that “There was nothing to hide!” https://t.co/5h6UeKwTbW"
2017-12-02,"Commentary: Governments probably get too much blame and too much credit for how the economy is performing, writes @RobBreakenridge https://t.co/SbHsstyItZ #cdnpoli #ableg"
2017-12-02,ADVISORY: Health Canada says the reduced size may also reduce the medication’s effectiveness at preventing pregnancy https://t.co/Fc5CsEMuQr
2017-12-02,"Officers destroyed the suspicious package, which contained nails and an unidentified powder, in a controlled explosion https://t.co/9z2s1xwTxK"
2017-12-02,"Mocktail drinks have become a rising trend, and the drinks themselves are being developed to really satisfy your taste buds https://t.co/Yj5bWLzIia"
2017-12-02,"Ever wish a smelly passenger would get kicked off public transit? Well, this man ""was arrested on charges of causing public nuisance"" for his stinky socks https://t.co/eIEJGpKRXj"
2017-12-02,Kaspersky has denied wrongdoing and says it doesn’t assist Russian cyberespionage efforts. https://t.co/sCsBMsrcdz
2017-12-02,"Three times, Donald Trump told reporters it’s been shown that there’s “no collusion.” https://t.co/fmO1Vh9WTH"
2017-12-02,These geeky gifts are sure to please even the pickiest of recipients. https://t.co/yJKrY4yRSH
2017-12-02,Republicans push tax bill through Senate in major legislative triumph. https://t.co/VVATNAZlcM
2017-12-02,These gifts under $50 will make you a bona fide holiday hero this year. https://t.co/cmVDvAcNYL
2017-12-02,"It was fake news, but Trump's comments after Princess Diana's death could get him blacklisted. https://t.co/MuxtNU9P1X"
2017-12-02,Good intentions can still get you on the naughty list. https://t.co/f9RjDrResu
2017-12-02,The House of Commons ethics watchdog wants to know more aout Morneau's $10-million stock sale in 2015. https://t.co/GS7tXZTvXB
2017-12-02,The suspect has been shot by police. https://t.co/NWNrwFmHsN
2017-12-02,Carly Sutherland said the stress of her family’s situation has left her feeling like a failure. https://t.co/tb09pUDZGh
2017-12-02,There were complaints about mice scurrying about in the White House Situation Room https://t.co/bpKDd7ZR7i
2017-12-02,The ship ran aground before he was heard from again. https://t.co/gXVfUNxClN
