created_at,text
2017-12-02,Guyanese police and judiciary aided by Vancouver justice project https://t.co/hrrkI9LWSB https://t.co/TvAEV5CEJR
2017-12-02,"'More to come' on money laundering allegations, B.C. attorney general says https://t.co/wAz4ofNDWt https://t.co/AEdABtDexv"
2017-12-02,Sex offender living in Vancouver halfway house is banned from Downtown Eastside: VPD https://t.co/hBPnaJJyNp https://t.co/8Q9zMj1LKi
2017-12-02,"'More to come' on money laundering allegations, B.C. attorney general says https://t.co/dhl6DPgYhJ https://t.co/Zw3mgxCMRQ"
2017-12-02,"Botchford: Not the prettiest praise, but Sedins shine on grand stage https://t.co/oisK8Ed1KZ #sports https://t.co/8lWyMIqREJ"
2017-12-02,Paleontologists discover the mother lode — 215 miraculously well-preserved pterosaur eggs https://t.co/BNwpoZg3te https://t.co/AL9Hg6LD1H
2017-12-02,Pets or meat? P.E.I. petting farm gets flak when some goats become donair meat https://t.co/xFgwiZyxPo https://t.co/6hW5noEb0X
2017-12-02,Christie Blatchford: Auntie Blatch’s rules for men on unzipping in the modern era https://t.co/FHwNIiyzTi https://t.co/BK6zGQiXXn
2017-12-02,Andrew Coyne: Tories can stop blowing smoke because there's nothing suspicious about Morneau share selloff https://t.co/7nMWZWDlE8 https://t.co/HrywZ5gg8s
2017-12-02,Overdose emergency response centre set up in Vancouver to combat deaths https://t.co/9hwWc1R9C3 https://t.co/G3Ckt8GOSp
2017-12-02,Women at Sportsnet say they were expected to 'deal with' Zaun's offensive comments https://t.co/7Qmt5n4ps1 #sports https://t.co/EPc8hIbfU3
2017-12-02,Seahawks hoping for improved ground game vs Eagles https://t.co/Gix7PGad1J #sports https://t.co/iHhOBPMl8w
2017-12-02,"When a tattoo says 'do not resuscitate,' should doctors obey? https://t.co/DDfvvSCXTx https://t.co/af3hOzGYtc"
2017-12-02,Jared Kushner reportedly told Michael Flynn to contact Russia ahead of UN Security Council vote https://t.co/wTpTS851JD https://t.co/s6dfcKgKLG
2017-12-01,This Week in History: 1889 Two pioneer Vancouver photographers set up shop on Hastings Street https://t.co/gulZsnjRM1 https://t.co/F812S01Ble
2017-12-01,Vancouver Aquarium to take in celebrity baby walruses from Quebec City https://t.co/jG6DlSMfPc https://t.co/4aG099ic1E
2017-12-01,"Murder, conspiracy charges against Jamie Bacon stayed in Surrey Six case https://t.co/4yMNGTm9dv https://t.co/1HuTC0oj8s"
2017-12-01,"John Ivison: When planes become cattle cars we're trapped on for six hours, we need a passenger bill of rights https://t.co/HsfmA1ka1T https://t.co/6I924TD5JM"
2017-12-01,Canucks' Brock Boeser named NHL Rookie of the Month https://t.co/CsZEVjlHFM #sports https://t.co/JGmuvEHfP4
2017-12-01,Breaking News: B.C. Supreme Court has stayed charges related to the #SurreySix killings against Jamie Bacon. More to come...
2017-12-01,Gregg Zaun's flameout follows Sportsnet career filled with controversy https://t.co/gBDiIJO1SD #sports https://t.co/Kq5hglxLBQ
2017-12-01,B.C. funeral chain creates program to underscore fentanyl dangers https://t.co/e08MyvDGmh https://t.co/4kbHdCm0hB
2017-12-01,Chilliwack RCMP investigate burning car https://t.co/tOOFE3MuQX https://t.co/E7BJtU1sqS
2017-12-01,U.S. prosecutors want to seize Martin Shkreli's $2M Wu-Tang album https://t.co/uHBTl06bYF https://t.co/m75ZxhFCiq
2017-12-01,Vancouver Aquarium says bacterial infection linked to Chester's death https://t.co/kFEHcnOwRR https://t.co/9PElYPRCN7
2017-12-01,"Girl, 9, dies after being hit by transit bus in Abbotsford https://t.co/RZmG2YpmZp https://t.co/namEU4JFwr"
2017-12-01,Book review: The Language of Family: Stories of Bonds and Belonging https://t.co/6hh5Tpp1gM #arts https://t.co/obL0hYJKBP
2017-12-01,Verdict set for Dec. 20 in case of ex-Mountie charged with sexual assault https://t.co/nWBhtzc9qU https://t.co/LKRFVjLtMn
2017-12-01,Tom Hanks receives a Fiat 126p from Polish town https://t.co/g5IBkhkXLa #auto https://t.co/0BQAMv8Qhq
2017-12-01,Norman a second-generation Whitecap after signing MLS contract https://t.co/e4kNTTzqwE #sports https://t.co/cyPoC1WDzv
2017-12-01,ACTRA says it's expediting sexual harassment complaints processes https://t.co/ARaxRb8ULo #arts https://t.co/Gg9OFEaJEU
2017-12-01,Special delivery! Domino's Pizza launches baby registry for hangry new parents https://t.co/uA8gWhGdvh https://t.co/WLhJEAoy9O
2017-12-01,World Cup 2018 draw: Here are the groups https://t.co/CeiHmSnlWR #sports https://t.co/PCb6EOAjBi
2017-12-01,"Canadian’s suit against Harvey Weinstein proceeds, though lawyers say they still can’t find him https://t.co/UEzNRxl0bS https://t.co/pi6DMGWsQN"
2017-12-01,"Canadian’s suit against Harvey Weinstein proceeds, though lawyers say they still can’t find him https://t.co/a4mgQDQiQj #arts https://t.co/gQAe2aFPix"
2017-12-01,Day 2: Interveners speak for and against Trinity Western University law school https://t.co/epvkjNZr2N https://t.co/2DstuDtsVw
2017-12-01,Day 2: Interveners speak for and against Trinity Western University law school https://t.co/hp6Rbkfz9F https://t.co/JhqAWhTbIJ
2017-12-01,"Not enough services for mentally ill kids, says family of struggling boy https://t.co/YGUC98Hj6s https://t.co/uZXrWqoFUk"
2017-12-01,Pamela Anderson: ‘You know what you get into if you go to a hotel room alone’ https://t.co/8H6KrBoasJ #arts https://t.co/kph9GRUJqy
2017-12-01,Ford sues WWE star John Cena for flipping his Ford GT https://t.co/RrmHHPRBWu #auto https://t.co/C5boGnSMIa
2017-12-01,Laughing Stock Vineyards joins list of Okanagan wineries changing hands https://t.co/UDQdSEcFMQ https://t.co/ZR2KTJA3L2
2017-12-01,Mike Smyth: NDP and Greens stack the deck in referendum vote https://t.co/Mdep383rKh https://t.co/RLR7IZC58h
2017-12-01,Daily Poll: Real or fake? What kind of Christmas tree will you put up this year? https://t.co/r04HcfJHUZ https://t.co/QEWULjdoiK
2017-12-01,Pamela Anderson: ‘You know what you get into if you go to a hotel room alone’ https://t.co/pToM1gQERc https://t.co/VdceoBepzJ
2017-12-01,Vancouver Public Library librarians offer up books for gifts list https://t.co/3tGK5b7xGJ #arts https://t.co/imylDw8Z1c
2017-12-01,Ex U.S. security adviser Michael Flynn to plead guilty to lying to FBI https://t.co/ZZRtH680cf https://t.co/KdIUCQhKp7
2017-12-01,Prince Harry and Meghan Markle make first official visit https://t.co/3DX7EMPBRi https://t.co/qIgw0so2i5
2017-12-01,First Drive: 2018 Mitsubishi Eclipse Cross https://t.co/nqQZiji0lz #auto https://t.co/SBsoJeVEDt
2017-12-01,"The Skate: Goldie gets his shot, Leos confuse things, and Caps load up https://t.co/3TOpWnfkrY #sports https://t.co/wpW7yNb6I3"
2017-12-01,100 Christmas and holiday events around Metro Vancouver https://t.co/0OIieZodVO https://t.co/7NJhbQuks5
2017-12-01,Ontario and B.C. lead employment growth in Canada https://t.co/3JsDicy2oO https://t.co/r4tzhiWp9r
2017-12-01,100 Christmas and holiday events around Metro Vancouver https://t.co/bVfptSRfwF #arts https://t.co/BBan5mbjgC
2017-12-01,Van Live Year in Review: Our 10 most viral stories https://t.co/o3tzswYmJC https://t.co/BrnLkliFSi
2017-12-01,"Motor Mouth: Even Bob Lutz sees a driverless future, and it’s depressing https://t.co/0dNGLkdBB5 #auto https://t.co/bC8RsmJI0w"
2017-12-01,First Drive: 2018 Range Rover Autobiography PHEV https://t.co/KuwuehFWta #auto https://t.co/AV8VNYVC9p
2017-12-01,Japan inspects decrepit boat with 10 men aboard who say they're North Koreans https://t.co/x2XO9KDUtn https://t.co/LR5pNIHraT
2017-12-01,"The Provies: Daniel Sedin joins ""The Club"", Boesermania runs wild on you, and Vanek is the Dean Malenko of the NHL https://t.co/IjdhQjTfG8 #sports https://t.co/mbiX87LziA"
2017-12-01,Letters: Umbrella rentals solve a bunch of problems in rainy city https://t.co/tItxxHhjIc https://t.co/SqECwO5I9R
2017-12-01,Letters: Hippie prime minister's ideas about returning ISIS terrorists will fail https://t.co/zVHy8T1gpR https://t.co/8fsrqpBu8q
2017-12-01,Letters: Prime Minister Justin Trudeau ignores China's human-rights abuses https://t.co/xt4jdkXbnz https://t.co/vsfeSREsF9
2017-12-01,"Canucks 5, Predators 3 – What We Learned: The daily double, Daniel hits plateau, Boeser at his best https://t.co/v53eddHmfp #sports https://t.co/FpPhYioSg0"
2017-12-01,Trump visit to U.K. called off indefinitely amid spat with May over his Britain First retweets https://t.co/BVMGNt3Sqn https://t.co/9XgtCkqte5
2017-12-01,Scotiabank back for another fundraising season with the Empty Stocking Fund https://t.co/6W5PKb4n21 https://t.co/x4XZknp8YC
2017-12-01,"North Korea has shown off its new missile, and it's scarier than previously thought https://t.co/0lj77SnUyp https://t.co/sU34YLHac8"
2017-12-01,Willes: Questions remain for the B.C. Lions but Hervey is the answer for now https://t.co/ir8KjoNHz2 #sports https://t.co/mZ6LE53Xvk
2017-12-01,Government considers cap on minor injury claims to 'fix' ICBC finances https://t.co/Xnz7Xsf7NS https://t.co/Xys1cJfq1U
2017-12-01,"Ex-Mountie mistakenly believed woman consented to kissing, groping: Crown https://t.co/94sKDfLnlT https://t.co/F5PQuXYuzf"
2017-12-01,Rentals a key focus of Vancouver's new housing strategy https://t.co/XnfiyqUlXX https://t.co/DD7AiaU43D
2017-12-01,"South Surrey-White Rock a byelection battleground for Liberal Hogg, Tory Findlay https://t.co/cK15u6Ra6H https://t.co/bIxR48atWb"
2017-12-01,"Air Transat slammed, fined for handling of hours-long tarmac delay https://t.co/OqPHFGZUHB https://t.co/pWalFDlPLg"
2017-12-01,Van Live Year in Review: Our ten most viral stories https://t.co/snTwuCy9kF https://t.co/Gwxu5q11ZF
2017-12-01,"The Happenings: Three things to do in Vancouver on Friday, Dec. 1 https://t.co/iTqgZlGSM4 #arts https://t.co/b5j956VzZr"
2017-12-01,Motown: The Musical coming to Vancouver Feb. 6-11 https://t.co/ojxl106fN4 #arts https://t.co/0OeVFpv654
2017-12-01,Greg Zaun fired from Sportsnet for 'inappropriate behaviour' https://t.co/zb1gbNc2CN #sports https://t.co/CrP8FSajKT
2017-12-01,November ties record for most days of rain in Metro Vancouver https://t.co/y6w22m6Jb8 https://t.co/upyC2iU0VX
2017-12-01,"Hogg, Findlay top race in Surrey-White Rock federal byelection https://t.co/yyph404zgL https://t.co/4tmENJrNtK"
2017-12-01,"Kelly Ellard, who killed 14-year-old Reena Virk in 1997, gets conditional day parole https://t.co/4izkHHiKsR https://t.co/EhrkZrAR7f"
2017-12-01,Horgan says improved B.C. housing options are his top priority https://t.co/pydCHhvAZE https://t.co/vx9VPEasaj
2017-12-01,Mike Smyth: NDP and Greens stack the deck in referendum vote https://t.co/nfAVTitLTZ https://t.co/aatGTlHDyV
2017-12-01,ICBC to ditch computerized assessments for drivers with medical concerns https://t.co/PYDIQ7Ul2E https://t.co/jLALlwCWie
2017-12-01,Review of tainted north Okanagan aquifer includes proposals to protect water https://t.co/8QHWdRsK1N https://t.co/BkIdsY3emc
2017-12-01,Van Live Roundtable: When is it acceptable to start playing Christmas music? https://t.co/oP8Ektvejj https://t.co/PMOLzrCAVF
2017-12-01,French-Italian consortium offers Canada a deal on a new fleet of frigates that could save $32 billion https://t.co/wRg7A6FGmt https://t.co/8DuLHo7Ks6
2017-12-01,"Canadian rugby sevens women go 3-0, reach 27th straight World Series quarterfinal https://t.co/2XCSLUPqEo #sports https://t.co/Amb38KxJBI"
2017-12-01,"Ex-Mountie mistakenly believed woman consented to kissing, groping: Crown https://t.co/94sKDftMul https://t.co/afzAz09smd"
2017-11-30,"John Ivison: When planes become cattle cars we're trapped on for six hours, we need a passenger bill of rights https://t.co/lB1fMvvVGP https://t.co/4QxN6lvTF6"
2017-11-30,"Aria FXE is more about exclusivity, but also about pure power https://t.co/4J1QrwdxrG #auto https://t.co/7vBUc86tyG"
2017-11-30,Sports cars shine at the 2017 L.A. Auto Show https://t.co/NSymWdwpcO #auto https://t.co/HIStFn7tAU
2017-11-30,"Kuzma: Canucks salute heart, hard work, hilarity as 'Dorse' forced to retire https://t.co/15c0O7SrZw #sports https://t.co/NUTL7fDLLm"
2017-11-30,"Kelly Ellard, who killed 14-year-old Reena Virk in 1997, gets conditional day parole https://t.co/4izkHH194h https://t.co/azTfHAHNa8"
2017-11-30,Daily Poll: Would you give your dog cannabis? https://t.co/Vw9yyxeWFx https://t.co/e35YwdALN2
2017-11-30,The Slow return of Vancouver's most notorious rock band https://t.co/l8DAFIvtWU #arts https://t.co/X8TZ5y9dwt
2017-11-30,The Slow return of Vancouver's most notorious rock band https://t.co/pFWXd1v3Ue https://t.co/CSLUZNll8A
2017-11-30,Scotiabank back for another fundraising season with the Empty Stocking Fund https://t.co/tIRIe86sEQ https://t.co/eODubAqJF5
2017-11-30,November ties record for most days of rain in Metro Vancouver https://t.co/y6w22m6Jb8 https://t.co/ZFrKzz4VxC
2017-11-30,ART SEEN: Flying birds light up Alexandra Park in West End for Lumière https://t.co/bC3d76JWFh #arts https://t.co/NgxhQEtzxc
